Symbol,Series,Date,PrevClose,Open,High,Low,LastPrice,Close,AveragePrice,Volume,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty,sent_mean,sent_sum,sent_std,news_count,ret_1d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,signal,macd_hist,ema_cross,sent_3d,sent_5d,sent_lag1,news_intensity,momentum_1m_z,momentum_3m_z,momentum_6m_z,vol_30d_z,vol_90d_z,rsi_14_z,macd_hist_z,ema_cross_z,sent_3d_z,sent_5d_z,sent_lag1_z,news_intensity_z
ADANIPOWER,EQ,2020-07-06,35.9,35.9,36.5,35.8,35.95,35.9,36.1,4527779.0,163460556.35,10960,1629458.0,35.99,0.0,0.0,0.0,0.0,0.0,-0.07712082262210795,0.2936936936936936,-0.4381846635367762,0.0315547087798194,0.05315171992263168,41.463414634146325,-0.014537170303540847,0.34354874276897707,-0.3580859130725179,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ADANIPOWER,EQ,2020-07-07,35.9,35.95,36.25,35.7,35.85,35.95,35.97,3771401.0,135662251.3,9724,1738232.0,46.09,0.0,0.0,0.0,0.0,0.001392757660167332,-0.06744487678339806,0.34141791044776126,-0.44220325833979823,0.023941680104311185,0.05314439493270243,39.24050632911404,-0.055489989675898244,0.263740996280002,-0.31923098595590027,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ADANIPOWER,EQ,2020-07-08,35.95,36.0,36.1,35.6,35.7,35.7,35.85,2637156.0,94531724.65,8814,1290287.0,48.93,0.0,0.0,0.0,0.0,-0.006954102920723182,-0.06910039113428945,0.33457943925233646,-0.4355731225296442,0.02391383928162196,0.05308409789635264,22.058823529411896,-0.10688618730750221,0.1896155595625012,-0.2965017468700034,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ADANIPOWER,EQ,2020-07-09,35.7,35.95,35.95,35.5,35.6,35.55,35.65,2214256.0,78937482.5,5774,976909.0,44.12,0.0,0.0,0.0,0.0,-0.004201680672269115,-0.08376288659793818,0.23437499999999978,-0.40848585690515815,0.023412389385613026,0.053082802109143394,11.111111111111299,-0.15790159927178138,0.1201121277956447,-0.2780137270674261,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ADANIPOWER,EQ,2020-07-10,35.55,35.15,35.4,34.7,34.7,34.8,35.07,4439842.0,155699577.2,12496,2190717.0,49.34,0.0,0.0,0.0,0.0,-0.021097046413502074,-0.08058124174372538,0.20207253886010346,-0.4295081967213116,0.023615396896355303,0.05304923673556634,4.054054054054191,-0.2559005505341432,0.04490959212968713,-0.3008101426638303,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ADANIPOWER,EQ,2020-07-13,34.8,34.9,34.95,34.4,34.8,34.7,34.6,3333128.0,115319441.0,8876,1950960.0,58.53,0.0,0.0,0.0,0.0,-0.002873563218390607,-0.08684210526315783,0.14144736842105288,-0.4202172096908938,0.016821091570037614,0.05297224825828687,4.285714285714434,-0.3377413180412958,-0.03162058990450946,-0.30612072813678637,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ADANIPOWER,EQ,2020-07-14,34.7,34.7,36.15,34.35,35.6,35.7,35.35,6152177.0,217483597.7,13140,2443240.0,39.71,0.0,0.0,0.0,0.0,0.028818443804034644,-0.04799999999999993,0.20404721753794286,-0.41618969746524936,0.017484113468448952,0.051969306119151716,26.436781609195478,-0.3182405938028481,-0.08894459068417719,-0.22929600311867088,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ADANIPOWER,EQ,2020-07-15,35.7,35.85,35.85,34.55,34.65,34.7,35.13,2903309.0,102004846.8,8908,1350995.0,46.53,0.0,0.0,0.0,0.0,-0.02801120448179273,-0.051912568306010876,0.1843003412969284,-0.43300653594771243,0.014387557038227921,0.05204200316860389,26.436781609195478,-0.3791076549402064,-0.14697720353538304,-0.23213045140482333,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ADANIPOWER,EQ,2020-07-16,34.7,34.65,34.95,34.55,34.65,34.7,34.69,1958064.0,67933685.55,5856,1054980.0,53.88,0.0,0.0,0.0,0.0,0.0,-0.05706521739130421,0.1624790619765495,-0.4430176565008025,0.013200465222332718,0.051856208051889154,26.436781609195478,-0.4224752081966585,-0.20207680446763815,-0.22039840372902036,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
ADANIPOWER,EQ,2020-07-17,34.7,34.9,36.15,34.6,35.45,35.5,35.55,5039398.0,179164868.65,11698,1901028.0,37.72,0.0,0.0,0.0,0.0,0.023054755043227626,-0.05585106382978722,0.1488673139158576,-0.43154523618895124,0.01401386955229817,0.05186549333411564,41.93548387096775,-0.3878204398568741,-0.23922553154548534,-0.14859490831138875,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
