Symbol,Series,Date,PrevClose,Open,High,Low,LastPrice,Close,AveragePrice,Volume,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty,sent_mean,sent_sum,sent_std,news_count,ret_1d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,signal,macd_hist,ema_cross,sent_3d,sent_5d,sent_lag1,news_intensity,momentum_1m_z,momentum_3m_z,momentum_6m_z,vol_30d_z,vol_90d_z,rsi_14_z,macd_hist_z,ema_cross_z,sent_3d_z,sent_5d_z,sent_lag1_z,news_intensity_z
BOSCHLTD,EQ,2020-07-06,"11,777.05",11849.9,12128.0,11780.0,"12,040.00",12037.3,"12,000.47",47140.0,565702035.05,9612,17166.0,36.41,0.0,0.0,0.0,0.0,0.0220980636067607,0.04782423245327694,0.281170341278584,-0.21246597927352662,0.02686253732235299,0.03797269837461997,74.5806322261578,364.9792047019964,304.38657126860795,60.59263343338847,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-07,"12,037.30",12173.7,13794.0,12050.0,"13,460.00",13481.15,"13,135.30",248803.0,3268102929.65,47951,43914.0,17.65,0.0,0.0,0.0,0.0,0.1199479949822635,0.18740559037120863,0.4596624006583079,-0.12527373417208187,0.03340022538094894,0.04006774560730308,82.82921764254431,500.6730850581189,343.64387402651016,157.02921103160872,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-08,"13,481.15",13490.0,13790.0,12979.3,"13,493.00",13528.1,"13,488.98",213525.0,2880235065.2,47897,35413.0,16.58,0.0,0.0,0.0,0.0,0.0034826405759154078,0.20901571583693412,0.5343809723647872,-0.10840379887826312,0.033406736916304546,0.0399062687918103,82.87483115713638,605.025577245302,395.92021467026854,209.10536257503344,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-09,"13,528.10",13600.0,13738.7,13284.3,"13,407.45",13411.1,"13,448.23",77152.0,1037557758.25,19142,8393.0,10.88,0.0,0.0,0.0,0.0,-0.008648664631396907,0.24106754518281348,0.44847064414394966,-0.09499419656112496,0.03298381425848972,0.03986648710878302,79.18859961113479,670.5550161128067,450.8471749587762,219.70784115403052,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-10,"13,411.10",13397.0,13599.0,13251.65,"13,355.65",13332.15,"13,397.63",41548.0,556644623.05,10694,5163.0,12.43,0.0,0.0,0.0,0.0,-0.005886914570766066,0.23640452564221448,0.38743599883445023,-0.10088009171837065,0.03277160491999175,0.03967562280151755,75.51289434952321,707.956086266975,502.2689572204159,205.6871290465591,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-13,"13,332.15",13498.0,13960.0,13335.0,"13,911.00",13858.9,"13,632.76",61390.0,836915212.9,14527,11144.0,18.15,0.0,0.0,0.0,0.0,0.039509756490888615,0.2699033752239228,0.3579701340440542,-0.04601649297190136,0.031892641900783635,0.03986937922067046,78.45586244245868,771.2109864018112,556.0573630566951,215.1536233451161,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-14,"13,858.90",13715.0,13864.8,13101.0,"13,199.95",13246.2,"13,470.21",64206.0,864868550.0,15419,9587.0,14.93,0.0,0.0,0.0,0.0,-0.04420985792523213,0.2438505636494246,0.3212771687630298,-0.10979240451884753,0.03336425231084146,0.039244783295261806,68.52383629864654,763.1045863775162,597.4668077208594,165.6377786566568,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-15,"13,246.20",13398.6,13563.0,12900.0,"13,035.00",12995.3,"13,276.83",63992.0,849611025.15,16296,13697.0,21.40,0.0,0.0,0.0,0.0,-0.018941281273119892,0.2299050737736723,0.23477236340141272,-0.12531382302064342,0.03267548779427012,0.03921556446453706,64.93023076403821,728.0422548897932,623.5818971546462,104.460357735147,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-16,"12,995.30",13170.0,13221.8,12685.05,"12,830.00",12811.4,"12,897.76",59446.0,766720418.45,13690,10280.0,17.29,0.0,0.0,0.0,0.0,-0.014151270074565403,0.21178356751337213,0.23420919534693274,-0.13385571247963324,0.03278851232143785,0.038797529268679534,65.55800050629952,677.6049039533755,634.3864985143921,43.21840543898338,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-17,"12,811.40",13001.0,13550.0,13001.0,"13,180.00",13187.85,"13,314.70",109427.0,1456987367.65,24732,17374.0,15.88,0.0,0.0,0.0,0.0,0.029383986137346385,0.24325712938958288,0.22792471100889666,-0.12855424791684555,0.032112322336604264,0.038838600906950994,71.25818611026499,660.3966671347753,639.5885322384687,20.80813489630657,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-20,"13,187.85",13450.0,13450.0,13135.0,"13,260.00",13256.2,"13,253.01",40027.0,530478335.5,11220,10837.0,27.07,0.0,0.0,0.0,0.0,0.005182800835617618,0.21071138267072187,0.24306786320458373,-0.1138696426721213,0.0319553942283342,0.03874160812308667,68.91983695652172,644.840964018953,640.6390185945656,4.201945424387304,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-21,"13,256.20",13320.1,13440.0,13028.25,"13,200.00",13162.5,"13,213.41",47985.0,634045709.55,10175,10754.0,22.41,0.0,0.0,0.0,0.0,-0.007068390639851541,0.16084736345436412,0.3153489859446279,-0.11215662467749277,0.03182331915236471,0.03872965513917947,69.41930266554692,617.8301884835473,636.077252572362,-18.247064088814682,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-22,"13,162.50",13300.0,13498.0,13050.0,"13,280.05",13264.7,"13,276.29",47894.0,635854494.9,11922,5414.0,11.30,0.0,0.0,0.0,0.0,0.007764482431149133,0.170056806153412,0.27372504585129787,-0.13793652495751318,0.03090667657456587,0.03818874361133165,65.69913480323748,597.779806642604,628.4177633864105,-30.637956743806512,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-23,"13,264.70",13290.0,13540.0,13163.0,"13,415.00",13331.0,"13,366.19",40613.0,542841219.75,9939,5671.0,13.96,0.0,0.0,0.0,0.0,0.004998228380588943,0.1692526290861569,0.25754066890862526,-0.10950645776484857,0.030858953329370158,0.03815575527617111,68.37580559333057,580.5474014208667,618.8436909933017,-38.29628957243506,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-24,"13,331.00",13328.0,13380.0,13115.0,"13,187.95",13199.35,"13,234.41",28090.0,371754707.45,7143,3758.0,13.38,0.0,0.0,0.0,0.0,-0.009875478208686506,0.1530787408109513,0.29247634015344004,-0.11624317900304637,0.031007480130122816,0.0369510919818731,64.17255131535619,549.9283101340843,605.0606148214582,-55.1323046873739,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-27,"13,199.35",13249.0,13351.65,12792.3,"12,944.95",12910.65,"13,052.31",31452.0,410521286.55,7375,6949.0,22.09,0.0,0.0,0.0,0.0,-0.021872289165754455,0.15134882061800514,0.2764244119944239,-0.11948126349100252,0.030930359255988173,0.03700294644201789,40.3124469349635,496.64180487937665,583.376852833042,-86.73504795366534,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-28,"12,910.65",13039.95,13269.75,13013.5,"13,177.45",13203.55,"13,152.70",26471.0,348165193.15,6509,5327.0,20.12,0.0,0.0,0.0,0.0,0.02268669664191969,0.20530281937642347,0.32272267358571827,-0.11822021871608657,0.03093179912883601,0.03681783209141203,44.9137269037283,472.59862492336106,561.2212072511059,-88.6225823277448,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-29,"13,203.55",13177.45,13350.0,13098.35,"13,200.00",13173.85,"13,245.27",18308.0,242494424.3,5488,3573.0,19.52,0.0,0.0,0.0,0.0,-0.0022493950490587444,0.1537690158607825,0.31423084596967277,-0.12305582644641855,0.030959284186658154,0.036320924772614366,46.17727148220357,446.00640558547457,538.1782469179797,-92.1718413325051,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-30,"13,173.85",13199.9,13427.75,12890.0,"12,977.20",12983.85,"13,091.68",39964.0,523195998.15,10391,8630.0,21.59,0.0,0.0,0.0,0.0,-0.014422511262842663,0.1500870281546045,0.22345452746538252,-0.127537906913455,0.03121635722909194,0.036216038551008176,44.58185551614711,404.93265646792315,511.52912882796835,-106.5964723600452,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-07-31,"12,983.85",13076.55,13199.0,12955.3,"13,150.00",13078.65,"13,065.58",16982.0,221879677.75,5646,3391.0,19.97,0.0,0.0,0.0,0.0,0.007301378250672785,0.09769024818081862,0.31766845329249604,-0.10966299171860261,0.030857986978576397,0.035563260986016546,35.978075298768985,375.7001446924296,484.3633320008606,-108.66318730843102,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-08-03,"13,078.65",13078.65,13245.1,12748.85,"12,799.00",12794.1,"12,956.13",31958.0,414051920.6,10030,9884.0,30.93,0.0,0.0,0.0,0.0,-0.021756832700622675,0.08635863819886991,0.2901960388850793,-0.1318706297858192,0.03076273400262131,0.035664737959072004,40.788883908561175,325.8165511966163,452.6539758400118,-126.83742464339554,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-08-04,"12,794.10",12945.0,13045.0,12721.0,"12,769.00",12767.9,"12,816.81",29891.0,383107229.95,7866,8922.0,29.85,0.0,0.0,0.0,0.0,-0.0020478189165319405,0.06069467405481288,0.2944462468064397,-0.10337466072563462,0.030774427838369034,0.032848763891883286,44.89997308692922,280.9309260794216,418.3093658878938,-137.3784398084722,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-08-05,"12,767.90",12867.9,12985.65,12700.75,"12,922.85",12852.1,"12,837.01",23894.0,306727453.15,6650,6232.0,26.08,0.0,0.0,0.0,0.0,0.006594663178753013,-0.046661449505420505,0.2988150880472955,-0.07443629057231538,0.030776168935084156,0.032825613395649766,50.95553364323615,249.27944285564445,384.503381281444,-135.22393842579953,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-08-06,"12,852.10",12969.0,13250.0,12807.2,"13,100.00",13065.7,"13,045.12",53334.0,695748200.6,13093,6126.0,11.49,0.0,0.0,0.0,0.0,0.01661985200862115,-0.034180705346648854,0.33430349821030125,-0.04144703297348251,0.030856094786106295,0.03118396612941092,46.894780994992,238.67979710646614,355.33866444644843,-116.6588673399823,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-08-07,"13,065.70",13050.0,13790.0,13049.95,"13,646.00",13657.65,"13,513.38",116365.0,1572484973.95,24671,20263.0,17.41,0.0,0.0,0.0,0.0,0.04530564761168554,0.0183840251731775,0.38494650915175166,0.0028011307316715417,0.031329442822319635,0.03067903904798551,58.059788391656106,274.876316281825,339.24619481352374,-64.36987853169876,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
BOSCHLTD,EQ,2020-08-10,"13,657.65",13655.0,13889.8,13503.5,"13,628.95",13592.0,"13,676.46",44968.0,615002854.55,12453,8060.0,17.92,0.0,0.0,0.0,0.0,-0.004806829871903284,0.01949047978008056,0.391567868624199,-0.03006083528089487,0.030897663637249093,0.03069210026784073,58.721166341780375,294.86588183195454,330.3701322172099,-35.504250385255375,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,
