symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,concall_count,concall_pos_ratio,concall_neg_ratio,concall_net_tone,concall_tone_intensity,concall_tone_surprise,concall_guidance_flag,ret_1d,ret_5d,ret_21d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,macd_signal,macd_hist,ema_fast,ema_slow,ema_cross,volume_change,volume_zscore,volume_momentum,range_position,ret_skew_10,ret_kurt_10,ret_skew_30,ret_kurt_30
NTPC,EQ,2020-07-06,94.5,95.9,96.4,94.85,95.3,95.2,95.59,11830916.0,1130892332.5,54515,4514410.0,38.16,0,0,0,0,0,0,0,0.007407407407407529,0.0031612223393044925,-0.02807554874936191,-0.02807554874936191,0.13064133016627077,-0.21678321678321677,0.020011280439568836,0.029420379866716636,52.826086956521735,0.10964973391561728,0.5244365641437339,-0.43831329610372705,95.07617753095377,94.88978857017193,1.0,0.06567722749219707,-0.14947410108104467,0.851753331128535,0.3309352517985609,0.6595580752280268,0.7462266917640831,0.27484971320327545,1.0637873576256027
NTPC,EQ,2020-07-07,95.2,95.4,95.45,92.25,92.8,92.55,93.15,18786161.0,1749885735.35,100417,9947661.0,52.95,0,0,0,0,0,0,0,-0.027836134453781525,-0.03392484342379953,-0.060882800608828,-0.060882800608828,0.1425925925925926,-0.23764415156507424,0.0200077578337104,0.029327890000704213,55.15021459227469,0.11399146580858144,0.44147919809811054,-0.4147868302281166,94.83558919467247,94.79803215565538,1.0,-0.2254664713832346,-0.48005385494667463,0.6595600028109103,0.381294964028777,0.9037388773808314,1.849739814836133,0.2766974124757614,1.0675494774276661
NTPC,EQ,2020-07-08,92.55,92.85,92.85,90.85,91.2,91.0,91.66,26257436.0,2406876899.4,110150,14761827.0,56.22,0,0,0,0,0,0,0,-0.016747703943814085,-0.02777777777777768,-0.0714285714285714,-0.0714285714285714,0.14393463230672543,-0.2375366568914956,0.020311467013452968,0.029456158735997367,52.129817444219064,-0.09530195183435808,0.37598165164020475,-0.3274877322895291,94.47029498565604,94.64908971817869,1.0,0.5878872777052935,0.15117005925520188,1.034638148161029,0.190647482014388,-0.30141477442351594,-1.6123536380311674,0.3772247842025812,1.0458892457819449
NTPC,EQ,2020-07-09,91.0,91.3,92.0,90.8,91.35,91.2,91.41,11910945.0,1088810512.4,62410,5114574.0,42.94,0,0,0,0,0,0,0,0.00219780219780219,-0.02355460385438979,-0.07080998471726951,-0.07080998471726951,0.11833231146535872,-0.23296888141295202,0.020233248453187407,0.029466573626278827,46.599999999999994,-0.38183893771602584,0.2817249309452922,-0.47128360347456283,94.15883832035546,94.51383129785796,0.0,0.39770099915570833,0.8012844555154494,1.4019037212867125,0.07913669064748165,-0.11588170807712153,-1.8948149627022342,0.5191422273047074,1.219108859258856
NTPC,EQ,2020-07-10,91.2,91.2,91.3,89.75,90.25,90.4,90.28,12213263.0,1102592085.25,74875,4973882.0,40.73,0,0,0,0,0,0,0,-0.00877192982456132,-0.043386243386243306,-0.07802141764405912,-0.07802141764405912,0.06103286384976525,-0.25010369141435085,0.020123952111025606,0.029464048769455863,46.385542168674704,-0.5860278703843989,0.14901215721302863,-0.6635638686613181,93.80085371841685,94.3525045802949,0.0,-0.5463782145370173,-0.5350130930956566,0.6362472018256534,0.09352517985611496,-0.3779013914108508,-1.8649228683381966,0.5650939550337643,1.3486351713391067
NTPC,EQ,2020-07-13,90.4,91.05,92.85,89.5,89.75,89.9,91.04,17512895.0,1594376590.4,63705,5496683.0,31.39,0,0,0,0,0,0,0,-0.00553097345132747,-0.05567226890756294,-0.0722394220846233,-0.0722394220846233,0.03214695752009189,-0.25052105043768236,0.019648526205209866,0.02946318708597773,39.52991452991454,-0.8031442379122211,0.0020041516935431353,-0.7350400275974275,93.42934384047238,94.17789655753825,0.0,0.025381529341290676,-0.4813630339193633,0.6491690742394262,0.04626334519572995,-0.1161212375113737,-1.7221609545060892,0.709388118284455,1.8791664058503563
NTPC,EQ,2020-07-14,89.9,89.8,89.9,87.4,87.95,87.65,88.29,14242251.0,1257506823.1,93070,6477161.0,45.48,0,0,0,0,0,0,0,-0.02502780867630705,-0.05294435440302525,-0.05954935622317592,-0.05954935622317592,-0.011280315848843814,-0.2656053623795559,0.019648087462725634,0.029465726672002236,20.596205962059614,-1.003983053064644,-0.1590255262276097,-0.8051483896057643,92.87893014137978,93.92190061410538,0.0,0.4339243329157818,-0.012259903086396193,0.915593696549483,0.027972027972028374,-0.41272384512093907,-1.0739704307441795,0.7421153123906892,1.913795953179193
NTPC,EQ,2020-07-15,87.65,88.3,89.75,87.75,88.0,88.05,88.68,11582899.0,1027158338.25,43732,4868770.0,42.03,0,0,0,0,0,0,0,0.004563605248145919,-0.03241758241758241,-0.05118534482758619,-0.05118534482758619,-0.02057842046718583,-0.26807980049875313,0.02000642571899042,0.029483564094201452,22.35294117647058,-1.329381178291598,-0.3280170315950166,-0.8449575268370344,92.41903203267695,93.69163000178753,0.0,-0.1867563301213192,-0.30573000585226484,0.7386032301434777,0.015243902439024399,-0.003937289245775348,-1.401311621872686,0.7258696437935815,1.6822848853130863
NTPC,EQ,2020-07-16,88.05,88.2,88.4,85.85,86.75,86.75,86.54,10152713.0,878584883.9,60597,3332466.0,32.82,0,0,0,0,0,0,0,-0.014764338444065883,-0.04879385964912286,-0.051912568306010876,-0.051912568306010876,-0.08780231335436373,-0.2874743326488707,0.019754189631732182,0.029387118702518478,25.531914893616985,-1.5372642544290471,-0.5282898609343329,-1.0013641466965815,91.87912422004105,93.41940921740371,0.0,-0.1867227308379834,-0.5182462782027419,0.5965263501516093,0.039634146341462916,-0.4857464348897538,-0.9644662920065333,0.6448092743343516,1.7720876091134439
NTPC,EQ,2020-07-17,86.75,87.2,88.65,87.0,88.4,88.3,87.98,12239669.0,1076899552.45,55567,4543272.0,37.12,0,0,0,0,0,0,0,0.01786743515850131,-0.023230088495575285,-0.04746494066882423,-0.04746494066882423,-0.07539267015706808,-0.28502024291497974,0.01983729606586414,0.02894046008570373,19.58456973293761,-1.7863206331187484,-0.7300847396332758,-1.0089743934947142,91.5382552467038,93.21864807162318,0.0,-0.12347392479205765,-0.6407524138977059,0.5319090377875132,0.050139275766017025,-0.1594748973430912,-1.3009699100397967,0.7312655855399062,1.7952929770329364
