ticker,date,headline,sentiment_score
ABB,2026-03-30,"Noida International Airport deploys ABB’s energy-efficient power, water solutions - ET Infra",0.7661298513412476
ABB,2026-03-30,"Noida International Airport deploys ABB’s energy-efficient power, water solutions - ET EnergyWorld",0.7111238241195679
ABB,2026-04-02,Macquarie: India could emerge as an ‘AI powerhouse' and names top stocks to watch - CNBC,-0.5589016079902649
ABB,2026-03-30,Masayoshi Son represents fragile link in AI chain - Reuters,-0.8325705528259277
ABB,2018-02-08,ABB sees brighter outlook after Q4 net profit drops - CNBC,0.5103155374526978
ABB,2025-11-08,ABB India - bsmedia.business-standard.com,-0.9485819339752197
ABB,2026-01-29,ABB confident for 2026 as customers plan ahead despite political uncertainty - Reuters,0.5427731871604919
ABB,2025-07-17,ABB posts record orders on booming US and data centre demand - Reuters,0.9369328618049622
ABB,2024-10-17,ABB's new CEO says company has work to do after mixed Q3 numbers - Reuters,-0.6980029344558716
ABB,2025-01-30,ABB CEO sees growth in data centre business despite rise of DeepSeek - Reuters,0.9512774348258972
ABB,2025-07-17,ABB Posts Strong Order Growth on Rising Demand From US - Bloomberg.com,0.9557009935379028
ABB,2025-10-16,AI data centre boom spurs robot maker ABB's US sales - Reuters,0.5956880450248718
ABB,2025-11-06,Engineering firm ABB India's profit falls as orders dip - Reuters,-0.9612711071968079
ABB,2023-02-01,ABB sees demand 'normalising' in 2023 after stock build-ups - Reuters,0.7669259309768677
ABB,2025-11-18,ABB shares fall after sales target remains unchanged - Reuters,-0.957490086555481
ABB,2025-04-17,ABB to spin off world's second biggest robotics business - Reuters,-0.8978655338287354
ABB,2019-07-25,"ABB quarterly profit plunges on automotive slowdown, solar business charge - CNBC",-0.9573844075202942
ABB,2017-08-05,Check out ABB India Ltd's stock price (ABB-IN) in real time - CNBC,-0.9449461102485657
ABB,2021-06-22,Abb Ltd - Reuters,-0.9410275816917419
ABB,2024-04-18,ABB shares hit record high after Swiss engineering group's confident start to 2024 - Reuters,0.9257288575172424
ABB,2019-04-17,ABB CEO Leaves Abruptly After Years of Pressure From Investors - Bloomberg.com,-0.7208279371261597
ABB,2014-03-21,ABB: ABB Ltd Stock Price Quote - Stockholm - Bloomberg - Bloomberg.com,-0.9461206197738647
ABB,2025-05-09,Engineering firm ABB India's profit inches up on steady demand - Reuters,0.9429658055305481
ABB,2017-03-24,"ABB India Share Price Today, ABB India Stock Price Live NSE/BSE Updates - The Economic Times",-0.9389945268630981
ABB,2024-07-18,ABB Reports Drop in Orders Due to Weak Automation Business - Bloomberg.com,-0.9686374664306641
ABB,2026-04-02,"ABB Power Share Price Today, ABB Power Stock Price Live NSE/BSE Updates - The Economic Times",-0.9380207657814026
ABB,2021-01-19,Check out ABB Ltd's stock price (ABB.N-CH) in real time - CNBC,-0.9450170993804932
ABB,2014-03-21,ABB: ABB Ltd Stock Price Quote - - Bloomberg - Bloomberg.com,-0.943440318107605
ABB,2021-08-24,ABB India Ltd - Reuters,-0.9395909905433655
ABB,2025-04-17,ABB to Spin Off Robotics Unit for 2026 Stock-Market Listing - Bloomberg.com,-0.9460485577583313
ABB,2022-06-07,(ABBN.S) | Stock Price & Latest News - Reuters,-0.9090757369995117
ABB,2024-11-04,Engineering firm ABB India posts bigger Q3 profit on electrification demand - Reuters,0.9191787242889404
ABB,2026-03-30,ABB India Ltd. - The Economic Times,-0.9188860058784485
