ticker,date,headline,sentiment_score
BAJAJFINSV,2024-11-15,"Bajaj Finserv | Splits > Finance - Investments > Dividends declared by Bajaj Finserv - BSE: 532978, NSE: BAJAJFINSV - Moneycontrol.com",-0.9142407774925232
BAJAJFINSV,2024-11-14,Bajaj Finserv - Moneycontrol.com,-0.9467165470123291
BAJAJFINSV,2011-07-09,Bajaj Finserv Ltd. - Moneycontrol.com,-0.9497544169425964
BAJAJFINSV,2018-01-05,"bajaj finserv Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More - Moneycontrol.com",-0.9448591470718384
BAJAJFINSV,2024-11-15,"Bajaj Finserv | AGM/EGM > Finance - Investments > Meetings of Bajaj Finserv - BSE: 532978, NSE: BAJAJFINSV - Moneycontrol.com",-0.9466414451599121
BAJAJFINSV,2011-07-23,Bajaj Finserv Ltd. - Moneycontrol.com,-0.9497544169425964
BAJAJFINSV,2024-11-14,"Bajaj Finserv | Rights > Finance - Investments > Rights declared by Bajaj Finserv - BSE: 532978, NSE: BAJAJFINSV - Moneycontrol.com",-0.9526900053024292
BAJAJFINSV,2018-07-15,"Bajaj Finserv Profit & Loss account, Bajaj Finserv Financial Statement & Accounts - Moneycontrol.com",-0.7637414336204529
BAJAJFINSV,2024-11-15,Bajaj Finserv - Moneycontrol.com,-0.9467165470123291
BAJAJFINSV,2018-07-15,"Bajaj Finserv Balance Sheet, Bajaj Finserv Financial Statement & Accounts - Moneycontrol.com",-0.9447969198226929
BAJAJFINSV,2025-06-06,"Promoters likely sell Rs 5,500 cr stake in Bajaj Finserv block deal - The Economic Times",-0.9374539852142334
BAJAJFINSV,2025-05-05,Bajaj Finserv Ltd - images.moneycontrol.com,-0.9483835697174072
BAJAJFINSV,2025-01-24,Earnings worries yank Indian shares to third week of losses - Reuters,-0.9005164504051208
BAJAJFINSV,2025-09-16,"BHEL.NS Stock Analysis: Prediction, Earnings, Dividend - Reuters",-0.9389897584915161
BAJAJFINSV,2025-01-27,"Bajaj Finserv Healthcare Fund Regular-Growth (₹ 9.46) - NAV, Reviews & asset allocation - The Economic Times",-0.9202784895896912
BAJAJFINSV,2025-05-20,"Bajaj Group get CCI's nod to acquire Allianz's 26 pc stake in insurance JVs for Rs 24,180 cr - The Economic Times",0.4989858567714691
BAJAJFINSV,2018-07-15,"Bajaj Finserv Profit & Loss account, Bajaj Finserv Financial Statement & Accounts - Moneycontrol.com",-0.7637414336204529
BAJAJFINSV,2018-05-02,"F&O Market Snapshot: Future and Options NSE, BSE, F&O margin, F&O quotes - Moneycontrol - Moneycontrol.com",-0.9391407370567322
BAJAJFINSV,2011-06-01,"Bajaj Finserv Registered Address Contact Details, Bajaj Finserv Management - Moneycontrol.com",-0.9511790871620178
BAJAJFINSV,2018-01-13,"Most Active Shares - F&O Market, All Futures & Options, Index Futures, Index Options, Stock Futures, Stock Options - Moneycontrol.com",-0.9493613243103027
BAJAJFINSV,2024-11-12,Bajaj Finserv - Moneycontrol.com,-0.9467165470123291
BAJAJFINSV,2022-09-26,Trade setup for today: Top 15 things to know before the opening bell - Moneycontrol.com,-0.9378705024719238
BAJAJFINSV,2025-04-27,Check these top 4 stocks turning bullish on charts - Moneycontrol.com,-0.8816779851913452
BAJAJFINSV,2019-04-03,"Active Puts - F&O Market, All Futures & Options, Index Futures, Index Options, Stock Futures, Stock Options - Moneycontrol.com",-0.9489321708679199
BAJAJFINSV,2025-03-19,Bajaj Finance’s Rajeev Jain likely to be elevated to Bajaj Finserv’s board - Moneycontrol.com,-0.9266186356544495
BAJAJFINSV,2018-01-13,"Bajaj Finance Balance Sheet, Bajaj Finance Financial Statement & Accounts - Moneycontrol.com",-0.9452753663063049
BAJAJFINSV,2023-07-14,Bajaj Finserv Flexi Cap Fund Regular Growth - Moneycontrol.com,-0.9473134279251099
BAJAJFINSV,2022-03-31,Trade setup for today: Top 15 things to know before the opening bell - Moneycontrol.com,-0.9378705024719238
BAJAJFINSV,2018-01-28,"Index Wise Open Interest & Volume, F&O Index Wise Open Interest , Arbitrage in Near Month Open Int % wise - Moneycontrol.com",-0.9465937614440918
BAJAJFINSV,2024-07-22,"Bajaj Finance Q1 preview: NII, profit to grow in double-digits YoY led by strong loan growth - Moneycontrol.com",0.9520936012268066
BAJAJFINSV,2012-04-28,"Most Active Value - F&O Market, All Futures & Options, Index Futures, Index Options, Stock Futures, Stock Options - Moneycontrol.com",-0.9497577548027039
BAJAJFINSV,2025-01-28,"Bajaj Finance Q3 FY25 results preview: Strong AUM growth likely to boost profit, credit costs under watch - Moneycontrol.com",0.9417166709899902
BAJAJFINSV,2018-06-11,Active Puts - Moneycontrol.com,-0.9390040040016174
