ticker,date,headline,sentiment_score
BANKBARODA,2018-01-05,"bankbaroda Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More - Moneycontrol",-0.9433709979057312
BANKBARODA,2012-04-28,"Most Active Shares - F&O Market, All Futures & Options, Index Futures, Index Options, Stock Futures, Stock Options - Moneycontrol",-0.9498177766799927
BANKBARODA,2018-01-11,"Bank Of Baroda Balance Sheet, Bank Of Baroda Financial Statement & Accounts - Moneycontrol",-0.9427299499511719
BANKBARODA,2025-09-17,BANKBARODA 24Feb2026 - Moneycontrol,-0.9247511029243469
BANKBARODA,2024-11-14,Bank Of Baroda - Moneycontrol,-0.938348650932312
BANKBARODA,2018-06-14,Bank Of Baroda Ltd. - Moneycontrol,-0.9432312250137329
BANKBARODA,2025-08-22,"Quarterly Results, Bank Of Baroda Financial Statement & Accounts - Moneycontrol",-0.9383115172386169
BANKBARODA,2018-06-03,Bank Of Baroda - Moneycontrol,-0.938348650932312
BANKBARODA,2011-07-18,"Bank Of Baroda Registered Address Contact Details, Bank Of Baroda Management - Moneycontrol",-0.9470786452293396
BANKBARODA,2011-07-18,Bank Of Baroda Ltd. - Moneycontrol,-0.9432312250137329
BANKBARODA,2024-11-15,Bank Of Baroda - Moneycontrol,-0.938348650932312
BANKBARODA,2025-06-27,Bank fraud: High Court orders Bank of Baroda to return money to customers with 6% interest - The Economic Times,-0.833492636680603
BANKBARODA,2024-11-21,Bank Of Baroda - Moneycontrol,-0.938348650932312
BANKBARODA,2011-07-09,"Bank Of Baroda Cash Flow, Bank Of Baroda Financial Statement & Accounts - Moneycontrol",-0.9427714943885803
BANKBARODA,2025-05-13,"Stocks to buy in 2025: MOIL, Bank of Baroda among 5 stocks that could give 18-26% return - The Economic Times",-0.8625855445861816
BANKBARODA,2023-09-30,"Baroda BNP Paribas Small Cap Fund Regular - Growth (₹ 12.40) - NAV, Reviews & asset allocation - The Economic Times",-0.9000426530838013
BANKBARODA,2024-12-19,Bank Of Baroda - Moneycontrol,-0.938348650932312
BANKBARODA,2025-10-20,Market Trading Guide: Buy Bank of Baroda and Aster DM on Tuesday for up to 12% potential upside - The Economic Times,-0.765509843826294
BANKBARODA,2025-01-31,"Bank of Baroda's Q3 show fails to impress, stock sinks 4%; Jefferies, HSBC cut target price to Rs 250 - Moneycontrol",-0.9276255965232849
BANKBARODA,2025-02-20,Bank of Baroda FD Rates 2025 - The Economic Times,-0.9179275035858154
BANKBARODA,2022-06-06,(BOB.NS) | Stock Price & Latest News - Reuters,-0.9120156764984131
BANKBARODA,2025-06-30,"Market Trading Guide: Bank of Baroda, Adani Green among 5 stocks to buy on Tuesday for near term gains up to 6% - The Economic Times",0.9281012415885925
BANKBARODA,2024-11-20,Bank Of Baroda - Moneycontrol,-0.938348650932312
BANKBARODA,2024-11-15,Bank Of Baroda - Moneycontrol,-0.938348650932312
BANKBARODA,2024-11-15,"Bank Of Baroda | AGM/EGM > Banks - Public Sector > Meetings of Bank Of Baroda - BSE: 532134, NSE: BANKBARODA - Moneycontrol",-0.945439875125885
BANKBARODA,2026-01-05,Bank of Baroda logs 15% loan growth in Q3 - The Economic Times,0.7558925151824951
BANKBARODA,2019-11-28,Merger of three RRBs to form Baroda UP Bank - The Economic Times,-0.9293171763420105
BANKBARODA,2020-07-21,Bank Of Baroda Daily Technical Analysis | Stochastic RSI indicators - Moneycontrol,-0.9199512004852295
BANKBARODA,2025-05-02,"RBI imposes penalties on ICICI Bank, Bank of Baroda, 2 other lenders - The Economic Times",-0.8621315360069275
BANKBARODA,2025-12-05,Home loan EMI to fall for Bank of Baroda borrowers: PSU bank cuts lending rates for these borrowers - The Economic Times,-0.9520651698112488
BANKBARODA,2024-08-10,"UPI per transaction, per day limit: 12 banks UPI limit details - The Economic Times",-0.934675395488739
BANKBARODA,2025-09-26,"Highest FD interest rates of top 5 banks: SBI, PNB, ICICI Bank, HDFC Bank and Bank of Baroda - The Economic Times",-0.7458187937736511
BANKBARODA,2024-10-03,Bank of Baroda to sell Oman operation to Bank Dhofar - The Economic Times,-0.9296854734420776
BANKBARODA,2025-06-08,"Baroda BNP Paribas Health and Wellness Fund Regular-Growth (₹ 9.04) - NAV, Reviews & asset allocation - The Economic Times",-0.9033012986183167
BANKBARODA,2025-04-23,Bank of Baroda aims to achieve net-zero target by 2057 - The Economic Times,0.7414789199829102
BANKBARODA,2024-09-24,"Latest daily cash deposit limit at ATMs: SBI, HDFC Bank, Bank of Baroda, Union Bank of India, PNB - The Economic Times",-0.9382888078689575
BANKBARODA,2022-10-22,"Canara Bank, BHEL top Muhurat trading day stock picks: Sujit Deodhar - The Economic Times",-0.9329864382743835
