ticker,date,headline,sentiment_score
BHARTIARTL,2017-08-01,Check out Bharti Airtel Ltd's stock price (BHARTIARTL-IN) in real time - CNBC,-0.9442470669746399
BHARTIARTL,2017-03-23,"Bharti Airtel Share Price Today, Bharti Airtel Stock Price Live NSE/BSE Updates - The Economic Times",-0.9375849366188049
BHARTIARTL,2026-04-01,Bharti Airtel Ltd. - The Economic Times,-0.9167145490646362
BHARTIARTL,2020-09-21,"Q3 results today: Airtel, Tata Motors PV among 198 companies to report earnings on Thursday - The Economic Times",-0.84055095911026
BHARTIARTL,2022-06-14,BRTI.NS - Reuters,-0.9435914158821106
BHARTIARTL,2026-03-31,"Indian mobile giant Airtel raises $1 billion for data centers from Carlyle, other PE firms - CNBC",0.7392756342887878
BHARTIARTL,2014-03-15,Bharti Airtel Ltd - bloomberg.com,-0.9455863833427429
BHARTIARTL,2024-08-28,"Apple eyes bigger slice of India's streaming, music market with Airtel deal - CNBC",-0.5767002701759338
BHARTIARTL,2024-10-15,Chokhani: India provides a 'plethora of opportunities' for growth - CNBC,0.5199849009513855
BHARTIARTL,2025-11-06,Singtel sells about $1.2 billion stake in Indian telco Bharti Airtel - Reuters,-0.9372314810752869
BHARTIARTL,2017-03-23,Sectors - The Economic Times,-0.9119676947593689
BHARTIARTL,2008-08-01,NSE:Call and Put ratio-Aug 1 - Reuters,-0.9245615601539612
BHARTIARTL,2025-05-15,Singtel sells 1.2% stake in India's Bharti Airtel for $1.54 billion - Reuters,-0.9426898956298828
BHARTIARTL,2021-07-01,Soumyajit Saha - Reuters,-0.9176233410835266
BHARTIARTL,2022-04-04,SML Isuzu Ltd - Reuters,-0.939354658126831
BHARTIARTL,2021-10-07,Piramal Enterprises Ltd - Reuters,-0.9444970488548279
BHARTIARTL,2022-09-28,Motherson Sumi Wiring India Ltd - Reuters,-0.9435794353485107
BHARTIARTL,2022-06-15,About KPI Green Energy Ltd (KPIG.BO) - Reuters,-0.9455174207687378
