ticker,date,headline,sentiment_score
CGPOWER,2026-03-25,"CG Power & Industrial Solutions allots 3,640 equity shares under ESOP - Business Standard",-0.9459044337272644
CGPOWER,2026-03-27,CG Power and Industrial Solutions - Positive Breakout: These 14 stocks cross above their 200 DMAs - The Economic Times,0.5801060795783997
CGPOWER,2026-03-25,Board of Saboo Sodium Chloro approves investment of up to Rs 3.80 cr in Samskara Resorts (WoS) - Business Standard,0.7460193634033203
CGPOWER,2026-03-23,"Capital Market - Read all News, Stories, Videos and Photos from Capital Market - Business Standard",-0.9498226046562195
CGPOWER,2026-03-25,Nifty March futures trade at premium - Business Standard,-0.852886438369751
CGPOWER,2026-03-25,EUR/USD holding well above 1.1600 mark - Business Standard,0.9150735139846802
CGPOWER,2017-08-06,Check out CG Power and Industrial Solutions Ltd's stock price (CGPOWER-IN) in real time - CNBC,-0.9444507956504822
CGPOWER,2017-03-30,CG Power and Industrial Solutions Ltd. - The Economic Times,-0.9195486903190613
CGPOWER,2017-03-30,"CG Power & Ind. Share Price Today, CG Power & Ind. Stock Price Live NSE/BSE Updates - The Economic Times",-0.9406072497367859
CGPOWER,2025-01-28,CG Power and Industrial Solutions Limited - bsmedia.business-standard.com,-0.9513742327690125
CGPOWER,2024-10-21,CGPOWER IN EQUITY 21Oct24 RU - bsmedia.business-standard.com,-0.9457449316978455
CGPOWER,2025-10-30,CGPOWER IN EQUITY 30Oct25 RU - bsmedia.business-standard.com,-0.9438289999961853
CGPOWER,2020-08-04,"Cg power and industrial solutions - Latest cg power and industrial solutions , Information & Updates - Energy - ET EnergyWorld",-0.9461843967437744
CGPOWER,2024-01-23,CG Power and Industrial Solutions Q3 net profit falls 15% to Rs 197 crore - Business Standard,-0.9730835556983948
CGPOWER,2023-04-20,CG Power and Industrial Solutions Ltd - reuters.com,-0.940864086151123
CGPOWER,2026-01-27,CG Power Q3 FY26 profit jumps 19% to ₹284 crore; revenue grows 26% - ET EnergyWorld,0.9506813883781433
CGPOWER,2019-02-13,"CG power : Latest News Headlines, Videos and Photo Galleries on CG power - Business Standard",-0.9414613246917725
CGPOWER,2019-08-21,CG Power stock crashes 20% after probe reveals fraudulent transactions - Business Standard,-0.9659067988395691
CGPOWER,2022-06-06,CGPO.NS - reuters.com,-0.9427112936973572
CGPOWER,2024-03-01,CG Power to form JV with 2 foreign entities for OSAT facility in India - Business Standard,-0.9123379588127136
CGPOWER,2020-10-21,CG Power shareholders vote to declassify Gautam Thapar as promoter - Business Standard,-0.9331929683685303
CGPOWER,2024-03-01,CG Power JV to invest Rs 7600 cr in Gujarat semiconductor facility - Business Standard,-0.882473349571228
CGPOWER,2026-03-25,The Economic Times - The Economic Times,-0.9159992933273315
CGPOWER,2019-09-18,CG Power case: Look out circular issued against ex-chairman Gautam Thapar - Business Standard,-0.5330284237861633
CGPOWER,2019-02-28,CG Power & Industrial Solutions Ltd - Company Profile and News - Bloomberg.com,-0.944762647151947
CGPOWER,2024-07-08,Amar Kaul appointed as MD & CEO of CG Power for a period of five years - Business Standard,-0.9387707114219666
CGPOWER,2023-11-22,CG Power zooms 20% on plan to set-up subsidy-backed new semiconductor unit - Business Standard,0.9357460737228394
CGPOWER,2023-01-04,"CBI chargesheets CG Power, ex-promoter Thapar in Rs 2,435-cr fraud case - Business Standard",-0.7307978868484497
