ticker,date,headline,sentiment_score
DRREDDY,2024-02-05,Dr. Reddy's Laboratories Stocks Live Updates: Dr. Reddy's Laboratories Sees 0.93% Increase in Current Pri - The Economic Times,0.8371620178222656
DRREDDY,2024-04-08,"Dr. Reddy's Laboratories Share Price Today Live Updates: Dr. Reddy's Laboratories Stock Sees Slight Gain, - The Economic Times",0.889098048210144
DRREDDY,2024-04-01,"Dr. Reddy's Laboratories Stocks Live Updates: Dr. Reddy's Laboratories Stock Sees 1.94% Increase, SMA7 at - The Economic Times",0.9386094808578491
DRREDDY,2023-12-14,"Dr. Reddy's Laboratories Share Price Updates: Dr. Reddy's Laboratories Closes at Rs 5579.0, Experiencing - The Economic Times",-0.923323392868042
DRREDDY,2024-02-23,Dr. Reddy's Laboratories Stocks Live Updates: Dr. Reddy's Laboratories Closes at Rs 6363.95 with a 6-Mont - The Economic Times,-0.8049615621566772
DRREDDY,2024-05-23,Dr. Reddy's Laboratories Share Price Live Updates: Dr. Reddy's Laboratories Closes at Rs 5872.75 with 1.6 - The Economic Times,-0.8744127750396729
DRREDDY,2024-04-24,Dr. Reddy's Laboratories Stocks Live Updates: Dr. Reddy's Laboratories Sees Marginal Gain as EMA3 Holds F - The Economic Times,-0.606322705745697
DRREDDY,2024-03-15,Dr. Reddy's Laboratories Share Price Live Updates: Dr. Reddy's Laboratories Sees a 0.62% Decrease in Pric - The Economic Times,-0.9284674525260925
DRREDDY,2024-04-18,Dr. Reddy's Laboratories Share Price Live Updates: Dr. Reddy's Laboratories Closes at Rs 6050.35 with 0.6 - The Economic Times,-0.8391633033752441
DRREDDY,2024-04-01,Dr. Reddy's Laboratories Stocks Live Updates: Dr. Reddy's Laboratories Sees Modest Gain in Stock Price wi - The Economic Times,0.905033528804779
DRREDDY,2024-02-26,Dr. Reddy's Laboratories Share Price Today Updates: Dr. Reddy's Laboratories Sees Minor Decline in Stock - The Economic Times,-0.9630419611930847
