ticker,date,headline,sentiment_score
HDFCLIFE,2026-03-31,HDFC Life Insurance Company Stocks Live Updates: HDFC Life Insurance Company News - The Economic Times,-0.9381116032600403
HDFCLIFE,2026-04-02,Ashok Leyland among 4 F&O stocks that saw a high increase in futures open interest - The Economic Times,0.8123078346252441
HDFCLIFE,2026-03-30,The Economic Times - The Economic Times,-0.9159992933273315
HDFCLIFE,2026-03-30,Keto Motors Ltd. - The Economic Times,-0.9206528663635254
HDFCLIFE,2026-04-02,"Picturepost Studios Cash Flow, Financial Statements - The Economic Times",-0.9290721416473389
HDFCLIFE,2026-04-01,"Delta Autocorp Nine Monthly Results, Nine Monthly Earnings for Delta Autocorp - The Economic Times",-0.9113510251045227
HDFCLIFE,2026-04-02,"Share Market Live, Share Market Today: Latest Share Market News, Share Market Live Updates on The Economic Times - The Economic Times",-0.9371888637542725
HDFCLIFE,2026-03-30,"Indian shares log worst fiscal since 2020 as foreign exodus, war, trade woes bite - Reuters",-0.9501345753669739
HDFCLIFE,2019-01-23,"HDFC Life Share Price Today, HDFC Life Stock Price Live NSE/BSE Updates - The Economic Times",-0.9412044286727905
HDFCLIFE,2017-11-18,Check out HDFC Life Insurance Company Ltd's stock price (HDFCLIFE-IN) in real time - CNBC,-0.9464260935783386
HDFCLIFE,2025-10-15,India's HDFC Life posts quarterly profit rise on retail insurance demand - Reuters,0.9184892177581787
HDFCLIFE,2020-05-12,"Hdfc life insurance - Latest hdfc life insurance , Information & Updates - BFSI -ET BFSI - BFSI News",-0.9505015015602112
HDFCLIFE,2021-06-29,"Hdfc life insurance company - Latest hdfc life insurance company , Information & Updates - BFSI -ET BFSI - BFSI News",-0.9502728581428528
HDFCLIFE,2020-04-27,"HDFC Life Q4 Results: Cons PAT rises 15% YoY to Rs 475 crore, revenue jumps 16% - The Economic Times",0.9350414872169495
HDFCLIFE,2025-07-15,HDFC Life Q1 profits rises 14 pc to Rs 546 cr - BFSI News,0.9405472278594971
HDFCLIFE,2025-01-15,India's HDFC Life posts Q3 profit rise on insurance boost - Reuters,0.8369846343994141
HDFCLIFE,2017-11-16,HDFCLIFE: HDFC Life Insurance Co Ltd Stock Price Quote - Natl India - Bloomberg - bloomberg.com,-0.9488039016723633
HDFCLIFE,2021-09-03,"HDFC Life to acquire 100% stake in Exide Life Insurance for Rs 6,687 crore - BFSI News",-0.9117842316627502
HDFCLIFE,2025-04-20,HDFC Life sees steady VNB gains despite APE growth slowdown - BFSI News,0.9102076888084412
HDFCLIFE,2026-03-26,(HDFL.NS) | Stock Price & Latest News - Reuters,-0.9177959561347961
HDFCLIFE,2026-01-15,India's HDFC Life profit rises marginally as tax cuts drive demand amid high costs - Reuters,0.9076906442642212
HDFCLIFE,2024-04-18,HDFC Life Insurance reports weaker new business margin for FY 2024 - BFSI News,-0.9682027101516724
HDFCLIFE,2026-03-30,HDFC Life Insurance Company Ltd. - The Economic Times,-0.9294619560241699
HDFCLIFE,2025-01-21,OMD India awarded the integrated media mandate for HDFC Life - ET BrandEquity,0.8357080221176147
HDFCLIFE,2025-03-13,India's HDFC Life says earlier data theft had no 'material impact' - Reuters,-0.8931877613067627
HDFCLIFE,2025-08-11,"HDFC Life and Northern Arc Capital Enter into a Strategic Partnership, Offering Financial Security to Custom.. - BFSI News",0.8936786651611328
HDFCLIFE,2022-12-17,AU Small Finance Bank and HDFC Life Announce Bancassurance Tie-up - BFSI News,-0.924525797367096
HDFCLIFE,2025-05-02,Vishal Subharwal quits HDFC Life; Pritika Shah elevated to head marketing - ET BrandEquity,-0.9201325178146362
HDFCLIFE,2024-09-09,"How LIC, SBI Life, HDFC Life and others are gearing up for higher surrender value regime - BFSI News",-0.821785569190979
HDFCLIFE,2026-01-19,"HDFC Life Insurance eyes durable growth, VNB margin recovery amid protection momentum - BFSI News",0.8763259053230286
HDFCLIFE,2019-11-07,HDFC Life collaborates with Google to maximise campaign results - ET BrandEquity,0.5568550229072571
HDFCLIFE,2023-06-23,India's insurance regulator approves transfer of HDFC Life shares to HDFC Bank - Reuters,-0.9246078133583069
HDFCLIFE,2026-01-22,Hdfc Life’s reinforces the role of values and financial planning in latest brand campaign - ET BrandEquity,-0.7711496949195862
HDFCLIFE,2024-04-25,HDFC Life and Peerless Financial Products Distribution Ltd. (PFPDL) Enter into a Corporate Agency Tie-Up - BFSI News,-0.8826935887336731
HDFCLIFE,2025-12-08,Hdfc Life inspires Indians to secure their ‘life ki script’ - ET BrandEquity,0.7045420408248901
HDFCLIFE,2021-11-03,CCI approves acquisition of Exide Life by HDFC Life Insurance - BFSI News,-0.8266435265541077
HDFCLIFE,2021-02-23,"Hdfc life - Latest hdfc life , Information & Updates - HR -ETHRWorld - ETHRWorld.com",-0.9492323994636536
HDFCLIFE,2024-11-25,"India's HDFC Life launches probe after customer data shared with ""mala fide"" intent - Reuters",-0.4851670265197754
HDFCLIFE,2024-09-23,"HDFC Life CFO says focus is on navigating regulatory changes, risk management, and profitability - ET CFO",-0.9180695414543152
HDFCLIFE,2025-10-17,"HDFC Life expects margins recovery, strong VNB growth by FY28 amid product mix shift - BFSI News",0.9450916647911072
HDFCLIFE,2025-01-24,HDFC Life’s new campaign highlights parental values and financial planning - ET BrandEquity,-0.7442691922187805
HDFCLIFE,2015-12-17,HDFC Life implements SAP HANA for its entire SAP portfolio - ET CIO,-0.8907515406608582
HDFCLIFE,2022-10-10,HDFC Life adopts cloud for efficient financial reporting - ET CIO,-0.8119331002235413
HDFCLIFE,2021-10-29,HDFC Life portrays different stages of life with Manjot Singh in new ad - ET BrandEquity,-0.9258169531822205
HDFCLIFE,2025-07-17,HDFC Life’s growth outlook cautiously optimistic; margins to stay range-bound - BFSI News,0.9261534214019775
HDFCLIFE,2021-09-03,HDFC Life to Acquire Rival in India’s Biggest Insurance Deal - bloomberg.com,-0.6322878003120422
HDFCLIFE,2025-09-23,Hdfc Life's ad encourages consumers to embrace online insurance purchases - ET BrandEquity,0.6624740362167358
HDFCLIFE,2021-09-24,Here's how HDFC life elevated their data modernization journey - ET CIO,-0.922173023223877
HDFCLIFE,2025-12-26,"HDFC Life to rely on internal cash flows, not equity, as solvency norms tighten: CFO Niraj Shah - ET CFO",-0.9302496314048767
HDFCLIFE,2024-09-09,Rishabh Pant’s story powers HDFC Life’s campaign - ET BrandEquity,-0.7976207733154297
HDFCLIFE,2018-09-12,HDFC Life names Vibha Padalkar as MD & CEO - The Economic Times Video | ET Now - The Economic Times,-0.94190514087677
HDFCLIFE,2021-03-31,Mentoring with a transparent culture will help women employees hold key business positions in future: Vibhas.. - ETHRWorld.com,-0.7913202047348022
HDFCLIFE,2026-02-24,"GST impact on insurers: LIC, Axis Max Life outpace peers, HDFC Life trails - BFSI News",-0.8612821102142334
HDFCLIFE,2018-06-25,We are trying to disrupt ourselves from within: HDFC Life COO Subrat Mohanty - ET CIO,-0.6175970435142517
HDFCLIFE,2022-02-07,Pratik Gandhi asks customers to ‘compromise no more’ in HDFC Life ad - ET BrandEquity,-0.8625746965408325
HDFCLIFE,2022-10-15,HDFC Life completes merger of Exide Life - BFSI News,-0.9255514740943909
HDFCLIFE,2022-07-26,HDFC Life’s latest campaign promotes financial planning for the children’s futures - ET BrandEquity,-0.7278539538383484
HDFCLIFE,2024-12-05,1.6 crore customer records of HDFC Life being sold on Dark Web: CyberPeace - ET CIO,-0.9431431889533997
HDFCLIFE,2022-10-15,Irdai grants approval to merger of Exide Life into HDFC Life - ETLegalWorld.com,-0.7885440587997437
HDFCLIFE,2024-07-25,HDFC Life helps parents secure their child's future in new ad - ET BrandEquity,0.5190483331680298
HDFCLIFE,2017-03-02,HDFC Life in partnership with Haptik brings first of its kind life insurance chatbot in India - ET CIO,0.5290423631668091
HDFCLIFE,2024-12-13,Pushkar Wadhone joins HDFC Life as Vice President - HR - ETHRWorld.com,-0.942449152469635
HDFCLIFE,2021-12-22,HDFC Life Wins the 'Best Governed Company Listed Segment: Large Category' at the 21st ICSI National Awards f.. - ETLegalWorld.com,0.8607425689697266
HDFCLIFE,2025-11-26,"Axis Max Life, HDFC Life, ICICI Pru Q2 show divergent VNB and margin trends - BFSI News",-0.7292555570602417
HDFCLIFE,2024-11-07,HDFC Life & riidl Somaiya Vidyavihar Join Hands for Futurance Phase 6 'Demo Day' - BFSI News,-0.8797610402107239
HDFCLIFE,2017-05-22,HDFC Life brings India's first AI-based insurance email bot SPOK - ET CIO,-0.7293092608451843
HDFCLIFE,2021-02-22,Thomson Thomas CIO of HDFC Life resigns - ET CIO,-0.9486161470413208
HDFCLIFE,2024-12-15,HDFC Life Insurance faces ₹3.09 cr demand under GST - ETLegalWorld.com,-0.5392831563949585
HDFCLIFE,2024-09-25,HDFC Life Announces a Tri-party Tie-Up with Metropolis and CallHealth - BFSI News,-0.8489819169044495
HDFCLIFE,2017-02-08,HDFC Life promotes the idea of self-reliance in its new ad campaign - ET BrandEquity,-0.836770236492157
HDFCLIFE,2024-04-04,"Rohit Kilam, CTO, HDFC Life Insurance on the transformation of BFSI - ET CIO",-0.9200063943862915
HDFCLIFE,2025-10-15,HDB Financial Services Q2 profit slips 1.5 pc to Rs 581 crore - BFSI News,-0.962717592716217
HDFCLIFE,2026-04-02,"SBI Life Share Price Today, SBI Life Stock Price Live NSE/BSE Updates - The Economic Times",-0.939715564250946
HDFCLIFE,2017-11-28,"hdfc ergo: Latest News & Videos, Photos about hdfc ergo - The Economic Times",-0.9350926876068115
HDFCLIFE,2019-06-27,"HDFC Life launches its musical logo, to be used across customer touch points - ET BrandEquity",-0.7928168773651123
HDFCLIFE,2015-08-08,HDFC Life brings in Lisa Ray to promote new 'Cancer Care' offering - ET BrandEquity,-0.661915123462677
HDFCLIFE,2019-12-04,HDFC Life’s Futurance program enters phase two - ET BrandEquity,-0.8105366230010986
HDFCLIFE,2024-12-06,"Working Women, Tier-3 Cities drive growth in life insurance confidence: Report - BFSI News",-0.7431582808494568
HDFCLIFE,2021-01-08,"HDFC AMC Q1 Results: PAT jumps 26% YoY to Rs 604 crore, revenue surges 35% - The Economic Times",0.9387610554695129
HDFCLIFE,2025-06-25,"ICICI Pru Life Share Price Today, ICICI Pru Life Stock Price Live NSE/BSE Updates - The Economic Times",-0.9424689412117004
HDFCLIFE,2019-09-14,"Sbi life insurance - Latest sbi life insurance , Information & Updates - BFSI -ET BFSI - BFSI News",-0.9497238993644714
HDFCLIFE,2021-07-03,New Business Premium - The Economic Times,-0.9095335602760315
HDFCLIFE,2022-08-13,Kalpesh Doshi Joins HDFC Life as CISO - ET CIO,-0.9459370970726013
HDFCLIFE,2022-04-27,"LIC Share Price Today, LIC Stock Price Live NSE/BSE Updates - The Economic Times",-0.9366926550865173
HDFCLIFE,2017-10-15,SBI Life Insurance Company Ltd. - The Economic Times,-0.9276003241539001
HDFCLIFE,2024-04-03,"Life Insurance brands failing to raise CX bar, Industry's NPS stagnated - BFSI News",-0.9252662062644958
HDFCLIFE,2026-04-02,"Max Financial Share Price Today, Max Financial Stock Price Live NSE/BSE Updates - The Economic Times",-0.9417448043823242
HDFCLIFE,2026-04-02,HDFC Bank Ltd. - The Economic Times,-0.9258801341056824
HDFCLIFE,2022-04-27,Life Insurance Corporation of India - The Economic Times,-0.9267266988754272
HDFCLIFE,2025-02-11,Private life insurers to lead APE growth in FY25 as LIC struggles - BFSI News,0.8583587408065796
HDFCLIFE,2018-07-18,HDFC Asset Management Company Ltd. - The Economic Times,-0.9318380951881409
HDFCLIFE,2025-09-21,Healthcare without borders – why global Indians need digital health Insurance revolution - BFSI News,-0.8952497243881226
HDFCLIFE,2017-03-31,ICICI Prudential Life Insurance Company Ltd. - The Economic Times,-0.9318598508834839
HDFCLIFE,2017-10-14,General Insurance Corporation of India - The Economic Times,-0.9258714914321899
HDFCLIFE,2017-04-19,Goodricke Group Ltd. - The Economic Times,-0.9166687726974487
HDFCLIFE,2025-07-21,"HDFC Bank, ICICI Bank lead India's stock benchmarks higher, Reliance caps gains - Reuters",0.6184461116790771
HDFCLIFE,2025-12-06,"SBI Life, Max Financial ripe for re-rating as insurance sector navigates regulatory shifts - BFSI News",-0.830717921257019
HDFCLIFE,2018-07-18,"HDFC AMC Share Price Today, HDFC AMC Stock Price Live NSE/BSE Updates - The Economic Times",-0.9410324692726135
HDFCLIFE,2017-03-24,"Apar Industries Yearly results, Financial Summary - The Economic Times",-0.9166121482849121
