ticker,date,headline,sentiment_score
ICICIGI,2018-01-05,"icici lombard general insurance company Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More - Moneycontrol.com",-0.9473521113395691
ICICIGI,2025-08-26,"Quarterly Results, ICICI Lombard General Insurance Company Financial Statement & Accounts - Moneycontrol.com",-0.9411576986312866
ICICIGI,2025-10-15,ICICIGI IN 15Oct25 - images.moneycontrol.com,-0.9480374455451965
ICICIGI,2024-11-15,ICICI Lombard General Insurance Company - Moneycontrol.com,-0.9523537755012512
ICICIGI,2022-01-10,ICICI Lombard General Insurance Company Ltd. - Moneycontrol.com,-0.9504836201667786
ICICIGI,2024-11-20,ICICI Lombard General Insurance Company - Moneycontrol.com,-0.9523537755012512
ICICIGI,2025-10-15,Buy ICICI Lombard General Insurance Company; target of Rs 2250: ICICI Securities - Moneycontrol.com,-0.939275324344635
ICICIGI,2025-07-16,Buy ICICI Lombard; target of Rs 2400: Motilal Oswal - Moneycontrol.com,-0.9434388279914856
ICICIGI,2018-01-22,ICICI Lombard General Insurance Company Ltd. - Moneycontrol.com,-0.9504836201667786
ICICIGI,2024-09-24,Buy ICICI Lombard; target of Rs 2650: Motilal Oswal - Moneycontrol.com,-0.9426701068878174
ICICIGI,2026-03-09,ICICI Lombard General Insurance Company - Moneycontrol.com,-0.9523537755012512
ICICIGI,2025-10-15,"Q2 Results impact: ICICI Lombard shares jump 8% after net profit rises 18%, Thyrocare rallies 17% - Moneycontrol.com",0.8398492336273193
ICICIGI,2021-10-15,ICICI Lombard General Insurance Company Ltd. - Moneycontrol.com,-0.9504836201667786
ICICIGI,2025-08-23,19:44 22:52 02:00 1890 1920 1950 - The Economic Times - The Economic Times,-0.9192016124725342
ICICIGI,2025-06-06,"ICICI Lombard, Go Digit shares rally as Centre likely mulls up to 25% hike in third-party motor insurance... - Moneycontrol.com",-0.49992698431015015
ICICIGI,2021-08-23,ICICI Lombard General Insurance Company Ltd. - Moneycontrol.com,-0.9504836201667786
ICICIGI,2018-05-18,ICICI Lombard General Insurance Company Ltd. - Moneycontrol.com,-0.9504836201667786
ICICIGI,2026-01-14,ICICI Lombard General Insurance Company - images.moneycontrol.com,-0.9515384435653687
ICICIGI,2026-01-10,ICICI Lombard employee accidentally shares draft Q3 financial results on WhatsApp - Moneycontrol.com,-0.9218475222587585
ICICIGI,2018-01-21,ICICI Lombard General Insurance Company Ltd. - Moneycontrol.com,-0.9504836201667786
ICICIGI,2025-10-16,Buy ICICI Lombard; target of Rs 2300: Motilal Oswal - Moneycontrol.com,-0.9431981444358826
ICICIGI,2026-01-14,Buy ICICI Lombard; target of Rs 2260: Motilal Oswal - Moneycontrol.com,-0.9427101016044617
ICICIGI,2025-10-14,Q2 FY26 Results: ICICI Lombard net profit rises 18% yoy to Rs 820 crore - Moneycontrol.com,0.9324210286140442
ICICIGI,2026-01-19,Buy ICICI Lombard General Insurance Company; target of Rs 2250: ICICI Securities - Moneycontrol.com,-0.939275324344635
ICICIGI,2025-11-04,Moneycontrol Pro Panorama | When Market Dominance Works: Why India's Duopolies are Different - Moneycontrol.com,-0.9300113916397095
ICICIGI,2018-05-02,"F&O Market Snapshot: Future and Options NSE, BSE, F&O margin, F&O quotes - Moneycontrol - Moneycontrol.com",-0.9391407370567322
ICICIGI,2018-01-13,"Most Active Shares - F&O Market, All Futures & Options, Index Futures, Index Options, Stock Futures, Stock Options - Moneycontrol.com",-0.9493613243103027
ICICIGI,2022-03-02,Trade setup for Wednesday: Top 15 things to know before Opening Bell - Moneycontrol.com,-0.9371259808540344
ICICIGI,2022-06-02,Trade setup for today: Top 15 things to know before the opening bell - Moneycontrol.com,-0.9378705024719238
ICICIGI,2022-05-27,Trade setup for today: Top 15 things to know before the opening bell - Moneycontrol.com,-0.9378705024719238
ICICIGI,2020-09-14,YOU ARE HERE Moneycontrol Market F&O > Active Calls - Moneycontrol.com,-0.9465038180351257
ICICIGI,2024-11-16,ICICI Lombard General Insurance Company - Moneycontrol.com,-0.9523537755012512
ICICIGI,2021-07-03,"Jefferies' Chris Wood launches India equity portfolio; financials, real estate, energy stocks see highest... - Moneycontrol.com",-0.8412101864814758
ICICIGI,2022-11-10,Trade setup for today: Top 15 things to know before the opening bell - Moneycontrol.com,-0.9378705024719238
ICICIGI,2024-10-11,ICICI Lombard General Insurance Company - Moneycontrol.com,-0.9523537755012512
ICICIGI,2024-07-01,Weekly Market Outlook: Markets likely to enter earnings season with strength - Moneycontrol.com,-0.667326033115387
ICICIGI,2024-04-01,Which stocks and sectors will be in focus in April Series as per rollover data? - Moneycontrol.com,-0.9379568696022034
ICICIGI,2025-10-03,"F&O Radar| 2 F&O strategies to deploy in Nifty, ICICI General Insurance to play a bullish bias - The Economic Times",-0.7785652875900269
ICICIGI,2019-11-05,These 14 companies could soon be part of NSE derivative segment; do you own any? - Moneycontrol.com,-0.9486390352249146
ICICIGI,2026-01-11,ICICI Lombard alerts exchanges after employee shares draft Q3 results on WhatsApp - The Economic Times,-0.8919857740402222
ICICIGI,2024-03-01,ICICI Bank buys 25 lakh shares to make ICICI Lombard Gen Insurance subsidiary co - Moneycontrol.com,-0.8690556287765503
ICICIGI,2018-02-27,Icici Lombard General Insurance - Moneycontrol.com,-0.9514157772064209
ICICIGI,2026-01-14,ICICI Lombard General Insurance Q3 PAT slips 9% - The Economic Times,-0.948516845703125
ICICIGI,2026-01-06,"Market Trading Guide: Buy SBI Card, ICICI Lombard and 2 more stocks on Wednesday for up to 11% gains - The Economic Times",0.6166353821754456
ICICIGI,2025-05-27,"Phillip Capital bets on ICICI Lombard, Max Financial as insurance sector recovery takes shape - The Economic Times",-0.8639074563980103
ICICIGI,2025-01-17,"ICICI Lombard Q3 Results: PAT jumps 68% YoY to Rs 724 crore, total income grows 17% - The Economic Times",0.9398776292800903
ICICIGI,2025-10-16,ICICI Lombard General Insurance Company - Positive Breakout: These 12 stocks cross above their 200 DMAs - The Economic Times,0.6485573649406433
