ticker,date,headline,sentiment_score
INDIGO,2026-04-02,"IndiGo to scale up to 2,000 daily domestic flights as operations stabilise: Report - ET Infra",0.7218672037124634
INDIGO,2026-04-01,'Slasher' Walsh takes one of aviation's toughest jobs at IndiGo - ET Infra,-0.6985253691673279
INDIGO,2026-03-31,IndiGo appoints IATA DG Willie Walsh as it's new CEO - ET TravelWorld,-0.9273824095726013
INDIGO,2026-03-31,IndiGo appoints former British Airways chief William Walsh as CEO - business-standard.com,-0.9154811501502991
INDIGO,2026-03-31,"Flight disruptions, CEO exit, new boss: IndiGo's turbulent few months - business-standard.com",-0.6112516522407532
INDIGO,2026-03-31,"IndiGo appoints William Walsh CEO to steer growth, stabilise operations - business-standard.com",-0.9010840058326721
INDIGO,2026-04-01,Indigo to raise ticket prices again starting April 2 as ATF costs surge - business-standard.com,-0.8587287664413452
INDIGO,2026-03-31,IndiGo names Willie Walsh as CEO: List of foreign chiefs at Indian airlines - business-standard.com,-0.925317645072937
INDIGO,2026-04-01,"SpiceJet, Indigo welcome ATF price increase amid West Asia crisis - business-standard.com",0.542382001876831
INDIGO,2026-04-02,IndiGo revises fuel charges amid surge in ATF prices - ET TravelWorld,-0.41721871495246887
INDIGO,2026-04-04,IndiGo deploys its 2nd A321XLR on Delhi - Istanbul Route from 19 April 2026 - ET TravelWorld,-0.5233415365219116
INDIGO,2026-04-02,IndiGo to deploy second A321XLR on Delhi-Istanbul route from April 19 - ET Infra,-0.55125892162323
INDIGO,2026-04-01,"Stocks to Watch today: Bharti Airtel, Adani Ports, PhysicsWallah, IndiGo - business-standard.com",-0.9467412829399109
INDIGO,2026-04-01,IndiGo shares jump 9% after India's largest airline names industry veteran William Walsh as CEO - CNBC,-0.774667501449585
INDIGO,2026-04-06,"Air India CEO Campbell Wilson resigns amid losses and regulatory scrutiny, source says - Reuters",-0.9043074250221252
INDIGO,2026-03-31,IndiGo names aviation heavyweight Willie Walsh as new CEO - Reuters,-0.928530752658844
INDIGO,2026-04-06,"Sensex drops 300 points, Nifty below 22,650 as Trump's threats to Iran push oil above $110/barrel - ET BFSI",-0.947272777557373
INDIGO,2026-04-01,IndiGo shares jump after Indian airline names veteran Willie Walsh as CEO - Reuters,-0.8289703726768494
INDIGO,2026-04-06,NCLAT directs to conclude insolvency proceedings of Future Lifestyle Fashion in 3 months - ETLegalWorld.com,-0.9403219223022461
INDIGO,2026-04-06,Air India CEO Campbell Wilson steps down amid continuing losses: Report - business-standard.com,-0.6921120285987854
INDIGO,2026-04-06,Quarterly results of companies - business-standard.com,-0.8989714980125427
INDIGO,2026-04-06,"FPI, MF positioning leaves HDFC Bank vulnerable to further downside - business-standard.com",-0.5289297103881836
INDIGO,2026-04-07,No evidence of generalized supply stress or inflationary transmission in essential food commodities - business-standard.com,-0.7699611186981201
INDIGO,2026-04-05,"West Asia conflict, airspace curbs likely to cost carriers ₹2.5K crore - business-standard.com",-0.4795306921005249
INDIGO,2026-04-07,"Government of India announces the sale of one dated security for a notified amount of ₹34,000 crore - business-standard.com",-0.9242982864379883
INDIGO,2026-04-07,PTC India edges higher after Crisil Ratings revises rating outlook to 'negative' - business-standard.com,-0.8032673597335815
INDIGO,2026-04-07,Metal stocks up 22% from Mar lows; Analyst sees up to 18% upside in these 3 - business-standard.com,0.9528912901878357
INDIGO,2026-04-07,Biocon shares slip 4% amid heavy volumes; 9.58 mn shares traded on NSE - business-standard.com,-0.9721192121505737
INDIGO,2026-04-07,"TCS Q4 preview: Profit may rise 14% YoY; AI, deal wins key monitorables - business-standard.com",0.7535569071769714
INDIGO,2026-04-07,India's 10-year yield eases near 7% mark as RBI remains in focus - business-standard.com,-0.6340800523757935
INDIGO,2026-04-07,Yen nears 160 as dollar strength and oil surge intensify pressure - business-standard.com,-0.7276647686958313
INDIGO,2026-04-07,Markets set on favourable FY27 base; Iran war ceasefire key trigger: MOFSL - business-standard.com,-0.8726372718811035
INDIGO,2026-04-06,"Reliance slips 4%; stock hits over 10-month low, m-cap falls below ₹18 trn - business-standard.com",-0.9506584405899048
INDIGO,2026-04-07,Board of BLUECLOUDS approves acquisition of Global Impx Inc. - business-standard.com,-0.9311233758926392
INDIGO,2026-04-07,Godrej Consumer gains on double-digit Q4 growth outlook - business-standard.com,-0.7434005737304688
