ticker,date,headline,sentiment_score
LICI,2026-03-10,How do I decide which mutual fund schemes to continue with and which ones to exit? - The Economic Times,-0.9400379061698914
LICI,2021-11-01,LIC SIIP Policy - Growth - Moneycontrol.com,-0.9467838406562805
LICI,2025-05-27,LIC to announce Q4 results today: Here's what to expect from the state-owned insurer - The Economic Times,-0.9336918592453003
LICI,2025-08-19,"Stocks in news: Vedanta, LIC, Reliance, GMR Airports, Vodafone Idea - The Economic Times",-0.9335697889328003
LICI,2025-07-10,Govt to sell minority stake in LIC - The Economic Times,-0.9354605674743652
LICI,2025-10-26,LIC refutes Washington Post report on $3.9 bn Adani investment - The Economic Times,-0.8177125453948975
LICI,2024-12-09,"LIC gave 35.9% returns in past year, outperforms market benchmark; is LIC a good buy now? - The Economic Times",0.8892094492912292
LICI,2025-10-27,"Stocks in news: LIC, Sobha, Ola Electric, Kotak Bank, RIL, Adani Energy Solutions - The Economic Times",-0.9406775832176208
LICI,2024-08-12,"Game changer? LIC may enter indemnity health insurance by buying stand-alone private insurer, says CEO - The Economic Times",-0.9115132093429565
LICI,2025-01-13,LIC’s decline dampens life insurance industry growth in December 2024 - The Economic Times,-0.9182797074317932
LICI,2025-08-01,"Govt appoints merchant bankers, legal firms for managing stake sales in LIC, PSBs, other fin institutions - The Economic Times",-0.9438372254371643
LICI,2025-06-11,FSIB recommends R Doraiswamy as next MD & CEO of LIC - The Economic Times,-0.9046567678451538
LICI,2021-12-06,Should I surrender my LIC Jeevan Anand Policy after paying premiums for 11 years? - The Economic Times,-0.898058295249939
LICI,2022-04-28,"life insurance Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More - Moneycontrol.com",-0.9468382596969604
LICI,2011-07-27,Sovereign guarantee for all policies issued by LIC will continue - The Economic Times,-0.8001812100410461
LICI,2025-04-24,"Pahalgam tragedy: LIC announces special window for death claim settlements, how to file a death claim with - The Economic Times",-0.9229496121406555
LICI,2024-07-08,Sell LIC policy and 'get money in 48 hours with life cover till maturity': Looks attractive? But beware of - The Economic Times,-0.8472545742988586
LICI,2024-08-05,LIC launches new term insurance and credit life plans - The Economic Times,-0.8553327918052673
LICI,2026-02-24,"IT fall impact: LIC's investment in IT stocks declines by Rs 42,500 crore in two months - Moneycontrol.com",-0.9699440598487854
LICI,2021-04-30,LIC Jeevan Arogya: Life Insurance Corporation of India (LIC) was ordered by National Consumer Disputes Re - The Economic Times,-0.8767853379249573
LICI,2019-08-13,Suicide is covered under life insurance: All you need to know - The Economic Times,-0.9342145919799805
LICI,2023-03-14,LIC appoints Tablesh Pandey as Managing Director with effect from April 1 - The Economic Times,-0.9282853007316589
LICI,2025-08-04,"LIC Housing shares in focus as profit grows 5% YoY in Q1, asset quality improves - Moneycontrol.com",0.8801016807556152
LICI,2025-11-18,"Trade Spotlight: How should you trade LIC, DOMS, Marico, Biocon, Chennai Petroleum Corporation, Canara... - Moneycontrol.com",-0.942192018032074
LICI,2022-05-03,"LIC IPO rush: Why mutual funds invested Rs 4,000 crore in anchor book? - Moneycontrol.com",-0.9371778964996338
LICI,2024-01-23,Life Insurance Corporation of India Ltd. - Moneycontrol.com,-0.9497321248054504
LICI,2025-07-02,LIC’s stake in NSE emerges as fifth most valuable holding for insurance behemoth - Moneycontrol.com,0.7764423489570618
LICI,2025-03-12,Centre plans staggered LIC stake sale to meet 10% shareholding norm by 2027: Report - Moneycontrol.com,-0.8660862445831299
LICI,2025-11-04,"LIC lifts stakes in SBI, Coal India, Sun Pharma, HCL; cuts exposure in HDFC Bank, ICICI Bank - Moneycontrol.com",0.4974677860736847
LICI,2022-02-03,"EXCLUSIVE India LIC's embedded value set at over $66.8 bln, govt official says - Reuters",-0.9113231897354126
LICI,2022-05-11,Life Insurance Corporation of India Ltd. - Moneycontrol.com,-0.9497321248054504
LICI,2025-11-07,"LIC shares jump 4% after firm's Q2 results beat estimates: Should you buy, sell or hold? - Moneycontrol.com",-0.8639749884605408
LICI,2022-05-01,Life Insurance Corporation of India Ltd. - Moneycontrol.com,-0.9497321248054504
LICI,2025-08-08,"LIC shares jump 4% after Q1 net profit jumps 5%; should you buy, sell or hold? - Moneycontrol.com",-0.9167949557304382
LICI,2024-09-03,Relief for policyholders: Will 18% GST on term life insurance premium be removed in the GST meeting on Sep - The Economic Times,-0.6111559271812439
LICI,2022-04-28,Life Insurance Corporation of India Ltd. - Moneycontrol.com,-0.9497321248054504
LICI,2024-11-13,Life Insurance Corporation of India - Moneycontrol.com,-0.9516867995262146
LICI,2023-11-28,Life Insurance Corporation of India Ltd. - Moneycontrol.com,-0.9497321248054504
LICI,2024-12-16,New next-day stock delivery will come at a cost: Know how T+0 settlement will impact mutual fund and stock - The Economic Times,-0.936665952205658
LICI,2022-02-21,LIC asks policyholders to update bank details for easy claim process: Here’s how to register for NEFT mand - The Economic Times,-0.9388095736503601
LICI,2025-12-12,"Floodgates open: What 100% FDI means for insurance, you and India - The Economic Times",-0.8889828324317932
LICI,2025-04-22,"Trade Spotlight: How should you trade LIC, CDSL, SBI, Sun Pharma, Hindalco, Adani Green Energy, and others... - Moneycontrol.com",-0.9384879469871521
LICI,2024-05-15,LIC gets 3 more years to meet minimum public shareholding norms - Moneycontrol.com,-0.8442727327346802
LICI,2024-11-13,Life Insurance Corporation of India - Moneycontrol.com,-0.9516867995262146
LICI,2024-11-15,Life Insurance Corporation of India - Moneycontrol.com,-0.9516867995262146
LICI,2025-05-28,"LIC shares jump 9% on mixed Q4: Should you buy, sell, or hold? - Moneycontrol.com",-0.9350926876068115
LICI,2022-08-10,Chart of the Day: LIC holds on to its market share this year - Moneycontrol.com,0.6728414297103882
LICI,2024-01-22,"Life Insurance Corporation of India Cash Flow, Life Insurance Corporation of India Financial Statement & Accounts - Moneycontrol.com",-0.9399756789207458
LICI,2024-12-10,LIC shares slip nearly 4% on drop in November premiums - Moneycontrol.com,-0.9691397547721863
LICI,2019-06-16,LIC Pension Fund Scheme E - Tier I - Moneycontrol.com,-0.9509193301200867
