ticker,date,headline,sentiment_score
LTM,2026-04-01,"Making ai work - Latest making ai work , Information & Updates - Government - ETGovernment.com",-0.9471861124038696
LTM,2017-05-15,LTM: Latam Airlines Group SA Stock Price Quote - Sant. Comerc - Bloomberg - bloomberg.com,-0.9510242938995361
LTM,2022-06-06,LTM.SN - Reuters,-0.9430077075958252
LTM,2026-03-25,LTM.Z - | Stock Price & Latest News - Reuters,-0.9304882884025574
LTM,2026-03-05,LTM.N - | Stock Price & Latest News - Reuters,-0.9298698306083679
LTM,2026-03-02,Check out LTM Ltd's stock price (LTM-IN) in real time - CNBC,-0.9427356719970703
LTM,2018-09-12,LTM LIMITED - The Economic Times,-0.9263192415237427
LTM,2026-03-26,(LTM.N) | Stock Price & Latest News - Reuters,-0.9171956181526184
LTM,2026-03-27,(LTM.P) | Stock Price & Latest News - Reuters,-0.9134190678596497
LTM,2026-03-18,LTM.P - | Stock Price & Latest News - Reuters,-0.9317124485969543
LTM,2026-03-27,(LTM.Z) | Stock Price & Latest News - Reuters,-0.9138450622558594
LTM,2021-10-18,L.T.M MARKETING (INDIA) PRIVATE LIMITED - The Economic Times,-0.9356101751327515
LTM,2026-02-23,LTM bags $100 million deal from European medtech firm for 7 years - Business Standard,0.7068301439285278
LTM,2026-02-12,"LTIMindtree introduces new brand identity and positioning, to be renamed LTM - ET BrandEquity",-0.8397490978240967
LTM,2026-02-26,"LTIM/SE/STAT/2025-26/103 February 26, 2026 National Stock Exchange of India Limited, Exchange Plaza, Bandra-Kurla Complex, - bsmedia.business-standard.com",-0.9468042254447937
LTM,2026-03-17,Why LTM’s IIT Kharagpur partnership changes how AI skilling works - Indiatimes,-0.9262023568153381
LTM,2026-02-11,"LTIMindtree unveils new identity, to be renamed LTM Limited; board approves - Business Standard",-0.7237548828125
LTM,2026-03-18,Inside India’s AI revolution: LTM’s vision for the future - Business Standard,-0.818379282951355
LTM,2022-11-29,LTIMindtree Ltd. - The Economic Times,-0.9198735952377319
LTM,2026-03-28,(LTIM.BO) | Stock Price & Latest News - Reuters,-0.9095116853713989
LTM,2026-02-11,"LTIM/SE/STAT/2025-26/98 February 11, 2026 National Stock Exchange of India Limited Exchange Plaza, Bandra-Kurla Complex, Bandr - bsmedia.business-standard.com",-0.9446527361869812
LTM,2026-02-26,LTM partners with Nvidia to modernise CBDT's tax analytics platform - Business Standard,0.8330361247062683
LTM,2026-02-11,"LTIM/SE/STAT/2025-26/97 February 11, 2026 National Stock Exchange of India Limited Exchange Plaza, Bandra-Kurla Complex, Bandr - bsmedia.business-standard.com",-0.9446981549263
LTM,2026-02-25,"Billion-dollar AI bets shape IT narrative, says LTM executive Krishnan Iyer - Business Standard",-0.847777783870697
LTM,2025-11-07,Hexaware Technologies Reports Strong Q3 2025 Financial Results with 3.3% Revenue Growth - ET CFO,0.9416083693504333
LTM,2021-01-18,Check out LATAM Airlines Group SA's stock price (LTMX-CL) in real time - CNBC,-0.9470457434654236
LTM,2026-03-04,LTM recognized as a Leader in GenAI & Process Automation for Banking - Business Standard,0.8857499361038208
LTM,2022-08-12,Infosys CEO sees moderation in attrition over coming quarters - ET CIO,-0.48080044984817505
LTM,2022-11-23,"LTIMindtree Share Price Today, LTIMindtree Stock Price Live NSE/BSE Updates - The Economic Times",-0.9411593675613403
LTM,2023-01-04,(LTIM.NS) | Stock Price & Latest News - Reuters,-0.9144159555435181
LTM,2022-12-05,LTIM: LTIMindtree Ltd Stock Price Quote - - Bloomberg - bloomberg.com,-0.9450957775115967
LTM,2026-01-13,Tata Consultancy Services| BUY - bsmedia.business-standard.com,-0.9434701204299927
LTM,2020-10-05,L&T shares rebound 3% as Donald Trump signals potential end to war. Why does it matter for the construction major? - The Economic Times,-0.6169554591178894
LTM,2026-02-23,India's LTIMindtree wins $100 million deal with European medtech firm - Reuters,0.7973476052284241
LTM,2026-02-02,"February 02, 2026 BSE Limited Phiroze Jeejeebhoy Towers, Dalal Street, Mumbai-400 001. Scrip Code: 543398 National Stock Exch - bsmedia.business-standard.com",-0.9456952214241028
LTM,2018-10-29,A $33 Billion Opportunity Just Presented Itself: Taking Stock - bloomberg.com,-0.9099152684211731
LTM,2024-07-18,LATAM Airlines readies NYSE listing at $8.5 bln potential valuation - Reuters,-0.9470407962799072
LTM,2020-12-18,Asian Energy Services Ltd. - The Economic Times,-0.9234619140625
LTM,2020-04-22,Learning and development News: Latest Learning and development HR News & Update - ETHRWorld.com,-0.9433230757713318
LTM,2018-06-08,"IT companies : Latest News Headlines, Videos and Photo Galleries on IT companies - Business Standard",-0.9406529068946838
LTM,2023-07-17,"TCS aims to hire 40,000 freshers in FY24: Report - ET Telecom",-0.5134121775627136
LTM,2026-02-18,"I&B Ministry to host AI-focused panels at AI Summit, 51 startups showcasing innovations in WAVES Creators Co.. - Indiatimes",-0.8582115173339844
LTM,2025-10-31,Chevron Beats Estimates as Hess Deal Helps Boost Oil Production - bloomberg.com,0.6737226247787476
LTM,2026-01-17,Wipro | BUY - bsmedia.business-standard.com,-0.9511555433273315
LTM,2024-09-17,Op-ed: Here’s why a sale of Bausch + Lomb could lead to a windfall for Bausch Health investors - CNBC,-0.571574330329895
