ticker,date,headline,sentiment_score
MAXHEALTH,2020-08-22,"Max Healthcare Share Price Today, Max Healthcare Stock Price Live NSE/BSE Updates - The Economic Times",-0.9417670369148254
MAXHEALTH,2021-01-15,Check out Max Healthcare Institute Ltd's stock price (MAXHEALTH-IN) in real time - CNBC,-0.9467883110046387
MAXHEALTH,2020-08-20,Max Healthcare Institute Ltd. - The Economic Times,-0.9217116236686707
MAXHEALTH,2026-02-13,Humana Buys Clinic Operator MaxHealth From Arsenal Capital - bloomberg.com,-0.9363029599189758
MAXHEALTH,2008-11-21,Realty stocks under pressure on liquidity concerns - The Economic Times,-0.8288723826408386
MAXHEALTH,2011-07-22,Private banks show strength: Ashwani Gujral - The Economic Times,-0.5733107328414917
MAXHEALTH,2021-08-23,Max Health leaps forward towards digitizing healthcare processes - ET CIO,0.8286573886871338
MAXHEALTH,2020-08-25,MAXHEALT: Max Healthcare Institute Ltd Stock Price Quote - Natl India - Bloomberg - bloomberg.com,-0.9480645656585693
MAXHEALTH,2025-05-20,"Max Hits ₹9,000 Cr in FY25, Q4 revenue soars 29% on higher bed occupancy - ET HealthWorld",0.9549481272697449
MAXHEALTH,2025-08-22,"Max Healthcare, IndiGo parent to enter India's Nifty 50 index after rejig, NSE says - Reuters",0.5023607611656189
MAXHEALTH,2017-03-25,"healthcare: Latest News & Videos, Photos about healthcare - The Economic Times",-0.9358005523681641
MAXHEALTH,2021-10-09,PHANTOM HEALTHCARE PRIVATE LIMITED - The Economic Times,-0.9155644178390503
MAXHEALTH,2025-06-18,"Siemens Energy India Share Price Today, Siemens Energy India Stock Price Live NSE/BSE Updates - The Economic Times",-0.942582905292511
MAXHEALTH,2018-07-18,"stocks to buy: Latest News & Videos, Photos about stocks to buy - The Economic Times",-0.9336678385734558
MAXHEALTH,2017-11-29,"mauritius: Latest News & Videos, Photos about mauritius - The Economic Times",-0.929286003112793
MAXHEALTH,2024-08-07,Max Healthcare: Don't see any reason for growth to abate - CNBC,-0.848114550113678
MAXHEALTH,2025-06-18,Siemens Energy India Ltd. - The Economic Times,-0.9222368001937866
MAXHEALTH,2025-10-14,LG Electronics India Ltd. - The Economic Times,-0.9194427728652954
MAXHEALTH,2026-02-05,"India's Max Healthcare posts quarterly profit jump on overseas, outpatient growth - Reuters",0.9016870856285095
MAXHEALTH,2026-03-30,Siemens Ltd. - The Economic Times,-0.9242512583732605
MAXHEALTH,2024-11-08,GMR Airports Ltd. - The Economic Times,-0.9245417714118958
MAXHEALTH,2026-04-02,Shriram Finance Ltd. - The Economic Times,-0.9232086539268494
MAXHEALTH,2024-04-16,"Max Healthcare Institute to invest Rs 5,000 cr on doubling bed capacity in 4-5 years - ET HealthWorld",0.7409237027168274
MAXHEALTH,2017-11-05,"citigroup: Latest News & Videos, Photos about citigroup - The Economic Times",-0.932300329208374
MAXHEALTH,2023-02-14,"Bupa’s India JV Niva Bupa Weighs Stake Sale at $2 Billion Valuation, Sources Say - bloomberg.com",-0.9438959360122681
MAXHEALTH,2018-09-14,SILCHROME METAL FINISHERS PRIVATE LIMITED - The Economic Times,-0.934604823589325
MAXHEALTH,2018-09-14,NANCO PVT LTD - The Economic Times,-0.9163345098495483
