ticker,date,headline,sentiment_score
PIDILITIND,2024-11-14,"Pidilite Industries | Splits > Chemicals > Dividends declared by Pidilite Industries - BSE: 500331, NSE: PIDILITIND - Moneycontrol.com",-0.8475123643875122
PIDILITIND,2011-07-19,Pidilite Industries Ltd. - Moneycontrol.com,-0.950151264667511
PIDILITIND,2024-11-15,"Pidilite Industries | Dividends > Chemicals > Dividends declared by Pidilite Industries - BSE: 500331, NSE: PIDILITIND - Moneycontrol.com",-0.9192686080932617
PIDILITIND,2025-08-25,"Quarterly Results, Pidilite Industries Financial Statement & Accounts - Moneycontrol.com",-0.9359824657440186
PIDILITIND,2018-06-01,Pidilite Industries Ltd. - Moneycontrol.com,-0.950151264667511
PIDILITIND,2011-08-04,"Pidilite Industries Registered Address Contact Details, Pidilite Industries Management - Moneycontrol.com",-0.9510607719421387
PIDILITIND,2011-08-04,"Pidilite Industries > Listing Details > Chemicals > Listing Details of Pidilite Industries - BSE: 500331, NSE: PIDILITIND - Moneycontrol.com",-0.9484033584594727
PIDILITIND,2018-06-16,"Pidilite Industries Profit & Loss account, Pidilite Industries Financial Statement & Accounts - Moneycontrol.com",-0.7746360898017883
PIDILITIND,2025-03-28,"Pidilite Industries | Rights > Chemicals > Rights declared by Pidilite Industries - BSE: 500331, NSE: PIDILITIND - Moneycontrol.com",-0.9514005184173584
PIDILITIND,2025-09-22,"pidilite ind Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More - Moneycontrol.com",-0.94769686460495
PIDILITIND,2018-06-30,"Pidilite Industries Key Financial Ratios, Pidilite Industries Financial Statement & Accounts - Moneycontrol.com",-0.9413484334945679
PIDILITIND,2020-11-06,Pidilite Industries Limited - images.moneycontrol.com,-0.951013445854187
PIDILITIND,2019-08-09,Top Companies in India by Market Capitalisation BSE - Moneycontrol.com,-0.9370294213294983
PIDILITIND,2026-03-01,"FNO Decrease in Open Interest and Price sort by Percentage Change in Price, Ascending Order - Moneycontrol.com",-0.607562243938446
PIDILITIND,2018-01-13,"Highest Open Interest, Highest Open Interest In All Futures For All Expires - Moneycontrol.com",-0.9388270974159241
PIDILITIND,2023-09-19,Trade setup for Wednesday: Top 15 things to know before the opening bell - Moneycontrol.com,-0.9318723678588867
PIDILITIND,2022-02-25,Trade setup for today: Top 15 things to know before the opening bell - Moneycontrol.com,-0.9378705024719238
PIDILITIND,2021-06-15,Trade setup for Tuesday: Top 15 things to know before Opening Bell - Moneycontrol.com,-0.9363161325454712
PIDILITIND,2023-12-19,Trade setup for today: 15 things to know before opening bell - Moneycontrol.com,-0.9417905807495117
PIDILITIND,2018-06-10,Active Puts - Moneycontrol.com,-0.9390040040016174
PIDILITIND,2024-04-01,Which stocks and sectors will be in focus in April Series as per rollover data? - Moneycontrol.com,-0.9379568696022034
PIDILITIND,2017-06-28,"As Sensex flirts with 31000, over 70 stocks hit fresh 52-week low - Moneycontrol.com",-0.6309153437614441
PIDILITIND,2025-09-23,Pidilite shares crash over 50%. Here's why it’s not what it seems - The Economic Times,-0.8304376006126404
