ticker,date,headline,sentiment_score
SBILIFE,2023-12-15,"SBI Life Insurance Company Stocks Live Updates: SBI Life Insurance Company Sees 1.04% Decrease in Price, - economictimes.indiatimes.com",-0.957157552242279
SBILIFE,2026-04-06,"Quick Wrap: Nifty Financial Services Index records a surge of 2.34%, NIFTY climbs 1.12% - business-standard.com",0.8649388551712036
SBILIFE,2026-04-06,"Why Sensex cut losses, up 1,400 pts from day's low; Nifty at 22,968? - business-standard.com",0.9094837307929993
SBILIFE,2024-01-25,SBI Life Insurance Q3 result: PAT rises 5.8% to Rs 322 crore - ET BFSI,0.9502233862876892
SBILIFE,2026-01-28,India's SBI Life reports higher quarterly profit as tax cuts boost demand - Reuters,0.9485223293304443
SBILIFE,2025-04-24,"India's SBI Life quarterly profit flat, group insurance demand slows - Reuters",-0.9673377871513367
SBILIFE,2025-04-25,SBI Life Insurance - bsmedia.business-standard.com,-0.9516278505325317
SBILIFE,2021-06-16,SBI Life Insurance Company Ltd - Reuters,-0.9380497932434082
SBILIFE,2025-01-19,SBI Life Insurance Company - bsmedia.business-standard.com,-0.9526317119598389
SBILIFE,2017-09-30,SBI Life Insurance Co Ltd - bloomberg.com,-0.9482383728027344
SBILIFE,2025-07-24,India's SBI Life posts higher quarterly profit on boost from policy renewals - Reuters,0.9451263546943665
SBILIFE,2025-01-17,"SBI Life Insurance posts higher Q3 profit on policy renewals, new sales - Reuters",0.9533447027206421
SBILIFE,2025-10-24,"October 24, 2025 SBIL/CS/NSE-BSE/2526/120 Vice President General Manager Listing Department, Listing Department, Nation - bsmedia.business-standard.com",-0.9450773596763611
SBILIFE,2019-09-14,"Sbi life insurance - Latest sbi life insurance , Information & Updates - BFSI -ET BFSI - ET BFSI",-0.9516432881355286
SBILIFE,2017-10-14,"SBI Life Share Price Today, SBI Life Stock Price Live NSE/BSE Updates - economictimes.indiatimes.com",-0.9408985376358032
SBILIFE,2021-07-23,"Sbi life insurance company - Latest sbi life insurance company , Information & Updates - BFSI -ET BFSI - ET BFSI",-0.9523260593414307
SBILIFE,2024-04-27,India's SBI Life Insurance reports lower new business margin for FY 2024 - ET BFSI,-0.9589719176292419
SBILIFE,2025-08-07,"August 07, 2025 SBIL/CS/NSE-BSE/2526/75 Vice President General Manager Listing Department, Listing Department, National - bsmedia.business-standard.com",-0.9501212239265442
SBILIFE,2017-10-15,SBI Life Insurance Company Ltd. - economictimes.indiatimes.com,-0.9415627121925354
SBILIFE,2025-04-27,Shift in product mix will continue in FY26: SBI Life Insurance MD & CEO - business-standard.com,-0.933366596698761
SBILIFE,2025-07-26,"SBI Life set for strong growth for next 3 years amid product shift, margin expansion - ET BFSI",0.9378774166107178
SBILIFE,2023-06-13,SAT stays Irdai order to transfer Sahara Life Insurance assets to SBI Life - business-standard.com,-0.9457064270973206
SBILIFE,2019-01-23,"HDFC Life Share Price Today, HDFC Life Stock Price Live NSE/BSE Updates - economictimes.indiatimes.com",-0.9422152042388916
SBILIFE,2016-10-31,SBI Life Insurance Midcap Fund - bloomberg.com,-0.9494377374649048
SBILIFE,2019-01-23,HDFC Life Insurance Company Ltd. - economictimes.indiatimes.com,-0.9429468512535095
SBILIFE,2022-04-27,"LIC Share Price Today, LIC Stock Price Live NSE/BSE Updates - economictimes.indiatimes.com",-0.9391505122184753
SBILIFE,2017-03-23,"Max Financial Share Price Today, Max Financial Stock Price Live NSE/BSE Updates - economictimes.indiatimes.com",-0.9435651898384094
SBILIFE,2025-10-29,"SBI Life Insurance Company Ltd soars 1.87%, Gains for third straight session - business-standard.com",0.9008203744888306
SBILIFE,2023-10-09,LIC's market share drops to 58.5% till September from 68.2% in a year - business-standard.com,-0.9747100472450256
SBILIFE,2026-02-25,"Stocks to buy in March 2026: SBI Life, Polycab among Motilal Oswal's picks - business-standard.com",-0.926394522190094
SBILIFE,2026-01-29,"Stocks to Watch today: L&T, SBI Life, ACC, Cochin Shipyard, RVNL, M&M Fin - business-standard.com",-0.9463839530944824
SBILIFE,2024-03-28,SBI Life Insurance Company Share Price - business-standard.com,-0.9393783211708069
SBILIFE,2025-10-24,SBI Life Insurance Q2FY26 results: Net profit drops 6.6% to ₹494 crore - business-standard.com,-0.9715275764465332
SBILIFE,2025-07-24,SBI Life Insurance Q1 results: Profit up 14% to ₹590 cr on premium growth - business-standard.com,0.9507352709770203
SBILIFE,2025-05-26,"SBI Life, Vidyaniti acquire 4.25% stake in NHIT for Rs 1,100 crore - business-standard.com",-0.9435496926307678
SBILIFE,2025-10-16,"Buy Cholamandalam Investment, SBI Life, HAL, says analyst at Motilal Oswal - business-standard.com",-0.9228270053863525
SBILIFE,2025-10-28,"Hindalco, SBI Life rally up to 44% so far in 2025; market cap near ₹2 trn - business-standard.com",0.8874396681785583
SBILIFE,2025-02-24,Dividend Alert! SBI Life Insurance fixes record date; are you eligible? - business-standard.com,-0.9445015788078308
SBILIFE,2025-10-28,SBI vs SBI Card vs SBI Life: Which SBI group stock can gain the most? - business-standard.com,-0.888713002204895
SBILIFE,2025-01-17,SBI Life Insurance Q3 results: Net profit rises 71% to Rs 551 crore - business-standard.com,0.9397172927856445
SBILIFE,2026-01-29,"SBI Life slips 3% post Q3; Street flags GST impact, sees margin recovery - business-standard.com",-0.9420253038406372
SBILIFE,2025-01-17,SBI Life Insurance Q3 results: Net profit jumps 71% to Rs 551 crore - business-standard.com,0.9282387495040894
SBILIFE,2025-07-25,"SBI Life rises 3% on posting Q1 results; Should you buy, sell or hold? - business-standard.com",-0.6771402955055237
SBILIFE,2025-04-25,SBI Life stock rises 10% in trade today; Here's what you need to know - business-standard.com,0.6475139260292053
SBILIFE,2026-01-28,SBI Life Q3 profit rises 5% to ₹5.77 billion as tax cuts lift demand - business-standard.com,0.9189261198043823
SBILIFE,2025-10-27,"Steady growth, firm margins lift SBI Life to 52-wk high; analysts keep Buy - business-standard.com",0.9335411190986633
SBILIFE,2025-04-25,SBI Cards or SBI Life: Which stock should you buy post Q4 results? - business-standard.com,-0.949920654296875
SBILIFE,2024-10-24,Why SBI Life stock fell 5% despite net profit rising 39% YoY; reasons here - business-standard.com,-0.8241980671882629
SBILIFE,2026-03-18,"SBI Life Insurance Company Ltd soars 1.69%, up for third straight session - business-standard.com",0.9268087148666382
SBILIFE,2026-01-28,SBI Life Insurance's Q3FY26 results: Net profit rises 5% to ₹577 crore - business-standard.com,0.9431525468826294
