ticker,date,headline,sentiment_score
TATASTEEL,2026-04-03,"tata steel q3 results fy26: Latest News & Videos, Photos about tata steel q3 results fy26 - economictimes.indiatimes.com",-0.9357756972312927
TATASTEEL,2015-11-10,Tata Steel announces partnership with IDC in Middle East - economictimes.indiatimes.com,0.5647672414779663
TATASTEEL,2023-02-02,"Budget 2023: Mega capex in infra to create demand for multiple industries, jobs: TV Narendran, Tata Steel - economictimes.indiatimes.com",-0.8725330829620361
TATASTEEL,2026-03-30,Tata Steel has good long-term momentum: Deepak Mohoni - economictimes.indiatimes.com,-0.6777652502059937
TATASTEEL,2026-04-06,Swiggy among 4 stocks that closed crossing above VWAP - economictimes.indiatimes.com,-0.8635498881340027
TATASTEEL,2026-04-06,"Persistent Systems - Mahindra, Billionbrains Garage among 6 stocks flashing bullish signals - economictimes.indiatimes.com",-0.9139025211334229
TATASTEEL,2026-04-06,"nifty 50 historical data: Latest News & Videos, Photos about nifty 50 historical data - economictimes.indiatimes.com",-0.9364994764328003
TATASTEEL,2026-04-06,RBI revamps business correspondent model to boost last mile delivery of financial services - economictimes.indiatimes.com,-0.652763307094574
TATASTEEL,2026-04-06,"maharashtra rte merit list 2026: Latest News & Videos, Photos about maharashtra rte merit list 2026 - economictimes.indiatimes.com",-0.9348430037498474
TATASTEEL,2026-04-07,Meta to release open source versions of its upcoming AI models - economictimes.indiatimes.com,-0.9380402565002441
TATASTEEL,2026-04-06,"India services growth slows to 14-month low in March amid rising costs, weak demand - economictimes.indiatimes.com",-0.9560031294822693
TATASTEEL,2026-04-06,"Why retail investors love Infy, HDFC Bank despite meagre returns - economictimes.indiatimes.com",-0.8679628968238831
TATASTEEL,2026-04-06,"'Softening gold prices may spur demand on Akshaya Tritiya', says Tanishq - economictimes.indiatimes.com",-0.5451224446296692
TATASTEEL,2026-04-06,Coal offtake under watch as industry builds stocks - economictimes.indiatimes.com,-0.9265612959861755
TATASTEEL,2026-04-06,"scorpio love horoscope april 2026: Latest News & Videos, Photos about scorpio love horoscope april 2026 - economictimes.indiatimes.com",-0.9393467903137207
TATASTEEL,2026-04-07,KSEAB KARNATAKA GOV IN AND KARRESULTS NIC IN - economictimes.indiatimes.com,-0.9393255114555359
TATASTEEL,2026-04-06,"puc result 2026: Latest News & Videos, Photos about puc result 2026 - economictimes.indiatimes.com",-0.9412899017333984
TATASTEEL,2026-04-06,"aquarius career horoscope april 2026: Latest News & Videos, Photos about aquarius career horoscope april 2026 - economictimes.indiatimes.com",-0.942254364490509
TATASTEEL,2026-04-07,"virgo career horoscope april 2026: Latest News & Videos, Photos about virgo career horoscope april 2026 - economictimes.indiatimes.com",-0.9409714341163635
TATASTEEL,2025-11-12,India's Tata Steel quarterly profit soars on strong demand in key markets - Reuters,0.9016010761260986
TATASTEEL,2026-02-06,India's Tata Steel beats profit view as higher volumes outweigh weak prices - Reuters,0.7938113212585449
TATASTEEL,2025-05-12,India's Tata Steel beats quarterly profit estimates on lower expenses - Reuters,-0.7206729054450989
TATASTEEL,2026-02-06,"Tata Steel Profit Grows on Margin Boost, Strong India Demand - bloomberg.com",0.8934395909309387
TATASTEEL,2023-11-20,"TataStl LongPdt. Share Price Today, TataStl LongPdt. Stock Price Live NSE/BSE Updates - economictimes.indiatimes.com",-0.9424600601196289
TATASTEEL,2026-01-07,Tata Steel's quarterly crude steel production hits record high in India - Reuters,0.8483627438545227
TATASTEEL,2026-02-06,"Tata Steel Q3 PAT surges over 8-fold to ₹2,689 crore - ET Infra",0.9375677704811096
TATASTEEL,2021-11-16,"Tata Steel BSL Share Price Today, Tata Steel BSL Stock Price Live NSE/BSE Updates - economictimes.indiatimes.com",-0.9386932849884033
TATASTEEL,2025-07-30,India's Tata Steel beats quarterly profit estimates on lower costs - Reuters,0.7828872799873352
TATASTEEL,2021-06-16,Tata Steel Ltd - Reuters,-0.9412392973899841
TATASTEEL,2025-05-13,"Tata Steel net profit jumps 117% to ₹1,201 cr in Q4 - ET Infra",0.9347379207611084
TATASTEEL,2025-05-12,"Tata Steel Profit More Than Doubles, Beating Estimates - bloomberg.com",0.8384501338005066
TATASTEEL,2014-03-15,TATA: Tata Steel Ltd Stock Price Quote - Natl India - Bloomberg - bloomberg.com,-0.9458622336387634
TATASTEEL,2025-07-31,"Tata Steel Q1 net profit more than doubles to ₹2,007 crore - ET Infra",0.9334485530853271
TATASTEEL,2025-11-13,"Tata Steel shares rise 3% after Q2 PAT surges fourfold to ₹3,183 crore - ET Infra",0.9382169246673584
TATASTEEL,2017-07-30,Check out Tata Steel Ltd's stock price (TATASTEEL-IN) in real time - CNBC,-0.9445918202400208
TATASTEEL,2025-01-27,Tata Steel reports surprise profit on buoyant India sales volume - Reuters,0.8182945251464844
TATASTEEL,2019-09-10,"tata steel ltd q4 results: Latest News & Videos, Photos about tata steel ltd q4 results - economictimes.indiatimes.com",-0.9328680634498596
TATASTEEL,2025-08-14,Tata Steel Q1 profit boosted by cost cuts despite revenue dip - ET Infra,0.9309068918228149
TATASTEEL,2024-11-07,Tata Steel reports Rs 759 crore net profit in Jul-Sep - ET EnergyWorld,-0.7891668677330017
TATASTEEL,2017-03-29,"Tata Steel Balance Sheets, Financial Statements - economictimes.indiatimes.com",-0.9237525463104248
TATASTEEL,2023-02-06,India's Tata Steel reports Q3 loss as soft demand weighs - Reuters,-0.966151773929596
TATASTEEL,2026-01-08,Tata Steel Q3 output grows 8%; deliveries up 7.56% - ET Infra,0.9493110775947571
TATASTEEL,2014-02-11,India's Tata Steel third quarter profit lags estimates - Reuters,-0.745630145072937
TATASTEEL,2017-03-29,Tata Steel Ltd. - economictimes.indiatimes.com,-0.9379013776779175
TATASTEEL,2020-11-14,"Tata steel - Latest tata steel , Information & Updates - Legal -ET LegalWorld - ETLegalWorld.com",-0.9473652839660645
TATASTEEL,2024-04-05,Tata Steel India posts record annual crude steel output in 2023/24 - Reuters,0.6632400155067444
TATASTEEL,2018-09-14,TATA STEEL FOUNDATION - economictimes.indiatimes.com,-0.9409109950065613
TATASTEEL,2019-09-09,"tata steel ltd q2 results: Latest News & Videos, Photos about tata steel ltd q2 results - economictimes.indiatimes.com",-0.9322252869606018
TATASTEEL,2025-07-01,Tata Steel Nederland submits environmental report for Ijmuiden overhaul - ET Infra,-0.933050811290741
