symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ABB,EQ,30-Dec-2020,"1,203.05","1,205.70","1,239.90","1,201.25","1,205.30","1,208.90","1,222.66",197431,241391160.4,11079,67514.0,34.20
ABB,EQ,29-Dec-2020,"1,217.55","1,223.20","1,227.90","1,190.00","1,195.10","1,203.05","1,210.12",154970,187532445.5,5458,116112.0,74.93
ABB,EQ,28-Dec-2020,"1,206.55","1,221.35","1,228.00","1,212.00","1,218.75","1,217.55","1,216.82",169125,205794749.1,6737,132224.0,78.18
ABB,EQ,24-Dec-2020,"1,201.00","1,218.00","1,230.00","1,200.00","1,213.00","1,206.55","1,220.16",246220,300428458.15,9813,180626.0,73.36
ABB,EQ,23-Dec-2020,"1,185.65","1,197.00","1,236.85","1,190.25","1,200.00","1,201.00","1,217.98",171273,208606457.8,13921,64284.0,37.53
ABB,EQ,22-Dec-2020,"1,215.30","1,214.00","1,225.00","1,157.20","1,190.05","1,185.65","1,186.16",327649,388645442.55,15911,192878.0,58.87
ABB,EQ,21-Dec-2020,"1,246.95","1,244.50","1,254.90","1,181.00","1,203.20","1,215.30","1,222.58",145777,178224605.2,9338,69023.0,47.35
ABB,EQ,18-Dec-2020,"1,232.70","1,244.40","1,260.00","1,201.05","1,240.50","1,246.95","1,241.84",378273,469753935.8,13455,164981.0,43.61
ABB,EQ,17-Dec-2020,"1,194.90","1,203.95","1,239.80","1,195.75","1,237.80","1,232.70","1,225.04",402509,493091277.9,25524,162492.0,40.37
ABB,EQ,16-Dec-2020,"1,154.35","1,159.30","1,206.75","1,157.65","1,195.75","1,194.90","1,184.36",323251,382846811.1,15679,151700.0,46.93
ABB,EQ,15-Dec-2020,"1,161.40","1,159.00","1,166.55","1,151.15","1,155.00","1,154.35","1,157.09",56631,65527294.65,4705,23609.0,41.69
ABB,EQ,14-Dec-2020,"1,176.20","1,180.00","1,180.00","1,155.00","1,157.90","1,161.40","1,167.16",119428,139391702.9,7643,79111.0,66.24
ABB,EQ,11-Dec-2020,"1,158.80","1,167.20","1,183.40","1,152.00","1,175.00","1,176.20","1,168.40",168483,196856369.95,10794,86985.0,51.63
ABB,EQ,10-Dec-2020,"1,155.15","1,167.25","1,186.80","1,144.20","1,159.70","1,158.80","1,165.05",310277,361486848.4,16629,108857.0,35.08
ABB,EQ,09-Dec-2020,"1,154.80","1,162.95","1,177.00","1,152.00","1,157.25","1,155.15","1,164.06",111606,129916346.15,6872,50188.0,44.97
ABB,EQ,08-Dec-2020,"1,154.95","1,165.00","1,190.00","1,148.00","1,152.00","1,154.80","1,165.15",225515,262757885.65,9642,140905.0,62.48
ABB,EQ,07-Dec-2020,"1,154.45","1,174.00","1,174.00","1,140.00","1,150.00","1,154.95","1,155.69",155809,180067080.65,8195,79778.0,51.20
ABB,EQ,04-Dec-2020,"1,172.00","1,184.00","1,197.65","1,150.00","1,164.00","1,154.45","1,169.94",162427,190029034.45,10627,53205.0,32.76
ABB,EQ,03-Dec-2020,"1,190.80","1,182.15","1,238.95","1,170.00","1,172.00","1,172.00","1,201.73",295720,355376297.45,17425,81608.0,27.60
