symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ADANITRANS,EQ,30-Dec-2020,429.15,432.65,447.4,425.0,437.0,436.2,438.22,1324653,580492025.4,25136,466581.0,35.22
ADANITRANS,EQ,29-Dec-2020,433.65,437.8,440.95,422.3,427.2,429.15,430.52,613612,264171006.05,19278,219283.0,35.74
ADANITRANS,EQ,28-Dec-2020,428.1,430.7,455.15,430.1,435.5,433.65,440.87,1752252,772515571.4,38376,652185.0,37.22
ADANITRANS,EQ,24-Dec-2020,427.95,430.0,435.0,425.65,428.35,428.1,430.92,401346,172947748.95,10836,151936.0,37.86
ADANITRANS,EQ,23-Dec-2020,408.3,411.3,429.9,406.0,428.85,427.95,423.03,532916,225439008.2,15384,150885.0,28.31
ADANITRANS,EQ,22-Dec-2020,395.75,395.1,411.9,381.9,408.05,408.3,399.47,605872,242026568.55,14322,203029.0,33.51
ADANITRANS,EQ,21-Dec-2020,424.85,425.0,434.85,381.55,396.5,395.75,417.24,710255,296344728.65,17374,270676.0,38.11
ADANITRANS,EQ,18-Dec-2020,429.35,427.0,429.0,420.75,425.9,424.85,425.39,288795,122849938.5,9163,123283.0,42.69
ADANITRANS,EQ,17-Dec-2020,431.65,432.0,441.9,424.15,427.95,429.35,433.48,709430,307523612.75,18106,218346.0,30.78
ADANITRANS,EQ,16-Dec-2020,431.1,434.9,435.15,425.3,431.25,431.65,431.11,342088,147476013.5,7954,168063.0,49.13
ADANITRANS,EQ,15-Dec-2020,425.25,425.0,432.5,416.0,430.0,431.1,426.33,603323,257213395.25,12691,213830.0,35.44
ADANITRANS,EQ,14-Dec-2020,425.05,426.5,432.8,418.7,424.0,425.25,426.22,281810,120114132.4,8307,110909.0,39.36
ADANITRANS,EQ,11-Dec-2020,430.25,432.4,432.4,416.0,424.8,425.05,423.99,391528,166004469.4,10380,160738.0,41.05
ADANITRANS,EQ,10-Dec-2020,426.55,425.0,435.95,415.0,429.05,430.25,426.04,550671,234609203.6,11064,206048.0,37.42
ADANITRANS,EQ,09-Dec-2020,431.9,432.65,435.0,425.1,426.9,426.55,428.12,336825,144199991.6,9250,142634.0,42.35
ADANITRANS,EQ,08-Dec-2020,440.05,435.95,439.7,415.1,431.7,431.9,428.13,956906,409676353.9,23543,390388.0,40.80
ADANITRANS,EQ,07-Dec-2020,436.55,439.5,444.85,426.6,438.55,440.05,437.18,803604,351320055.0,19393,267545.0,33.29
ADANITRANS,EQ,04-Dec-2020,427.8,428.45,445.0,428.45,435.15,436.55,436.92,1430614,625059812.5,26996,541097.0,37.82
