symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ADANIPORTS,EQ,30-Dec-2020,483.4,484.0,487.6,478.15,484.75,485.4,483.05,3736356,1804834489.8,53291,330789.0,8.85
ADANIPORTS,EQ,29-Dec-2020,483.55,485.0,489.85,478.2,482.25,483.4,484.5,5866837,2842463017.35,71303,834236.0,14.22
ADANIPORTS,EQ,28-Dec-2020,478.55,480.0,492.95,480.0,484.0,483.55,487.06,8372924,4078085525.9,85170,592608.0,7.08
ADANIPORTS,EQ,24-Dec-2020,470.75,474.9,482.9,466.0,477.45,478.55,475.4,7679078,3650637319.6,95603,951519.0,12.39
ADANIPORTS,EQ,23-Dec-2020,468.65,467.15,476.7,462.5,470.0,470.75,471.51,7943560,3745503472.35,94713,1311136.0,16.51
ADANIPORTS,EQ,22-Dec-2020,444.25,444.25,470.5,435.0,468.9,468.65,454.42,9462053,4299776177.55,113590,1289377.0,13.63
ADANIPORTS,EQ,21-Dec-2020,463.3,459.0,467.0,427.2,441.4,444.25,457.25,8223842,3760329399.1,89880,1707971.0,20.77
ADANIPORTS,EQ,18-Dec-2020,467.75,467.75,472.95,458.5,462.0,463.3,464.49,5980780,2778037927.8,70891,1889805.0,31.60
ADANIPORTS,EQ,17-Dec-2020,475.55,478.0,478.8,465.55,468.75,467.75,470.81,6757703,3181587815.3,102164,2083588.0,30.83
ADANIPORTS,EQ,16-Dec-2020,475.75,480.0,480.45,473.15,476.0,475.55,476.32,5452263,2597018283.35,70859,1329344.0,24.38
ADANIPORTS,EQ,15-Dec-2020,467.0,469.5,479.65,461.45,475.3,475.75,474.34,10973876,5205361291.25,128683,1723295.0,15.70
ADANIPORTS,EQ,14-Dec-2020,466.3,468.6,472.45,463.1,466.9,467.0,467.52,5943652,2778775604.25,69266,1048729.0,17.64
ADANIPORTS,EQ,11-Dec-2020,471.0,471.75,475.0,462.7,465.0,466.3,467.96,4922448,2303495642.95,52997,555702.0,11.29
ADANIPORTS,EQ,10-Dec-2020,463.9,463.9,474.1,457.0,471.8,471.0,465.89,4785102,2229309469.1,52741,862937.0,18.03
ADANIPORTS,EQ,09-Dec-2020,463.35,467.65,469.9,458.15,465.05,463.9,464.92,5811412,2701855551.15,67073,1003390.0,17.27
ADANIPORTS,EQ,08-Dec-2020,471.5,472.7,474.7,457.55,463.5,463.35,463.51,9218366,4272776634.55,105341,2356232.0,25.56
ADANIPORTS,EQ,07-Dec-2020,453.7,461.0,474.9,459.0,470.0,471.5,469.18,16140936,7573053470.15,154105,1509290.0,9.35
ADANIPORTS,EQ,04-Dec-2020,435.8,439.7,458.3,439.0,457.0,453.7,446.64,10271034,4587434461.95,104783,1627912.0,15.85
ADANIPORTS,EQ,03-Dec-2020,438.2,442.0,444.5,433.05,435.85,435.8,439.93,10810399,4755825650.0,97802,3437310.0,31.80
ADANIPORTS,EQ,02-Dec-2020,423.8,424.9,442.0,420.35,437.5,438.2,433.96,13049398,5662905957.15,140237,3050076.0,23.37
ADANIPORTS,EQ,01-Dec-2020,411.55,415.0,426.0,412.0,423.9,423.8,420.33,9170159,3854508532.6,100625,2295655.0,25.03
ADANIPORTS,EQ,27-Nov-2020,410.15,411.0,416.0,408.2,412.0,411.55,411.67,10593353,4360992708.6,103550,4012544.0,37.88
ADANIPORTS,EQ,26-Nov-2020,398.95,400.8,413.0,395.65,410.45,410.15,404.31,12856261,5197892248.95,141046,2513675.0,19.55
ADANIPORTS,EQ,25-Nov-2020,392.25,396.3,404.7,384.4,397.9,398.95,395.9,18238080,7220519048.75,186507,3695655.0,20.26
ADANIPORTS,EQ,24-Nov-2020,375.15,378.0,402.0,376.0,391.9,392.25,395.17,19485370,7700025444.8,200786,2329051.0,11.95
ADANIPORTS,EQ,23-Nov-2020,375.85,375.85,379.35,370.3,375.4,375.15,374.66,4065424,1523157120.95,49565,1050441.0,25.84
ADANIPORTS,EQ,20-Nov-2020,381.9,381.0,382.65,373.0,375.95,375.85,377.05,5562369,2097295719.6,90980,1373561.0,24.69
ADANIPORTS,EQ,19-Nov-2020,391.1,390.0,392.7,379.6,381.4,381.9,387.28,6894431,2670048352.0,71682,1824439.0,26.46
ADANIPORTS,EQ,18-Nov-2020,379.65,382.0,395.2,382.0,391.9,391.1,390.19,15514329,6053604312.25,159514,4974645.0,32.06
ADANIPORTS,EQ,17-Nov-2020,366.1,368.5,386.75,366.25,378.4,379.65,376.87,11192618,4218122271.9,108529,3818822.0,34.12
ADANIPORTS,EQ,14-Nov-2020,365.5,369.0,369.0,363.0,364.5,366.1,367.03,444529,163154221.55,8224,213517.0,48.03
ADANIPORTS,EQ,13-Nov-2020,368.05,367.5,370.4,362.7,365.2,365.5,366.25,4156320,1522265382.1,47689,1488345.0,35.81
ADANIPORTS,EQ,12-Nov-2020,371.6,373.0,375.6,366.1,368.0,368.05,369.57,4759659,1759046962.3,43387,1820911.0,38.26
ADANIPORTS,EQ,11-Nov-2020,366.75,366.75,372.45,365.25,371.75,371.6,370.12,4370366,1617569582.8,56788,1498824.0,34.30
ADANIPORTS,EQ,10-Nov-2020,367.05,370.7,374.5,364.15,366.4,366.75,370.24,6850175,2536228200.25,88296,2734127.0,39.91
ADANIPORTS,EQ,09-Nov-2020,371.1,375.0,376.0,366.0,366.95,367.05,368.53,7038841,2594049961.25,49135,3523993.0,50.06
ADANIPORTS,EQ,06-Nov-2020,368.65,368.65,375.9,365.8,371.05,371.1,370.47,7290106,2700742550.55,56970,2404474.0,32.98
ADANIPORTS,EQ,05-Nov-2020,361.1,366.05,374.65,364.3,368.5,368.65,367.43,16920686,6217199318.3,81951,9077164.0,53.65
ADANIPORTS,EQ,04-Nov-2020,353.65,367.65,369.5,349.6,361.55,361.1,358.45,17940352,6430634499.55,135409,4389550.0,24.47
ADANIPORTS,EQ,03-Nov-2020,356.9,362.0,362.65,347.2,352.55,353.65,352.36,7971473,2808812751.65,146787,2659198.0,33.36
ADANIPORTS,EQ,02-Nov-2020,359.85,360.0,362.7,351.2,357.65,356.9,357.8,9364431,3350602015.35,143754,3592391.0,38.36
ADANIPORTS,EQ,30-Oct-2020,342.7,345.2,362.7,343.2,358.0,359.85,357.09,12044260,4300858388.2,100369,2503788.0,20.79
ADANIPORTS,EQ,29-Oct-2020,353.65,350.55,350.55,341.15,342.5,342.7,345.39,3346474,1155834353.9,41704,591791.0,17.68
ADANIPORTS,EQ,28-Oct-2020,364.4,363.0,370.0,352.0,353.0,353.65,361.96,3863941,1398594524.7,47124,918691.0,23.78
ADANIPORTS,EQ,27-Oct-2020,363.7,360.2,366.2,351.0,363.05,364.4,358.14,5869581,2102103879.3,60870,1342010.0,22.86
ADANIPORTS,EQ,26-Oct-2020,364.35,366.0,373.9,360.35,360.9,363.7,368.41,7541567,2778403138.05,107856,1125597.0,14.93
ADANIPORTS,EQ,23-Oct-2020,358.35,360.0,369.0,357.65,363.05,364.35,365.85,6357073,2325737834.6,65224,1082234.0,17.02
ADANIPORTS,EQ,22-Oct-2020,355.35,350.55,364.05,350.15,357.9,358.35,359.81,4506437,1621479340.65,59737,882299.0,19.58
