Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
ADANIPOWER,EQ,01-Jan-2020,61.8,61.8,64.3,61.55,63.7,63.9,63.25,16415397,1038270718.6,35031,2861554.0,17.43
ADANIPOWER,EQ,02-Jan-2020,63.9,64.0,64.85,63.4,64.25,64.45,64.19,10996418,705818381.6,26941,2394735.0,21.78
ADANIPOWER,EQ,03-Jan-2020,64.45,64.4,64.95,62.7,63.2,63.25,63.88,8114232,518330272.95,18570,1734020.0,21.37
ADANIPOWER,EQ,06-Jan-2020,63.25,63.0,63.25,59.5,60.1,60.1,60.73,9700870,589109464.65,19296,1964761.0,20.25
ADANIPOWER,EQ,07-Jan-2020,60.1,60.35,61.75,59.65,60.6,61.0,60.89,8704020,529984117.05,18340,1543625.0,17.73
ADANIPOWER,EQ,08-Jan-2020,61.0,60.4,60.55,58.0,59.55,59.85,59.63,11149419,664868451.5,21635,2476373.0,22.21
ADANIPOWER,EQ,09-Jan-2020,59.85,60.35,61.6,60.1,60.9,61.15,60.87,9268945,564169480.95,17962,1958821.0,21.13
ADANIPOWER,EQ,10-Jan-2020,61.15,61.25,62.5,60.95,61.15,61.2,61.67,6911234,426193745.8,16153,1483697.0,21.47
ADANIPOWER,EQ,13-Jan-2020,61.2,61.3,62.7,60.75,62.25,62.3,61.86,11404017,705410238.75,15823,2370788.0,20.79
ADANIPOWER,EQ,14-Jan-2020,62.3,62.4,63.25,62.1,62.25,62.45,62.72,5833027,365842325.6,14382,1241081.0,21.28
ADANIPOWER,EQ,15-Jan-2020,62.45,62.2,64.05,61.7,63.15,63.3,63.22,9760457,617028677.0,18975,1509151.0,15.46
ADANIPOWER,EQ,16-Jan-2020,63.3,63.1,65.25,62.8,64.6,64.95,64.24,8761628,562886938.3,17843,1748706.0,19.96
ADANIPOWER,EQ,17-Jan-2020,64.95,64.5,65.95,64.2,64.4,64.6,64.97,8843288,574530210.15,24948,1526857.0,17.27
