symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
BAJFINANCE,EQ,30-Dec-2020,"5,200.50","5,200.50","5,348.00","5,174.00","5,335.00","5,334.15","5,282.46",3864700,20415140106.55,176883,450414.0,11.65
BAJFINANCE,EQ,29-Dec-2020,"5,204.10","5,225.00","5,247.00","5,167.50","5,195.00","5,200.50","5,208.32",1969529,10257936143.05,110285,260074.0,13.20
BAJFINANCE,EQ,28-Dec-2020,"5,184.90","5,184.90","5,244.80","5,175.00","5,198.00","5,204.10","5,217.34",1932606,10083058721.6,101948,284528.0,14.72
BAJFINANCE,EQ,24-Dec-2020,"5,088.90","5,138.95","5,218.95","5,106.00","5,175.00","5,184.90","5,161.51",2625559,13551847028.55,130673,452788.0,17.25
BAJFINANCE,EQ,23-Dec-2020,"5,011.40","5,000.00","5,166.00","4,970.35","5,095.00","5,088.90","5,099.47",3431457,17498618462.2,159726,340295.0,9.92
BAJFINANCE,EQ,22-Dec-2020,"5,041.85","5,070.00","5,125.00","4,826.35","5,010.00","5,011.40","4,957.08",5473521,27132656142.85,257242,737547.0,13.47
BAJFINANCE,EQ,21-Dec-2020,"5,252.50","5,228.00","5,234.70","4,905.20","5,005.00","5,041.85","5,113.38",3551570,18160514796.6,166006,500556.0,14.09
BAJFINANCE,EQ,18-Dec-2020,"5,286.70","5,250.00","5,284.95","5,165.00","5,229.95","5,252.50","5,236.30",3255043,17044373087.1,136644,786887.0,24.17
BAJFINANCE,EQ,17-Dec-2020,"5,146.60","5,139.85","5,303.15","5,101.60","5,270.00","5,286.70","5,235.70",3733152,19545650192.25,161871,426956.0,11.44
BAJFINANCE,EQ,16-Dec-2020,"5,122.50","5,199.00","5,225.00","5,120.00","5,127.05","5,146.60","5,170.19",3269184,16902309981.45,150808,460768.0,14.09
BAJFINANCE,EQ,15-Dec-2020,"4,898.65","4,889.95","5,150.00","4,868.85","5,150.00","5,122.50","5,029.60",5936796,29859700799.45,245345,875152.0,14.74
BAJFINANCE,EQ,14-Dec-2020,"4,843.85","4,857.50","4,914.70","4,848.00","4,894.90","4,898.65","4,876.55",1786348,8711223027.8,83221,289606.0,16.21
BAJFINANCE,EQ,11-Dec-2020,"4,794.80","4,805.00","4,889.00","4,805.00","4,837.00","4,843.85","4,851.92",2670019,12954714234.65,125536,362055.0,13.56
BAJFINANCE,EQ,10-Dec-2020,"4,844.15","4,850.00","4,860.00","4,785.00","4,803.00","4,794.80","4,815.31",1925963,9274105158.05,93008,246639.0,12.81
BAJFINANCE,EQ,09-Dec-2020,"4,792.15","4,820.00","4,852.85","4,791.20","4,844.55","4,844.15","4,820.66",1965992,9477386341.9,102555,457098.0,23.25
BAJFINANCE,EQ,08-Dec-2020,"4,829.45","4,850.00","4,865.00","4,775.00","4,787.55","4,792.15","4,813.87",2971076,14302377702.85,127822,682871.0,22.98
BAJFINANCE,EQ,07-Dec-2020,"4,875.35","4,870.00","4,924.95","4,815.00","4,822.00","4,829.45","4,860.75",3115124,15141843499.9,159877,821898.0,26.38
BAJFINANCE,EQ,04-Dec-2020,"4,867.45","4,870.00","4,958.00","4,815.00","4,877.45","4,875.35","4,885.75",3679378,17976515345.65,151606,666528.0,18.12
BAJFINANCE,EQ,03-Dec-2020,"4,823.90","4,865.00","4,890.00","4,817.00","4,865.15","4,867.45","4,858.19",2876844,13976260689.75,132449,549283.0,19.09
BAJFINANCE,EQ,02-Dec-2020,"4,861.10","4,864.00","4,884.00","4,785.00","4,814.65","4,823.90","4,826.38",3654970,17640290496.35,187588,706145.0,19.32
BAJFINANCE,EQ,01-Dec-2020,"4,908.80","4,951.20","4,952.40","4,825.25","4,854.00","4,861.10","4,883.31",4017427,19618340024.45,196912,1002661.0,24.96
BAJFINANCE,EQ,27-Nov-2020,"4,821.25","4,859.00","4,960.00","4,785.15","4,874.80","4,908.80","4,891.24",12364707,60478704868.0,534093,6952047.0,56.22
BAJFINANCE,EQ,26-Nov-2020,"4,689.75","4,655.00","4,854.00","4,640.00","4,850.00","4,821.25","4,760.71",6273208,29864892797.4,249319,1208095.0,19.26
