symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
CHOLAFIN,EQ,30-Dec-2020,383.15,383.85,386.05,376.35,383.6,384.9,381.62,2218568,846641571.9,52845,460610.0,20.76
CHOLAFIN,EQ,29-Dec-2020,386.35,389.45,392.0,380.45,380.75,383.15,386.26,3923113,1515324492.9,66252,711750.0,18.14
CHOLAFIN,EQ,28-Dec-2020,376.35,376.35,393.05,375.75,385.4,386.35,387.25,5039946,1951743078.45,70138,1084824.0,21.52
CHOLAFIN,EQ,24-Dec-2020,376.25,378.3,383.05,374.25,375.0,376.35,378.87,3098846,1174070250.45,73716,679241.0,21.92
CHOLAFIN,EQ,23-Dec-2020,360.8,361.4,378.0,358.3,377.0,376.25,370.45,2616831,969412938.75,46889,516311.0,19.73
CHOLAFIN,EQ,22-Dec-2020,354.85,355.4,363.9,345.15,360.0,360.8,357.06,3386376,1209150379.75,102614,668012.0,19.73
CHOLAFIN,EQ,21-Dec-2020,375.1,372.65,374.8,347.5,352.45,354.85,363.86,4642486,1689213121.95,80963,1709395.0,36.82
CHOLAFIN,EQ,18-Dec-2020,374.45,375.35,377.45,362.7,372.5,375.1,372.6,4505413,1678725324.2,40522,1773576.0,39.37
CHOLAFIN,EQ,17-Dec-2020,377.5,377.4,380.95,372.55,373.9,374.45,376.25,2029421,763572931.2,26961,422234.0,20.81
CHOLAFIN,EQ,16-Dec-2020,377.25,380.9,386.25,374.9,375.6,377.5,380.93,6207977,2364774233.3,62022,1096210.0,17.66
CHOLAFIN,EQ,15-Dec-2020,371.75,372.0,378.35,362.9,376.6,377.25,371.41,3384031,1256873700.0,53143,941070.0,27.81
CHOLAFIN,EQ,14-Dec-2020,369.3,370.0,374.7,366.7,371.1,371.75,371.0,2862937,1062145575.4,46515,974907.0,34.05
CHOLAFIN,EQ,11-Dec-2020,366.35,368.0,375.5,364.95,370.0,369.3,371.5,4991079,1854178110.4,81304,1855602.0,37.18
CHOLAFIN,EQ,10-Dec-2020,369.95,369.0,369.9,362.1,366.0,366.35,365.37,2568628,938489725.8,64632,665548.0,25.91
CHOLAFIN,EQ,09-Dec-2020,373.05,375.8,376.75,367.5,369.25,369.95,371.19,3367707,1250060756.65,75230,812710.0,24.13
CHOLAFIN,EQ,08-Dec-2020,364.5,367.35,378.0,362.2,373.1,373.05,370.58,6112009,2264991198.85,111431,1105320.0,18.08
CHOLAFIN,EQ,07-Dec-2020,369.75,373.5,375.0,363.4,363.95,364.5,369.13,7661279,2827991941.15,100188,3799519.0,49.59
CHOLAFIN,EQ,04-Dec-2020,370.7,373.9,375.5,361.25,371.45,369.75,368.91,5683929,2096844116.85,87627,1703579.0,29.97
CHOLAFIN,EQ,03-Dec-2020,374.9,377.95,381.5,368.4,370.9,370.7,374.25,5027299,1881473590.9,70934,1710854.0,34.03
CHOLAFIN,EQ,02-Dec-2020,374.8,376.0,382.85,371.0,374.65,374.9,376.1,4970169,1869300499.15,81966,1172416.0,23.59
CHOLAFIN,EQ,01-Dec-2020,388.7,389.65,389.65,371.35,374.65,374.8,376.33,7531640,2834356936.6,120429,2120188.0,28.15
CHOLAFIN,EQ,27-Nov-2020,360.2,360.5,394.9,358.9,385.85,388.7,379.37,13549479,5140282901.0,152199,5173317.0,38.18
CHOLAFIN,EQ,26-Nov-2020,352.85,355.05,361.5,350.5,359.65,360.2,355.18,6076161,2158154760.6,79269,1952312.0,32.13
CHOLAFIN,EQ,25-Nov-2020,360.2,364.4,366.9,351.55,354.5,352.85,358.41,7347086,2633275435.9,74816,1481806.0,20.17
