symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ENRIN,EQ,29-Dec-2025,"2,625.10","2,639.00","2,646.50","2,572.00","2,577.00","2,578.50","2,606.40",390571,1017985644.0,29086,236747.0,60.62
ENRIN,EQ,26-Dec-2025,"2,595.50","2,605.00","2,644.00","2,598.90","2,625.00","2,625.10","2,625.64",488094,1281559461.4,24114,295457.0,60.53
ENRIN,EQ,24-Dec-2025,"2,593.40","2,596.80","2,611.00","2,580.80","2,595.00","2,595.50","2,593.94",573553,1487759566.7,28389,377618.0,65.84
ENRIN,EQ,23-Dec-2025,"2,616.50","2,630.00","2,654.90","2,564.10","2,594.50","2,593.40","2,604.41",1736147,4521639364.6,82881,1113368.0,64.13
ENRIN,EQ,22-Dec-2025,"2,747.00","2,722.00","2,722.00","2,576.50","2,619.00","2,616.50","2,609.28",4675842,12200574297.2,179067,2722910.0,58.23
ENRIN,EQ,19-Dec-2025,"2,839.40","2,860.00","2,875.00","2,702.00","2,707.00","2,747.00","2,758.35",4395833,12125228765.2,93846,2585371.0,58.81
ENRIN,EQ,18-Dec-2025,"2,971.70","2,962.00","2,964.40","2,828.00","2,849.80","2,839.40","2,853.65",768526,2193103761.1,62754,391248.0,50.91
ENRIN,EQ,17-Dec-2025,"2,979.80","2,982.00","3,012.40","2,934.40","2,977.00","2,971.70","2,976.38",356990,1062538199.1,26137,188952.0,52.93
ENRIN,EQ,16-Dec-2025,"2,945.60","2,957.90","3,024.20","2,942.10","2,974.00","2,979.80","2,991.34",612192,1831275172.2,43207,280958.0,45.89
ENRIN,EQ,15-Dec-2025,"2,893.60","2,905.00","2,999.00","2,903.60","2,946.50","2,945.60","2,953.01",456360,1347633554.7,36428,206634.0,45.28
ENRIN,EQ,12-Dec-2025,"2,905.40","2,920.10","2,954.30","2,888.00","2,894.10","2,893.60","2,914.82",380471,1109005113.6,30278,217556.0,57.18
ENRIN,EQ,11-Dec-2025,"2,996.30","2,975.00","2,975.00","2,896.00","2,912.50","2,905.40","2,927.17",653327,1912402404.4,51901,374196.0,57.28
ENRIN,EQ,10-Dec-2025,"3,032.80","3,042.00","3,078.90","2,981.70","2,981.70","2,996.30","3,028.85",409895,1241508702.5,34114,209061.0,51.00
ENRIN,EQ,09-Dec-2025,"2,953.80","2,952.00","3,042.70","2,933.00","3,025.00","3,032.80","2,995.88",563954,1689537177.7,53201,289984.0,51.42
ENRIN,EQ,08-Dec-2025,"3,098.20","3,100.00","3,119.80","2,931.60","2,962.90","2,953.80","2,986.85",518818,1549631913.1,55272,326104.0,62.86
ENRIN,EQ,05-Dec-2025,"3,100.70","3,118.00","3,138.00","3,075.00","3,099.90","3,098.20","3,089.59",372926,1152187004.7,32677,199291.0,53.44
ENRIN,EQ,04-Dec-2025,"3,150.50","3,150.00","3,190.00","3,090.00","3,100.00","3,100.70","3,128.26",305254,954912492.9,31533,186774.0,61.19
ENRIN,EQ,03-Dec-2025,"3,194.30","3,200.00","3,214.00","3,123.50","3,157.60","3,150.50","3,156.37",274280,865728081.1,37596,156251.0,56.97
ENRIN,EQ,02-Dec-2025,"3,140.90","3,145.00","3,197.70","3,139.40","3,193.00","3,194.30","3,183.49",443633,1412302298.9,41939,301478.0,67.96
ENRIN,EQ,01-Dec-2025,"3,159.60","3,170.00","3,174.50","3,114.00","3,135.10","3,140.90","3,132.43",258130,808574925.3,20972,130147.0,50.42
ENRIN,EQ,28-Nov-2025,"3,111.60","3,134.80","3,239.00","3,118.00","3,151.00","3,159.60","3,176.57",961631,3054688187.4,72907,361104.0,37.55
ENRIN,EQ,27-Nov-2025,"3,113.70","3,133.00","3,152.10","3,088.30","3,120.00","3,111.60","3,116.15",724788,2258549837.8,59207,454812.0,62.75
ENRIN,EQ,26-Nov-2025,"3,097.50","3,130.00","3,156.90","3,097.80","3,118.90","3,113.70","3,118.17",934038,2912485777.0,103244,631395.0,67.60
ENRIN,EQ,25-Nov-2025,"3,162.90","3,250.00","3,294.00","3,022.10","3,100.00","3,097.50","3,102.74",2473410,7674353080.1,150852,788260.0,31.87
ENRIN,EQ,24-Nov-2025,"3,332.90","3,348.00","3,376.80","3,073.60","3,175.00","3,162.90","3,174.50",14975777,47540654618.1,215174,9093676.0,60.72
ENRIN,EQ,21-Nov-2025,"3,346.00","3,358.50","3,384.00","3,270.00","3,338.00","3,332.90","3,330.67",362284,1206646858.1,29223,187118.0,51.65
ENRIN,EQ,20-Nov-2025,"3,314.90","3,334.00","3,388.10","3,315.00","3,346.10","3,346.00","3,356.90",493812,1657677527.2,38955,277661.0,56.23
ENRIN,EQ,19-Nov-2025,"3,348.90","3,333.00","3,392.00","3,304.40","3,311.60","3,314.90","3,335.56",412298,1375245901.8,49785,286520.0,69.49
ENRIN,EQ,18-Nov-2025,"3,296.10","3,317.00","3,380.00","3,312.50","3,345.00","3,348.90","3,345.74",539522,1805102347.5,42602,324097.0,60.07
ENRIN,EQ,17-Nov-2025,"3,257.60","3,274.00","3,312.60","3,274.00","3,295.50","3,296.10","3,293.39",217701,716974377.5,15089,116944.0,53.72
ENRIN,EQ,14-Nov-2025,"3,298.50","3,280.50","3,303.00","3,231.00","3,257.20","3,257.60","3,256.77",284739,927329172.0,35776,188097.0,66.06
ENRIN,EQ,13-Nov-2025,"3,283.60","3,283.60","3,318.00","3,269.80","3,298.70","3,298.50","3,301.80",285944,944129581.1,33132,164122.0,57.40
ENRIN,EQ,12-Nov-2025,"3,248.20","3,278.00","3,300.00","3,250.50","3,280.00","3,283.60","3,280.48",324320,1063925135.8,27069,189262.0,58.36
ENRIN,EQ,11-Nov-2025,"3,282.10","3,311.60","3,328.60","3,225.00","3,244.80","3,248.20","3,270.55",297925,974377843.6,29726,170188.0,57.12
ENRIN,EQ,10-Nov-2025,"3,228.20","3,248.90","3,309.90","3,237.90","3,272.50","3,282.10","3,281.48",357564,1173337559.5,28438,190605.0,53.31
