symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
ZOMATO,EQ,30-Dec-2021,137.1,137.05,137.05,133.3,133.95,133.95,134.65,8369208,1126936334.65,59848,2141855.0,25.59
ZOMATO,EQ,29-Dec-2021,132.85,132.7,137.7,131.55,136.4,137.1,135.19,18914246,2557089401.3,85931,4637529.0,24.52
ZOMATO,EQ,28-Dec-2021,132.75,133.7,134.0,131.65,132.7,132.85,132.81,11170275,1483513512.85,56967,2451568.0,21.95
ZOMATO,EQ,27-Dec-2021,131.45,131.35,133.85,128.0,132.85,132.75,131.63,13934154,1834096563.0,71433,1578597.0,11.33
ZOMATO,EQ,24-Dec-2021,133.0,134.5,134.5,129.6,131.5,131.45,131.06,17625584,2310005054.1,91117,2909756.0,16.51
ZOMATO,EQ,23-Dec-2021,138.65,140.05,140.75,132.1,133.3,133.0,135.75,21934786,2977725260.85,121871,6655136.0,30.34
ZOMATO,EQ,22-Dec-2021,131.6,133.05,139.75,133.0,139.05,138.65,136.66,19425711,2654803651.0,109610,5667170.0,29.17
ZOMATO,EQ,21-Dec-2021,126.55,128.85,132.85,128.6,132.0,131.6,131.35,20442777,2685236083.55,112825,6112818.0,29.9
ZOMATO,EQ,20-Dec-2021,135.35,135.3,135.75,124.6,127.4,126.55,128.52,36064413,4634855582.15,215461,13429087.0,37.24
ZOMATO,EQ,17-Dec-2021,138.4,138.95,141.0,132.35,139.65,135.35,135.87,95386202,12960459114.95,166228,52023293.0,54.54
ZOMATO,EQ,16-Dec-2021,140.6,141.9,142.85,137.4,138.35,138.4,139.16,17182101,2391020321.9,91748,5609957.0,32.65
ZOMATO,EQ,15-Dec-2021,140.65,140.5,142.0,140.0,140.9,140.6,140.9,12791660,1802378662.25,68649,4359892.0,34.08
ZOMATO,EQ,14-Dec-2021,142.65,144.7,144.95,140.0,140.9,140.65,142.74,19474412,2779754985.95,103134,5877651.0,30.18
ZOMATO,EQ,13-Dec-2021,140.55,142.2,144.45,141.9,142.5,142.65,143.14,20318225,2908344791.05,118768,7044624.0,34.67
ZOMATO,EQ,10-Dec-2021,146.25,144.1,146.4,139.75,140.7,140.55,142.0,27881031,3959239951.7,131114,9072100.0,32.54
ZOMATO,EQ,09-Dec-2021,147.6,148.65,148.65,145.3,145.8,146.25,146.78,18377899,2697467248.2,91904,3594628.0,19.56
ZOMATO,EQ,08-Dec-2021,139.8,141.0,148.6,140.25,147.3,147.6,144.52,37324365,5394300270.35,172970,9766201.0,26.17
ZOMATO,EQ,07-Dec-2021,138.55,141.35,143.8,138.65,139.7,139.8,140.45,36835410,5173431579.9,166758,12600595.0,34.21
ZOMATO,EQ,06-Dec-2021,144.9,146.6,146.85,135.3,135.3,138.55,140.79,33244501,4680445210.75,191492,12168675.0,36.6
ZOMATO,EQ,03-Dec-2021,150.65,152.1,152.8,143.85,145.65,144.9,147.93,26452896,3913277001.0,149937,10477363.0,39.61
