symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
HDFCAMC,EQ,30-Dec-2020,"2,907.50","2,924.80","2,927.00","2,876.10","2,908.00","2,908.70","2,906.96",237351,689970127.05,30217,117531.0,49.52
HDFCAMC,EQ,29-Dec-2020,"2,894.80","2,914.80","2,923.40","2,876.50","2,914.00","2,907.50","2,899.26",228878,663576493.5,19519,86066.0,37.60
HDFCAMC,EQ,28-Dec-2020,"2,891.45","2,924.00","2,933.95","2,881.05","2,894.00","2,894.80","2,905.27",226171,657087469.6,29172,79582.0,35.19
HDFCAMC,EQ,24-Dec-2020,"2,938.95","2,970.00","2,990.00","2,880.00","2,900.00","2,891.45","2,918.50",397620,1160451989.9,38097,196521.0,49.42
HDFCAMC,EQ,23-Dec-2020,"2,881.05","2,880.00","2,982.80","2,855.25","2,940.00","2,938.95","2,947.67",764360,2253084409.4,72312,356102.0,46.59
HDFCAMC,EQ,22-Dec-2020,"2,785.35","2,786.00","2,905.95","2,678.00","2,888.10","2,881.05","2,789.37",613023,1709946813.2,58070,217749.0,35.52
HDFCAMC,EQ,21-Dec-2020,"2,862.00","2,861.90","2,950.00","2,700.00","2,780.00","2,785.35","2,868.10",799804,2293916021.35,68493,258151.0,32.28
HDFCAMC,EQ,18-Dec-2020,"2,838.25","2,879.00","2,899.00","2,838.00","2,865.00","2,862.00","2,862.52",440111,1259826756.1,30470,237749.0,54.02
HDFCAMC,EQ,17-Dec-2020,"2,862.70","2,862.00","2,862.70","2,822.05","2,839.00","2,838.25","2,844.49",163850,466070038.95,25884,78033.0,47.62
HDFCAMC,EQ,16-Dec-2020,"2,790.80","2,822.95","2,875.75","2,805.00","2,856.00","2,862.70","2,854.47",508637,1451888182.1,52479,219861.0,43.23
HDFCAMC,EQ,15-Dec-2020,"2,841.80","2,839.00","2,839.00","2,780.00","2,792.00","2,790.80","2,802.89",243069,681296020.1,32259,122830.0,50.53
HDFCAMC,EQ,14-Dec-2020,"2,838.60","2,849.00","2,852.00","2,804.15","2,840.35","2,841.80","2,828.53",204663,578895663.55,24683,84365.0,41.22
HDFCAMC,EQ,11-Dec-2020,"2,839.15","2,839.15","2,888.00","2,780.00","2,841.00","2,838.60","2,845.86",370666,1054864007.8,39520,129339.0,34.89
HDFCAMC,EQ,10-Dec-2020,"2,811.95","2,813.00","2,848.00","2,756.00","2,839.90","2,839.15","2,813.77",426532,1200163554.65,44329,132138.0,30.98
HDFCAMC,EQ,09-Dec-2020,"2,829.40","2,829.40","2,863.45","2,776.00","2,812.95","2,811.95","2,815.02",495141,1393832726.15,51789,165848.0,33.50
HDFCAMC,EQ,08-Dec-2020,"2,711.00","2,735.00","2,845.00","2,730.00","2,816.60","2,829.40","2,804.49",1336834,3749136849.7,93577,331459.0,24.79
HDFCAMC,EQ,07-Dec-2020,"2,591.15","2,611.70","2,722.30","2,600.00","2,722.10","2,711.00","2,678.43",770510,2063757216.35,61745,287124.0,37.26
HDFCAMC,EQ,04-Dec-2020,"2,565.90","2,575.85","2,611.30","2,555.05","2,592.00","2,591.15","2,588.81",353177,914308959.1,38353,173163.0,49.03
HDFCAMC,EQ,03-Dec-2020,"2,555.05","2,559.95","2,578.00","2,544.05","2,567.00","2,565.90","2,565.02",247420,634637305.2,24955,139247.0,56.28
HDFCAMC,EQ,02-Dec-2020,"2,511.45","2,515.00","2,589.00","2,511.55","2,553.00","2,555.05","2,556.28",514686,1315684056.85,62164,204120.0,39.66
HDFCAMC,EQ,01-Dec-2020,"2,538.80","2,549.00","2,549.35","2,500.00","2,508.00","2,511.45","2,513.62",373724,939399070.7,43382,221858.0,59.36
HDFCAMC,EQ,27-Nov-2020,"2,548.70","2,558.00","2,577.10","2,500.00","2,526.00","2,538.80","2,543.29",569891,1449399032.5,41976,287386.0,50.43
HDFCAMC,EQ,26-Nov-2020,"2,513.40","2,530.00","2,554.90","2,505.95","2,546.00","2,548.70","2,538.96",379914,964587218.25,37382,141234.0,37.18
HDFCAMC,EQ,25-Nov-2020,"2,472.25","2,480.00","2,568.45","2,480.00","2,515.00","2,513.40","2,523.88",1163071,2935449090.35,85121,346208.0,29.77
HDFCAMC,EQ,24-Nov-2020,"2,427.85","2,451.00","2,483.00","2,430.00","2,469.00","2,472.25","2,455.92",256302,629456926.7,27485,121030.0,47.22
HDFCAMC,EQ,23-Nov-2020,"2,409.65","2,439.00","2,476.00","2,415.00","2,429.25","2,427.85","2,446.82",288384,705622726.7,30294,141434.0,49.04
HDFCAMC,EQ,20-Nov-2020,"2,424.75","2,434.60","2,440.00","2,400.05","2,408.00","2,409.65","2,415.25",151132,365021296.3,16695,71127.0,47.06
HDFCAMC,EQ,19-Nov-2020,"2,469.20","2,459.00","2,464.35","2,410.00","2,419.95","2,424.75","2,444.94",212741,520139275.95,20896,122211.0,57.45
HDFCAMC,EQ,18-Nov-2020,"2,504.90","2,500.00","2,500.00","2,461.00","2,465.00","2,469.20","2,473.01",247769,612735675.85,26042,122874.0,49.59
HDFCAMC,EQ,17-Nov-2020,"2,451.65","2,510.00","2,524.40","2,480.00","2,497.00","2,504.90","2,504.22",557710,1396627375.75,46290,256645.0,46.02
HDFCAMC,EQ,14-Nov-2020,"2,404.15","2,437.00","2,459.90","2,418.00","2,451.00","2,451.65","2,445.05",84655,206985654.5,10551,53552.0,63.26
HDFCAMC,EQ,13-Nov-2020,"2,435.85","2,415.00","2,435.00","2,400.05","2,403.10","2,404.15","2,412.57",152414,367709453.0,14566,82067.0,53.84
HDFCAMC,EQ,12-Nov-2020,"2,443.75","2,443.75","2,463.00","2,415.30","2,428.00","2,435.85","2,435.12",207058,504211012.35,16889,66885.0,32.30
HDFCAMC,EQ,11-Nov-2020,"2,447.75","2,450.05","2,496.75","2,411.50","2,430.00","2,443.75","2,446.63",305706,747949985.25,29848,121011.0,39.58
HDFCAMC,EQ,10-Nov-2020,"2,508.70","2,525.00","2,525.00","2,407.05","2,442.30","2,447.75","2,453.13",438580,1075894720.7,40565,183793.0,41.91
HDFCAMC,EQ,09-Nov-2020,"2,377.25","2,400.00","2,518.00","2,398.00","2,505.00","2,508.70","2,480.62",1003974,2490475720.2,71212,430566.0,42.89
HDFCAMC,EQ,06-Nov-2020,"2,312.40","2,323.00","2,385.00","2,313.05","2,371.00","2,377.25","2,352.84",293470,690487065.3,23610,171996.0,58.61
HDFCAMC,EQ,05-Nov-2020,"2,264.30","2,279.00","2,319.75","2,264.35","2,310.00","2,312.40","2,291.07",167818,384482729.0,23342,101096.0,60.24
HDFCAMC,EQ,04-Nov-2020,"2,256.50","2,277.80","2,280.00","2,236.60","2,255.95","2,264.30","2,259.10",137102,309726551.05,14113,84782.0,61.84
HDFCAMC,EQ,03-Nov-2020,"2,251.50","2,251.95","2,270.00","2,246.00","2,255.05","2,256.50","2,257.95",111718,252254014.55,14950,72947.0,65.30
HDFCAMC,EQ,02-Nov-2020,"2,250.20","2,254.00","2,268.00","2,225.90","2,251.95","2,251.50","2,249.65",150056,337573996.0,18366,103004.0,68.64
HDFCAMC,EQ,30-Oct-2020,"2,262.35","2,262.35","2,272.40","2,245.00","2,251.00","2,250.20","2,253.59",176325,397364118.25,25021,123561.0,70.08
HDFCAMC,EQ,29-Oct-2020,"2,282.25","2,260.00","2,275.85","2,237.05","2,262.50","2,262.35","2,255.61",303743,685126475.1,22608,234894.0,77.33
HDFCAMC,EQ,28-Oct-2020,"2,295.40","2,301.00","2,304.95","2,270.00","2,290.00","2,282.25","2,280.13",141127,321787971.5,13570,94078.0,66.66
HDFCAMC,EQ,27-Oct-2020,"2,305.15","2,290.00","2,330.00","2,266.00","2,300.00","2,295.40","2,295.38",321144,737147438.75,21198,209125.0,65.12
HDFCAMC,EQ,26-Oct-2020,"2,308.90","2,308.00","2,310.00","2,275.10","2,308.35","2,305.15","2,292.23",149562,342829776.8,13189,94848.0,63.42
