Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
HYUNDAI,EQ,22-Oct-2024,"1,960.00","1,934.00","1,970.00","1,807.00","1,845.00","1,819.60","1,888.30",28619978,54042998487.45,996355,16475538,57.57
HYUNDAI,EQ,23-Oct-2024,"1,819.60","1,815.20","1,928.90","1,810.00","1,900.00","1,896.85","1,886.00",7729113,14577081099.3,260804,3418575,44.23
HYUNDAI,EQ,24-Oct-2024,"1,896.85","1,927.95","1,933.85","1,853.45","1,872.00","1,871.20","1,893.51",3271622,6194856787.5,139203,1526615,46.66
HYUNDAI,EQ,25-Oct-2024,"1,871.20","1,871.00","1,884.25","1,783.00","1,844.00","1,843.75","1,820.96",3219776,5863077841.1,165666,1904583,59.15
HYUNDAI,EQ,28-Oct-2024,"1,843.75","1,843.75","1,848.65","1,795.00","1,809.00","1,803.35","1,812.67",1341337,2431399313.15,106334,847317,63.17
HYUNDAI,EQ,29-Oct-2024,"1,803.35","1,807.95","1,807.95","1,752.00","1,770.15","1,758.50","1,764.93",2446675,4318220927.7,134360,1630017,66.62
HYUNDAI,EQ,30-Oct-2024,"1,758.50","1,769.95","1,843.10","1,760.65","1,820.00","1,832.05","1,816.11",1516619,2754344214.55,69125,845256,55.73
HYUNDAI,EQ,31-Oct-2024,"1,832.05","1,823.00","1,842.95","1,815.15","1,822.40","1,822.55","1,824.14",522279,952708614.6,50594,296780,56.82
HYUNDAI,EQ,01-Nov-2024,"1,822.55","1,825.00","1,848.00","1,825.00","1,832.15","1,832.30","1,835.54",158166,290320607.15,18027,100898,63.79
HYUNDAI,EQ,04-Nov-2024,"1,832.30","1,832.25","1,841.00","1,796.10","1,816.00","1,814.45","1,814.61",926694,1681590723.3,80527,619684,66.87
HYUNDAI,EQ,05-Nov-2024,"1,814.45","1,802.35","1,840.00","1,800.00","1,829.00","1,828.25","1,827.59",889751,1626103456.4,60337,530211,59.59
HYUNDAI,EQ,06-Nov-2024,"1,828.25","1,826.00","1,868.40","1,823.10","1,855.00","1,853.50","1,848.84",903413,1670262048.9,46740,461339,51.07
HYUNDAI,EQ,07-Nov-2024,"1,853.50","1,841.65","1,849.90","1,826.00","1,831.55","1,833.65","1,838.27",650585,1195953726.25,69698,427325,65.68
HYUNDAI,EQ,08-Nov-2024,"1,833.65","1,830.20","1,847.60","1,809.60","1,840.40","1,840.15","1,832.98",577813,1059122147.3,62978,389590,67.42
HYUNDAI,EQ,11-Nov-2024,"1,840.15","1,830.00","1,865.00","1,820.00","1,822.70","1,822.05","1,838.03",445794,819381143.85,40937,203111,45.56
HYUNDAI,EQ,12-Nov-2024,"1,822.05","1,826.20","1,842.25","1,772.20","1,820.00","1,803.95","1,802.14",1069276,1926984776.55,55510,311573,29.14
HYUNDAI,EQ,13-Nov-2024,"1,803.95","1,787.00","1,795.00","1,714.00","1,745.00","1,739.95","1,733.44",1500153,2600421133.6,119685,766037,51.06
HYUNDAI,EQ,14-Nov-2024,"1,739.95","1,749.95","1,779.00","1,716.10","1,763.05","1,765.75","1,753.00",580587,1017769579.1,45397,249625,43.0
HYUNDAI,EQ,18-Nov-2024,"1,765.75","1,751.90","1,759.00","1,688.50","1,728.10","1,729.80","1,716.09",1599438,2744774524.85,130689,931880,58.26
HYUNDAI,EQ,19-Nov-2024,"1,729.80","1,733.00","1,849.00","1,729.00","1,825.00","1,829.80","1,817.81",1824631,3316836238.65,99461,982857,53.87
HYUNDAI,EQ,21-Nov-2024,"1,829.80","1,819.95","1,859.00","1,786.05","1,825.05","1,825.55","1,831.11",1171989,2146038343.2,85356,609845,52.04
HYUNDAI,EQ,22-Nov-2024,"1,825.55","1,825.55","1,838.00","1,811.25","1,831.00","1,830.20","1,828.82",436515,798305744.4,34969,286391,65.61
HYUNDAI,EQ,25-Nov-2024,"1,830.20","1,835.05","1,860.00","1,832.05","1,854.90","1,853.35","1,848.42",791187,1462444266.65,58865,559092,70.66
HYUNDAI,EQ,26-Nov-2024,"1,853.35","1,854.90","1,911.00","1,853.35","1,882.45","1,880.00","1,888.71",825461,1559054634.6,70023,424522,51.43
HYUNDAI,EQ,27-Nov-2024,"1,880.00","1,905.30","1,926.60","1,895.00","1,907.00","1,907.45","1,907.66",894423,1706250844.7,54428,580775,64.93
HYUNDAI,EQ,28-Nov-2024,"1,907.45","1,890.00","1,917.80","1,874.15","1,900.00","1,902.65","1,895.27",692877,1313186690.85,65247,342416,49.42
HYUNDAI,EQ,29-Nov-2024,"1,902.65","1,905.20","1,939.00","1,897.05","1,911.00","1,916.55","1,918.94",1301843,2498160654.2,73881,805176,61.85
HYUNDAI,EQ,02-Dec-2024,"1,916.55","1,875.00","1,915.45","1,870.25","1,883.00","1,880.90","1,890.27",476433,900588370.2,32315,207160,43.48
HYUNDAI,EQ,03-Dec-2024,"1,880.90","1,885.00","1,889.85","1,825.50","1,848.00","1,849.20","1,851.61",961607,1780518666.05,51459,607826,63.21
HYUNDAI,EQ,04-Dec-2024,"1,849.20","1,840.25","1,877.00","1,840.25","1,873.00","1,872.20","1,861.53",640379,1192087359.65,34997,327886,51.2
HYUNDAI,EQ,05-Dec-2024,"1,872.20","1,875.90","1,898.90","1,866.30","1,876.00","1,878.05","1,879.76",506260,951646978.25,32392,243540,48.11
HYUNDAI,EQ,06-Dec-2024,"1,878.05","1,876.00","1,880.00","1,853.60","1,857.20","1,858.50","1,858.65",612872,1139115899.05,27778,448128,73.12
HYUNDAI,EQ,09-Dec-2024,"1,858.50","1,858.50","1,871.00","1,824.00","1,827.90","1,826.65","1,835.90",403251,740327038.85,34465,253330,62.82
HYUNDAI,EQ,10-Dec-2024,"1,826.65","1,829.95","1,842.95","1,820.00","1,832.30","1,833.45","1,832.61",367019,672603426.8,34531,212002,57.76
HYUNDAI,EQ,11-Dec-2024,"1,833.45","1,840.00","1,840.00","1,819.00","1,825.00","1,823.40","1,823.75",337783,616032624.75,28572,235695,69.78
