symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
JINDALSTEL,EQ,30-Dec-2020,259.4,263.3,268.9,260.2,265.2,265.95,263.39,9449170,2488846925.7,67616,1025459.0,10.85
JINDALSTEL,EQ,29-Dec-2020,267.15,269.0,271.1,257.8,258.95,259.4,263.05,8428134,2216980650.15,63566,1886030.0,22.38
JINDALSTEL,EQ,28-Dec-2020,259.25,259.3,269.0,259.2,268.5,267.15,266.11,8007419,2130823953.95,56671,1021094.0,12.75
JINDALSTEL,EQ,24-Dec-2020,262.3,264.75,269.5,258.0,258.45,259.25,263.27,10510931,2767181761.15,117714,1413030.0,13.44
JINDALSTEL,EQ,23-Dec-2020,260.1,261.5,263.4,254.5,261.8,262.3,259.3,9481749,2458627076.6,80244,1160479.0,12.24
JINDALSTEL,EQ,22-Dec-2020,252.8,253.0,261.9,246.3,260.55,260.1,253.71,11697459,2967812062.85,79736,2236815.0,19.12
JINDALSTEL,EQ,21-Dec-2020,272.05,269.5,273.7,244.85,251.75,252.8,262.12,9801151,2569085886.25,65106,1492870.0,15.23
JINDALSTEL,EQ,18-Dec-2020,278.1,278.0,280.95,270.65,271.3,272.05,274.54,6978398,1915825839.4,49491,1238880.0,17.75
JINDALSTEL,EQ,17-Dec-2020,285.6,285.0,286.9,275.55,278.0,278.1,282.08,7336203,2069409442.4,45439,1644052.0,22.41
JINDALSTEL,EQ,16-Dec-2020,272.8,275.0,287.35,273.15,285.0,285.6,280.3,16676228,4674390780.4,97828,3983761.0,23.89
JINDALSTEL,EQ,15-Dec-2020,263.3,264.0,273.95,261.4,272.55,272.8,267.7,9969730,2668888462.75,58822,2191072.0,21.98
JINDALSTEL,EQ,14-Dec-2020,260.6,264.85,269.4,261.0,263.4,263.3,264.79,9956703,2636421494.6,60047,1844392.0,18.52
JINDALSTEL,EQ,11-Dec-2020,259.4,260.5,264.25,258.55,260.2,260.6,261.93,6458937,1691760826.9,39727,1213210.0,18.78
JINDALSTEL,EQ,10-Dec-2020,258.1,257.0,263.6,252.55,260.65,259.4,258.16,7720336,1993057053.55,44636,544597.0,7.05
JINDALSTEL,EQ,09-Dec-2020,260.3,262.2,265.0,256.15,257.35,258.1,260.28,6605175,1719192518.75,39130,1021846.0,15.47
JINDALSTEL,EQ,08-Dec-2020,266.35,267.9,268.7,254.2,260.4,260.3,260.93,12708530,3316049989.75,82193,1534432.0,12.07
JINDALSTEL,EQ,07-Dec-2020,267.3,267.3,272.9,264.5,265.75,266.35,268.61,10334837,2776024887.55,55850,1947908.0,18.85
JINDALSTEL,EQ,04-Dec-2020,263.15,263.7,271.45,257.55,266.7,267.3,266.07,17365825,4620585773.95,103186,1854239.0,10.68
JINDALSTEL,EQ,03-Dec-2020,259.1,259.6,265.2,259.6,261.9,263.15,262.94,11854299,3116913883.35,93456,2760894.0,23.29
JINDALSTEL,EQ,02-Dec-2020,253.15,252.2,268.35,251.2,258.55,259.1,260.47,22314238,5812189509.75,140155,4719099.0,21.15
JINDALSTEL,EQ,01-Dec-2020,244.0,246.0,257.45,243.6,252.2,253.15,250.46,9734697,2438178569.4,54972,1305064.0,13.41
JINDALSTEL,EQ,27-Nov-2020,249.6,250.0,252.25,242.15,243.8,244.0,247.44,12116579,2998185603.7,65625,1495970.0,12.35
JINDALSTEL,EQ,26-Nov-2020,235.2,234.6,250.8,232.25,250.05,249.6,242.18,12732331,3083517683.85,69896,2284302.0,17.94
JINDALSTEL,EQ,25-Nov-2020,240.95,241.6,248.0,232.0,232.2,235.2,241.14,11344961,2735719667.4,59062,1855200.0,16.35
JINDALSTEL,EQ,24-Nov-2020,242.05,243.9,245.65,235.7,240.95,240.95,240.45,8472362,2037196831.65,47906,1360006.0,16.05
JINDALSTEL,EQ,23-Nov-2020,236.55,239.0,245.8,238.5,241.8,242.05,242.32,9931028,2406509113.9,65481,1263516.0,12.72
JINDALSTEL,EQ,20-Nov-2020,233.65,236.75,245.0,231.7,235.05,236.55,238.51,18339216,4374139971.75,113859,2228343.0,12.15
JINDALSTEL,EQ,19-Nov-2020,228.05,225.0,235.4,224.25,235.25,233.65,231.34,11777158,2724549472.45,94418,4299223.0,36.50
JINDALSTEL,EQ,18-Nov-2020,228.85,228.0,229.65,223.55,228.45,228.05,226.09,4081823,922859964.65,32692,875665.0,21.45
JINDALSTEL,EQ,17-Nov-2020,216.4,217.0,230.75,217.0,229.15,228.85,225.3,10920316,2460365240.55,64198,4038236.0,36.98
JINDALSTEL,EQ,14-Nov-2020,215.1,217.0,218.5,214.9,215.1,216.4,217.16,761948,165464859.0,7818,360522.0,47.32
JINDALSTEL,EQ,13-Nov-2020,218.1,217.45,217.45,213.0,214.9,215.1,215.12,4166342,896282017.6,32555,933594.0,22.41
JINDALSTEL,EQ,12-Nov-2020,219.15,220.0,221.95,215.1,217.5,218.1,218.61,5125578,1120514722.6,46134,982648.0,19.17
JINDALSTEL,EQ,11-Nov-2020,213.85,213.95,220.0,212.6,219.1,219.15,216.71,8316444,1802240251.4,59006,2351914.0,28.28
JINDALSTEL,EQ,10-Nov-2020,210.0,212.05,214.6,208.1,213.5,213.85,212.66,6709096,1426733064.15,56981,1834642.0,27.35
JINDALSTEL,EQ,09-Nov-2020,212.3,212.3,214.4,209.0,209.2,210.0,211.06,5612423,1184531801.35,35367,838292.0,14.94
JINDALSTEL,EQ,06-Nov-2020,211.65,211.7,216.0,209.5,210.6,212.3,213.05,10323094,2199336228.45,58059,1342272.0,13.00
JINDALSTEL,EQ,05-Nov-2020,207.55,210.05,213.45,206.65,210.9,211.65,210.77,13030954,2746580105.0,66603,1726251.0,13.25
JINDALSTEL,EQ,04-Nov-2020,201.65,202.3,210.85,201.0,207.0,207.55,207.36,20281048,4205507044.6,124964,2125973.0,10.48
JINDALSTEL,EQ,03-Nov-2020,190.8,192.4,202.8,192.35,200.3,201.65,199.55,19495118,3890176128.05,100864,3957284.0,20.30
JINDALSTEL,EQ,02-Nov-2020,191.5,191.5,194.75,187.25,190.0,190.8,190.39,14266886,2716261033.3,75591,2074108.0,14.54
JINDALSTEL,EQ,30-Oct-2020,189.6,191.0,195.4,184.5,191.1,191.5,190.6,20919279,3987172920.9,153105,1455789.0,6.96
JINDALSTEL,EQ,29-Oct-2020,190.6,188.75,192.9,185.8,189.8,189.6,189.1,10244257,1937197092.3,72129,2023084.0,19.75
JINDALSTEL,EQ,28-Oct-2020,193.05,193.4,200.4,189.0,190.1,190.6,194.51,12922102,2513448086.35,75664,1672628.0,12.94
JINDALSTEL,EQ,27-Oct-2020,195.7,193.95,195.65,189.75,193.2,193.05,193.41,12160373,2351946666.5,77561,2437746.0,20.05
JINDALSTEL,EQ,26-Oct-2020,206.25,204.65,204.65,185.65,193.3,195.7,194.59,23104911,4496078745.5,141040,4011909.0,17.36
JINDALSTEL,EQ,23-Oct-2020,208.2,208.7,214.2,202.2,204.5,206.25,208.56,16788062,3501335751.85,100129,2864970.0,17.07
JINDALSTEL,EQ,22-Oct-2020,209.1,208.05,211.0,205.0,207.05,208.2,207.99,13031470,2710456032.05,82042,2721627.0,20.89
JINDALSTEL,EQ,21-Oct-2020,200.45,202.2,210.0,201.55,209.2,209.1,206.36,13220970,2728266689.65,89632,3296105.0,24.93
JINDALSTEL,EQ,20-Oct-2020,201.7,200.0,203.3,197.35,199.95,200.45,200.16,6702296,1341520345.7,52563,951701.0,14.20
JINDALSTEL,EQ,19-Oct-2020,193.7,194.2,202.85,190.75,202.0,201.7,198.2,12505282,2478511845.8,100266,3053038.0,24.41
JINDALSTEL,EQ,16-Oct-2020,182.9,184.5,194.8,179.0,193.4,193.7,187.66,10870513,2039953131.55,83017,1677741.0,15.43
JINDALSTEL,EQ,15-Oct-2020,190.15,191.2,192.7,181.4,181.7,182.9,186.39,5978763,1114408279.6,60246,1485991.0,24.85
JINDALSTEL,EQ,14-Oct-2020,191.8,190.95,191.9,188.25,189.9,190.15,189.9,3323914,631207446.85,29989,743438.0,22.37
