symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
JSWENERGY,EQ,30-Dec-2020,68.4,68.95,69.1,67.8,68.6,68.7,68.67,982505,67463732.15,3768,427538.0,43.52
JSWENERGY,EQ,29-Dec-2020,69.05,69.55,69.95,68.05,68.15,68.4,68.68,958783,65851265.4,3774,383749.0,40.02
JSWENERGY,EQ,28-Dec-2020,68.3,69.0,70.3,67.2,69.05,69.05,68.69,2030860,139503672.75,7622,1046401.0,51.53
JSWENERGY,EQ,24-Dec-2020,68.95,69.5,70.15,68.0,68.25,68.3,68.95,1207158,83233916.25,4818,573147.0,47.48
JSWENERGY,EQ,23-Dec-2020,68.2,68.8,70.7,67.65,69.0,68.95,69.08,7524739,519818110.15,9311,5803042.0,77.12
JSWENERGY,EQ,22-Dec-2020,66.35,65.5,68.8,64.0,68.2,68.2,66.25,2319412,153654730.4,12445,869439.0,37.49
JSWENERGY,EQ,21-Dec-2020,68.8,69.95,70.9,65.0,65.9,66.35,68.59,3805480,261029003.7,13122,1588177.0,41.73
JSWENERGY,EQ,18-Dec-2020,68.4,68.9,70.5,66.55,70.05,68.8,67.98,2269660,154297396.4,6646,940642.0,41.44
JSWENERGY,EQ,17-Dec-2020,69.1,69.5,72.4,67.7,68.2,68.4,70.41,4273037,300880165.3,15424,1509416.0,35.32
JSWENERGY,EQ,16-Dec-2020,66.4,66.85,71.3,66.0,69.1,69.1,68.92,4171351,287479568.3,20289,1610127.0,38.60
JSWENERGY,EQ,15-Dec-2020,67.9,68.2,68.2,66.1,66.3,66.4,66.7,1189733,79356763.45,4681,592908.0,49.84
JSWENERGY,EQ,14-Dec-2020,67.95,68.35,68.75,67.0,67.85,67.9,67.67,976105,66050783.9,4542,482626.0,49.44
JSWENERGY,EQ,11-Dec-2020,65.4,65.8,69.2,64.65,68.05,67.95,67.51,5911354,399091808.75,17457,3096064.0,52.37
JSWENERGY,EQ,10-Dec-2020,65.05,64.9,66.0,64.0,65.4,65.4,64.77,1136352,73599883.8,4367,503921.0,44.35
JSWENERGY,EQ,09-Dec-2020,65.7,66.2,67.45,64.75,65.0,65.05,65.89,1836440,121009588.0,6460,1033534.0,56.28
JSWENERGY,EQ,08-Dec-2020,67.8,68.2,68.7,65.1,65.6,65.7,66.55,2162208,143889878.4,9494,1070532.0,49.51
JSWENERGY,EQ,07-Dec-2020,68.95,68.25,69.35,67.5,68.0,67.8,68.28,1715754,117143687.05,6216,828822.0,48.31
JSWENERGY,EQ,04-Dec-2020,70.75,71.25,73.4,67.2,68.1,68.95,70.36,6579980,462987743.65,20557,2677612.0,40.69
JSWENERGY,EQ,03-Dec-2020,62.65,63.5,71.9,63.0,70.7,70.75,68.5,15854733,1085995939.35,36857,5453448.0,34.40
JSWENERGY,EQ,02-Dec-2020,63.1,63.5,64.0,61.8,62.7,62.65,62.82,1993644,125249892.5,4859,994880.0,49.90
JSWENERGY,EQ,01-Dec-2020,61.9,62.25,64.55,62.25,63.0,63.1,63.51,2191376,139168019.85,7310,1143126.0,52.16
JSWENERGY,EQ,27-Nov-2020,60.75,61.6,62.4,61.35,61.9,61.9,61.92,1647316,101996099.75,5455,847086.0,51.42
JSWENERGY,EQ,26-Nov-2020,60.65,60.75,62.1,60.4,60.9,60.75,60.9,700974,42688499.05,4340,354131.0,50.52
