symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
JSWSTEEL,EQ,30-Dec-2020,381.8,382.8,387.9,378.65,385.2,386.1,382.75,4637174,1774884095.5,50463,511117.0,11.02
JSWSTEEL,EQ,29-Dec-2020,386.6,389.65,389.65,378.1,381.1,381.8,383.0,8144640,3119434721.15,71337,790180.0,9.70
JSWSTEEL,EQ,28-Dec-2020,366.25,369.7,389.0,368.8,387.6,386.6,380.2,11720459,4456122764.0,91371,1569750.0,13.39
JSWSTEEL,EQ,24-Dec-2020,366.85,367.9,378.95,365.0,366.5,366.25,371.69,8104991,3012580850.3,64943,1123259.0,13.86
JSWSTEEL,EQ,23-Dec-2020,361.95,361.0,367.7,357.75,366.85,366.85,363.74,4499725,1636727008.9,42208,531606.0,11.81
JSWSTEEL,EQ,22-Dec-2020,353.5,353.75,364.0,346.15,361.35,361.95,356.53,7273802,2593302697.85,59302,1178830.0,16.21
JSWSTEEL,EQ,21-Dec-2020,364.2,361.6,368.4,344.0,350.9,353.5,358.67,7345501,2634619909.65,52864,1636296.0,22.28
JSWSTEEL,EQ,18-Dec-2020,366.2,368.3,368.95,357.7,363.2,364.2,363.84,5666541,2061704453.35,48177,1203531.0,21.24
JSWSTEEL,EQ,17-Dec-2020,370.6,369.95,373.35,364.05,365.55,366.2,368.93,4501529,1660769617.0,44025,1041849.0,23.14
JSWSTEEL,EQ,16-Dec-2020,365.9,370.0,372.5,364.5,370.6,370.6,368.39,7762252,2859506788.05,62178,1250105.0,16.10
JSWSTEEL,EQ,15-Dec-2020,357.5,358.0,367.0,353.5,366.4,365.9,360.53,5978528,2155433346.5,59127,927917.0,15.52
JSWSTEEL,EQ,14-Dec-2020,359.65,363.95,364.9,356.3,358.0,357.5,360.31,4927085,1775262509.15,42798,763413.0,15.49
JSWSTEEL,EQ,11-Dec-2020,362.3,363.6,366.7,357.6,359.05,359.65,362.09,4518654,1636153355.25,39606,491317.0,10.87
JSWSTEEL,EQ,10-Dec-2020,361.85,362.0,366.45,356.3,362.25,362.3,361.44,6429901,2324036616.6,46289,892583.0,13.88
JSWSTEEL,EQ,09-Dec-2020,362.65,368.0,368.25,359.1,362.0,361.85,362.65,6923848,2510959237.15,56400,838656.0,12.11
JSWSTEEL,EQ,08-Dec-2020,365.0,366.5,367.2,357.55,362.6,362.65,362.37,5311652,1924793621.4,48665,632801.0,11.91
JSWSTEEL,EQ,07-Dec-2020,370.4,370.8,373.2,362.3,365.5,365.0,366.74,6085158,2231682100.4,49993,972780.0,15.99
JSWSTEEL,EQ,04-Dec-2020,370.85,373.0,376.2,363.2,370.8,370.4,370.39,7570516,2804018665.95,59030,933563.0,12.33
JSWSTEEL,EQ,03-Dec-2020,368.4,370.0,374.3,367.7,370.55,370.85,371.28,7385497,2742064917.75,63109,2046517.0,27.71
JSWSTEEL,EQ,02-Dec-2020,358.15,357.0,370.75,356.05,367.45,368.4,365.95,11048627,4043203697.5,82423,1002249.0,9.07
JSWSTEEL,EQ,01-Dec-2020,350.2,354.5,359.0,351.85,357.6,358.15,355.51,6475456,2302073085.9,50624,1227413.0,18.95
JSWSTEEL,EQ,27-Nov-2020,359.2,361.3,362.0,347.65,349.85,350.2,354.82,14338746,5087667927.7,107074,4866460.0,33.94
JSWSTEEL,EQ,26-Nov-2020,338.25,338.5,362.2,336.0,362.0,359.2,349.75,10967276,3835851957.45,89692,1922425.0,17.53
JSWSTEEL,EQ,25-Nov-2020,340.85,343.5,345.9,337.0,338.0,338.25,342.48,6195795,2121912372.7,53293,997746.0,16.10
JSWSTEEL,EQ,24-Nov-2020,337.75,338.9,342.25,334.1,340.95,340.85,338.51,5014303,1697394206.75,38107,1013357.0,20.21
JSWSTEEL,EQ,23-Nov-2020,336.15,338.25,342.3,336.0,337.0,337.75,339.15,4559744,1546429770.7,36653,612676.0,13.44
JSWSTEEL,EQ,20-Nov-2020,331.2,332.0,339.0,329.3,335.6,336.15,334.79,5918276,1981387150.05,52911,996321.0,16.83
