symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
M&M,EQ,30-Dec-2020,707.05,710.0,724.3,704.35,719.0,720.7,713.82,3219036,2297803036.95,63378,1074919.0,33.39
M&M,EQ,29-Dec-2020,710.95,714.5,717.0,704.0,706.9,707.05,707.96,2808820,1988519789.35,74287,1241833.0,44.21
M&M,EQ,28-Dec-2020,710.9,715.4,718.8,707.3,710.7,710.95,712.04,2484872,1769327134.3,47547,787924.0,31.71
M&M,EQ,24-Dec-2020,711.5,712.5,722.55,700.1,711.0,710.9,709.89,3373695,2394937482.0,68218,944838.0,28.01
M&M,EQ,23-Dec-2020,695.05,693.0,715.0,688.25,712.0,711.5,708.38,4383472,3105183699.2,85168,1287491.0,29.37
M&M,EQ,22-Dec-2020,685.95,688.8,699.35,667.3,697.7,695.05,687.09,7305751,5019705597.45,170349,2457702.0,33.64
M&M,EQ,21-Dec-2020,733.6,729.0,730.0,660.25,680.4,685.95,698.79,9130116,6380026707.65,148947,3294483.0,36.08
M&M,EQ,18-Dec-2020,730.65,726.1,737.95,722.55,734.0,733.6,732.69,6671658,4888233465.5,73831,3179251.0,47.65
M&M,EQ,17-Dec-2020,731.95,735.1,738.45,725.35,727.9,730.65,730.61,3630553,2652532448.05,61575,1421407.0,39.15
M&M,EQ,16-Dec-2020,717.95,737.1,746.25,726.2,731.45,731.95,736.83,11262389,8298436457.9,169513,2314976.0,20.55
M&M,EQ,15-Dec-2020,711.7,710.0,720.0,701.0,717.4,717.95,713.19,5495877,3919625663.65,102963,1828068.0,33.26
M&M,EQ,14-Dec-2020,727.55,731.65,737.4,710.0,712.75,711.7,718.99,4183639,3008006651.85,87675,1290359.0,30.84
M&M,EQ,11-Dec-2020,736.15,738.9,746.7,722.1,728.0,727.55,734.49,4197494,3083017562.85,88609,1770322.0,42.18
M&M,EQ,10-Dec-2020,755.0,745.0,754.95,731.05,736.7,736.15,739.2,3814006,2819296030.25,56407,1462128.0,38.34
M&M,EQ,09-Dec-2020,754.0,756.8,762.95,750.2,754.0,755.0,756.82,3213975,2432389791.9,55382,1462921.0,45.52
M&M,EQ,08-Dec-2020,752.3,753.35,764.0,743.55,754.85,754.0,753.67,4333519,3266052360.05,103139,1832075.0,42.28
M&M,EQ,07-Dec-2020,750.55,750.0,755.85,744.05,752.3,752.3,749.27,3525945,2641876665.8,54044,1394911.0,39.56
M&M,EQ,04-Dec-2020,745.85,749.1,764.45,743.2,749.0,750.55,752.9,5356456,4032891220.25,73487,1850972.0,34.56
M&M,EQ,03-Dec-2020,753.6,750.05,756.35,743.7,745.0,745.85,749.74,2957787,2217583234.6,52639,1065283.0,36.02
M&M,EQ,02-Dec-2020,734.55,734.0,758.0,730.55,752.2,753.6,744.08,6337698,4715738667.7,95542,1806186.0,28.50
M&M,EQ,01-Dec-2020,722.0,736.4,736.5,708.05,732.6,734.55,724.26,5710611,4135939764.9,82903,1895284.0,33.19
M&M,EQ,27-Nov-2020,728.5,736.9,742.95,711.0,717.35,722.0,726.5,11302666,8211377752.7,119903,5134572.0,45.43
M&M,EQ,26-Nov-2020,719.95,722.0,736.8,720.0,729.0,728.5,728.36,6798860,4951985641.65,106583,1667476.0,24.53
M&M,EQ,25-Nov-2020,729.35,732.0,732.95,716.0,722.0,719.95,724.19,5423034,3927310978.1,98354,1727516.0,31.86
M&M,EQ,24-Nov-2020,705.45,710.0,745.5,706.25,727.0,729.35,730.37,16121626,11774780317.35,251960,4772304.0,29.60
M&M,EQ,23-Nov-2020,715.6,716.4,720.75,699.0,705.0,705.45,705.55,4484068,3163720621.55,72986,1646053.0,36.71
M&M,EQ,20-Nov-2020,703.9,710.0,718.55,697.4,714.1,715.6,707.15,6730897,4759730458.75,100102,1907196.0,28.33
M&M,EQ,19-Nov-2020,705.75,699.0,728.4,692.3,701.0,703.9,712.19,15336768,10922724685.65,210308,2476701.0,16.15
M&M,EQ,18-Nov-2020,637.25,637.2,709.95,637.0,703.25,705.75,688.83,32986476,22722170243.2,380722,7416755.0,22.48
M&M,EQ,17-Nov-2020,631.35,639.0,646.0,633.65,637.0,637.25,638.22,6173551,3940071198.35,162897,3784199.0,61.30
M&M,EQ,14-Nov-2020,629.85,634.5,634.5,629.85,631.6,631.35,631.75,295788,186864948.2,7374,89675.0,30.32
M&M,EQ,13-Nov-2020,632.7,633.95,638.95,628.05,628.2,629.85,633.37,4107823,2601787857.35,62194,1413629.0,34.41
M&M,EQ,12-Nov-2020,633.2,633.05,654.4,629.5,634.05,632.7,639.33,6913788,4420215152.1,91790,1806110.0,26.12
M&M,EQ,11-Nov-2020,619.95,625.0,644.55,622.15,633.7,633.2,633.92,7561527,4793399085.05,116110,1283698.0,16.98
M&M,EQ,10-Nov-2020,616.35,622.0,627.7,611.0,622.0,619.95,619.47,7876161,4879084343.15,115830,1699652.0,21.58
M&M,EQ,09-Nov-2020,613.6,621.0,622.0,610.2,615.8,616.35,615.72,3819808,2351927891.0,71895,1207942.0,31.62
M&M,EQ,06-Nov-2020,602.1,603.0,619.3,601.7,611.95,613.6,613.96,5908936,3627862892.1,91685,1453625.0,24.60
M&M,EQ,05-Nov-2020,596.8,603.3,607.4,599.25,602.0,602.1,602.98,3794240,2287855691.75,60276,1903090.0,50.16
