symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
MAXHEALTH,EQ,30-Dec-2020,140.95,141.6,142.4,140.05,140.25,140.5,140.85,152396,21464309.6,2627,78975.0,51.82
MAXHEALTH,EQ,29-Dec-2020,143.7,144.8,144.85,140.1,141.8,140.95,141.96,221824,31489356.8,8925,124014.0,55.91
MAXHEALTH,EQ,28-Dec-2020,141.4,142.85,146.0,142.1,144.5,143.7,144.61,394530,57051547.15,6274,285748.0,72.43
MAXHEALTH,EQ,24-Dec-2020,141.55,142.8,144.4,141.0,141.3,141.4,142.49,246100,35067945.95,4155,140578.0,57.12
MAXHEALTH,EQ,23-Dec-2020,136.2,138.0,147.3,136.95,141.7,141.55,143.2,1123338,160864400.75,14040,486381.0,43.30
MAXHEALTH,EQ,22-Dec-2020,130.3,135.0,138.4,131.1,136.6,136.2,134.9,843512,113793640.0,9397,485011.0,57.50
MAXHEALTH,EQ,21-Dec-2020,140.25,140.0,140.95,128.5,130.0,130.3,134.38,459685,61774184.15,6506,285942.0,62.20
MAXHEALTH,EQ,18-Dec-2020,139.2,139.8,142.0,135.55,141.0,140.25,138.9,312311,43381078.55,6084,173250.0,55.47
MAXHEALTH,EQ,17-Dec-2020,138.85,139.9,142.6,138.55,138.9,139.2,140.79,293567,41332529.8,4901,135089.0,46.02
MAXHEALTH,EQ,16-Dec-2020,137.4,138.4,140.6,138.0,139.5,138.85,139.6,422878,59032751.45,6626,246229.0,58.23
MAXHEALTH,EQ,15-Dec-2020,138.9,139.65,139.65,135.0,137.95,137.4,136.83,359971,49253318.05,9464,222005.0,61.67
MAXHEALTH,EQ,14-Dec-2020,140.75,141.95,142.25,137.2,139.2,138.9,138.86,338606,47018877.1,9204,194596.0,57.47
MAXHEALTH,EQ,11-Dec-2020,140.95,142.0,149.0,140.0,140.7,140.75,142.03,337233,47895880.7,5940,166934.0,49.50
MAXHEALTH,EQ,10-Dec-2020,139.3,139.8,143.65,138.85,141.0,140.95,141.06,458168,64628811.25,13404,285506.0,62.31
MAXHEALTH,EQ,09-Dec-2020,142.15,143.0,146.25,138.0,139.85,139.3,142.16,505517,71863590.55,8707,324800.0,64.25
MAXHEALTH,EQ,08-Dec-2020,148.7,150.05,150.7,138.5,143.4,142.15,143.49,958726,137563295.15,14234,599594.0,62.54
