symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SBIN,EQ,30-Dec-2020,277.90,278.00,278.70,272.50,275.50,276.90,275.47,30971894,8531681482.45,163939,6530230.0,21.08
SBIN,EQ,29-Dec-2020,275.20,276.30,279.90,274.70,277.75,277.90,277.56,45032526,12499251233.65,237470,12390520.0,27.51
SBIN,EQ,28-Dec-2020,266.85,268.75,276.00,268.00,275.75,275.20,272.23,36870242,10037366708.4,203967,9995425.0,27.11
SBIN,EQ,24-Dec-2020,263.00,265.00,268.85,264.65,266.85,266.85,267.02,28585509,7632821262.6,167695,6820426.0,23.86
SBIN,EQ,23-Dec-2020,257.45,256.95,263.90,255.60,263.00,263.00,261.14,29056404,7587914568.9,171296,4792004.0,16.49
SBIN,EQ,22-Dec-2020,254.70,254.80,258.70,248.25,257.15,257.45,254.20,51189571,13012282126.8,288750,10781372.0,21.06
SBIN,EQ,21-Dec-2020,271.45,268.45,269.00,251.05,254.10,254.70,260.31,55160758,14358884778.05,311254,14528986.0,26.34
SBIN,EQ,18-Dec-2020,267.70,267.70,271.95,265.00,271.35,271.45,268.30,29816205,7999717685.9,159604,5872798.0,19.70
SBIN,EQ,17-Dec-2020,269.40,270.00,272.15,266.70,267.35,267.70,269.19,25904699,6973309847.65,146174,4320467.0,16.68
SBIN,EQ,16-Dec-2020,270.65,272.80,273.65,268.50,269.35,269.40,270.58,24844177,6722276269.8,150489,4406059.0,17.73
SBIN,EQ,15-Dec-2020,274.20,274.05,274.05,268.15,270.55,270.65,270.40,34890948,9434599246.05,207937,8591467.0,24.62
SBIN,EQ,14-Dec-2020,272.45,274.00,276.15,272.35,274.25,274.20,274.69,31946501,8775317446.6,200577,8886488.0,27.82
SBIN,EQ,11-Dec-2020,269.55,270.05,276.25,270.05,272.50,272.45,273.03,50255223,13720952520.25,219426,16618912.0,33.07
SBIN,EQ,10-Dec-2020,270.35,269.00,271.00,265.55,270.00,269.55,267.91,38676657,10362014086.65,191259,7139680.0,18.46
SBIN,EQ,09-Dec-2020,271.90,272.10,274.90,269.20,270.25,270.35,271.89,48495641,13185424469.75,224768,12794767.0,26.38
SBIN,EQ,08-Dec-2020,269.60,270.95,273.70,265.25,270.75,271.90,269.92,65617502,17711550023.25,288470,17627985.0,26.86
SBIN,EQ,07-Dec-2020,263.50,263.80,271.45,263.00,269.50,269.60,267.33,76053084,20331616535.05,298030,27751256.0,36.49
SBIN,EQ,04-Dec-2020,256.30,257.00,264.35,253.55,264.05,263.50,259.18,79252024,20540875199.5,332166,16466782.0,20.78
SBIN,EQ,03-Dec-2020,246.95,249.30,259.00,248.00,256.40,256.30,255.15,79266442,20224723033.4,361390,17214792.0,21.72
SBIN,EQ,02-Dec-2020,248.05,248.35,250.85,244.10,246.55,246.95,247.75,56723083,14052937533.8,221604,13306764.0,23.46
SBIN,EQ,01-Dec-2020,244.25,245.00,248.95,244.25,247.65,248.05,246.58,37003272,9124277406.45,186048,9607134.0,25.96
SBIN,EQ,27-Nov-2020,245.45,245.45,246.25,242.05,244.20,244.25,243.85,54355703,13254883891.45,222385,15981860.0,29.40
SBIN,EQ,26-Nov-2020,243.00,244.00,246.25,240.15,245.75,245.45,243.28,64248318,15630054754.3,241631,14919885.0,23.22
SBIN,EQ,25-Nov-2020,243.85,245.45,249.90,241.60,243.00,243.00,246.09,74767232,18399328359.55,306740,10185429.0,13.62
SBIN,EQ,24-Nov-2020,238.70,240.50,245.00,239.50,244.40,243.85,241.91,47636611,11523891298.65,238186,10573973.0,22.20
SBIN,EQ,23-Nov-2020,242.75,243.50,246.15,238.10,238.60,238.70,240.76,57538324,13852948129.8,258879,7663237.0,13.32
