symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
SRTRANSFIN,EQ,30-Dec-2020,"1,034.90","1,043.00","1,055.00","1,032.40","1,038.35","1,039.05","1,044.27",4040813,4219697618.5,79371,486694.0,12.04
SRTRANSFIN,EQ,29-Dec-2020,"1,016.05","1,027.70","1,049.60","1,022.00","1,037.00","1,034.90","1,038.35",4134436,4292975687.75,86759,578675.0,14.00
SRTRANSFIN,EQ,28-Dec-2020,996.60,"1,004.85","1,029.80",998.20,"1,017.95","1,016.05","1,015.88",4313417,4381931373.3,82545,506681.0,11.75
SRTRANSFIN,EQ,24-Dec-2020,961.65,974.35,"1,029.60",970.10,994.50,996.60,"1,004.38",6604181,6633078501.45,129718,986064.0,14.93
SRTRANSFIN,EQ,23-Dec-2020,937.95,937.80,969.90,927.00,967.00,961.65,952.55,4426672,4216615106.0,85338,1338497.0,30.24
SRTRANSFIN,EQ,22-Dec-2020,966.85,968.90,976.15,918.10,937.80,937.95,938.60,4570383,4289750717.6,96574,1330899.0,29.12
SRTRANSFIN,EQ,21-Dec-2020,"1,027.80","1,030.10","1,031.00",944.40,955.60,966.85,995.91,3793335,3777827278.3,98819,840938.0,22.17
SRTRANSFIN,EQ,18-Dec-2020,"1,056.50","1,056.90","1,061.70","1,016.05","1,030.90","1,027.80","1,029.58",3454877,3557084647.9,80919,810693.0,23.47
SRTRANSFIN,EQ,17-Dec-2020,"1,073.05","1,072.00","1,076.10","1,051.45","1,060.00","1,056.50","1,061.64",2033744,2159108625.25,43393,570823.0,28.07
SRTRANSFIN,EQ,16-Dec-2020,"1,092.40","1,102.85","1,108.00","1,065.00","1,071.80","1,073.05","1,086.96",3596858,3909645676.4,72314,699636.0,19.45
SRTRANSFIN,EQ,15-Dec-2020,"1,070.00","1,072.00","1,101.70","1,053.60","1,089.10","1,092.40","1,078.43",3716021,4007480172.65,74376,871438.0,23.45
SRTRANSFIN,EQ,14-Dec-2020,"1,043.25","1,060.00","1,073.80","1,046.40","1,070.00","1,070.00","1,061.40",2996029,3179980300.95,54880,356135.0,11.89
SRTRANSFIN,EQ,11-Dec-2020,"1,049.75","1,060.00","1,075.10","1,035.00","1,042.80","1,043.25","1,050.44",3575835,3756210814.1,66505,529422.0,14.81
SRTRANSFIN,EQ,10-Dec-2020,"1,062.30","1,052.00","1,062.00","1,025.00","1,050.00","1,049.75","1,039.50",2665772,2771072669.65,48284,492376.0,18.47
SRTRANSFIN,EQ,09-Dec-2020,"1,066.75","1,072.00","1,078.25","1,049.00","1,062.00","1,062.30","1,062.77",2465394,2620145071.3,54646,375952.0,15.25
SRTRANSFIN,EQ,08-Dec-2020,"1,063.40","1,075.00","1,080.30","1,045.75","1,069.00","1,066.75","1,061.40",4153006,4408019024.75,88469,722203.0,17.39
SRTRANSFIN,EQ,07-Dec-2020,"1,003.10","1,011.00","1,087.00","1,010.05","1,064.45","1,063.40","1,065.60",6926188,7380537812.85,157605,1360784.0,19.65
SRTRANSFIN,EQ,04-Dec-2020,"1,033.65","1,041.00","1,045.30",986.25,"1,002.65","1,003.10","1,013.26",5059913,5126994628.55,100234,1131262.0,22.36
SRTRANSFIN,EQ,03-Dec-2020,"1,030.50","1,040.00","1,058.90","1,028.30","1,031.95","1,033.65","1,043.82",3252401,3394927415.2,83560,601409.0,18.49
SRTRANSFIN,EQ,02-Dec-2020,"1,023.55","1,033.70","1,045.00","1,020.00","1,028.00","1,030.50","1,033.28",3681293,3803806732.1,76381,608921.0,16.54
SRTRANSFIN,EQ,01-Dec-2020,"1,070.20","1,079.90","1,080.00","1,018.70","1,026.10","1,023.55","1,042.99",3971538,4142292360.15,77931,1288786.0,32.45
SRTRANSFIN,EQ,27-Nov-2020,"1,051.70","1,060.00","1,091.90","1,054.10","1,074.20","1,070.20","1,071.75",13521867,14492000055.7,156838,8091065.0,59.84
SRTRANSFIN,EQ,26-Nov-2020,"1,065.00","1,059.35","1,060.00","1,022.40","1,051.95","1,051.70","1,040.94",5103903,5312856524.9,106411,460466.0,9.02
SRTRANSFIN,EQ,25-Nov-2020,"1,029.20","1,034.80","1,087.60","1,033.00","1,073.50","1,065.00","1,060.84",8738438,9270108300.6,193154,927227.0,10.61
SRTRANSFIN,EQ,24-Nov-2020,974.65,982.70,"1,039.50",974.00,"1,033.00","1,029.20","1,008.75",7881601,7950571716.05,144890,1963213.0,24.91
