symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
TATACAP,EQ,29-Dec-2025,338.55,338.5,339.5,332.1,338.05,337.6,334.18,5947294,1987476831.85,45393,4786762.0,80.49
TATACAP,EQ,26-Dec-2025,343.3,343.3,348.0,337.5,339.2,338.55,341.32,3034410,1035703212.9,41031,1626373.0,53.60
TATACAP,EQ,24-Dec-2025,344.0,345.95,355.0,341.6,342.65,343.3,349.66,11070026,3870724018.6,121128,4825358.0,43.59
TATACAP,EQ,23-Dec-2025,330.0,330.0,348.3,329.15,345.0,344.0,342.42,12132606,4154396122.35,152501,5873213.0,48.41
TATACAP,EQ,22-Dec-2025,324.0,324.05,332.0,324.05,330.2,330.0,329.25,4956599,1631964479.2,75742,2920157.0,58.91
TATACAP,EQ,19-Dec-2025,324.45,324.0,325.1,322.15,323.5,324.0,323.54,836210,270548402.55,16481,496548.0,59.38
TATACAP,EQ,18-Dec-2025,326.25,325.0,325.95,322.55,323.85,324.45,324.33,653844,212060319.0,19770,346528.0,53.00
TATACAP,EQ,17-Dec-2025,326.2,325.0,329.0,325.0,325.6,326.25,326.99,1310814,428623814.0,56989,827932.0,63.16
TATACAP,EQ,16-Dec-2025,322.75,322.05,329.3,322.0,326.55,326.2,326.51,2148243,701420216.7,56227,1167753.0,54.36
TATACAP,EQ,15-Dec-2025,324.55,322.95,324.0,321.3,322.9,322.75,322.47,657989,212181006.8,18135,335396.0,50.97
TATACAP,EQ,12-Dec-2025,326.05,325.6,327.5,323.65,324.5,324.55,325.54,906335,295045509.75,18996,654362.0,72.20
TATACAP,EQ,11-Dec-2025,324.95,323.4,326.75,323.4,326.15,326.05,325.73,864045,281447561.2,25373,582504.0,67.42
TATACAP,EQ,10-Dec-2025,326.6,326.85,328.8,323.85,324.7,324.95,327.26,2158014,706234565.65,33398,1566539.0,72.59
TATACAP,EQ,09-Dec-2025,323.0,323.05,327.05,320.15,327.0,326.6,325.07,1778391,578099457.85,36956,1114462.0,62.67
TATACAP,EQ,08-Dec-2025,325.45,326.4,327.8,321.5,323.5,323.0,323.76,1449370,469243874.05,29496,869438.0,59.99
TATACAP,EQ,05-Dec-2025,322.05,322.05,328.0,322.05,325.25,325.45,325.98,2089846,681247221.5,54431,1457081.0,69.72
TATACAP,EQ,04-Dec-2025,322.5,321.05,323.0,321.05,322.5,322.05,322.26,976548,314703720.75,41673,738114.0,75.58
TATACAP,EQ,03-Dec-2025,321.9,321.05,323.35,319.9,322.5,322.5,322.16,1395851,449683217.65,34254,1035337.0,74.17
TATACAP,EQ,02-Dec-2025,323.0,322.95,324.4,320.7,321.55,321.9,321.87,1073653,345580112.65,18570,705850.0,65.74
TATACAP,EQ,01-Dec-2025,327.9,327.0,327.7,322.1,323.35,323.0,324.4,1231244,399417100.0,20079,805929.0,65.46
TATACAP,EQ,28-Nov-2025,324.8,324.0,330.9,324.0,327.6,327.9,328.58,6654492,2186514333.0,61611,5183324.0,77.89
TATACAP,EQ,27-Nov-2025,324.55,324.95,326.95,323.6,324.75,324.8,324.76,875769,284418740.45,29515,566870.0,64.73
TATACAP,EQ,26-Nov-2025,325.0,325.95,327.9,323.6,324.15,324.55,325.0,2150276,698834019.95,48494,1563631.0,72.72
