symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
TATASTEEL,EQ,30-Dec-2020,632.2,632.95,643.95,624.05,641.05,640.45,633.27,11514428,7291736643.4,104168,2116820.0,18.38
TATASTEEL,EQ,29-Dec-2020,632.65,637.85,639.65,621.05,630.6,632.2,629.6,10416326,6558122778.4,117972,1713485.0,16.45
TATASTEEL,EQ,28-Dec-2020,622.3,628.25,635.35,626.6,634.0,632.65,631.53,10480517,6618711447.95,108035,1953811.0,18.64
TATASTEEL,EQ,24-Dec-2020,621.4,625.3,636.95,619.25,623.0,622.3,626.77,12090740,7578159934.4,109825,1837695.0,15.20
TATASTEEL,EQ,23-Dec-2020,601.35,599.0,624.2,596.3,621.8,621.4,609.75,12238343,7462308885.9,125788,2208508.0,18.05
TATASTEEL,EQ,22-Dec-2020,595.85,596.0,610.45,585.0,599.3,601.35,597.8,18846879,11266604876.1,191562,3691554.0,19.59
TATASTEEL,EQ,21-Dec-2020,631.25,624.0,627.7,585.6,590.35,595.85,608.65,19076654,11610936188.35,194780,4106481.0,21.53
TATASTEEL,EQ,18-Dec-2020,635.3,638.25,640.85,628.0,629.8,631.25,633.17,25351506,16051691583.9,155690,11911867.0,46.99
TATASTEEL,EQ,17-Dec-2020,643.4,643.4,646.0,631.45,634.25,635.3,640.52,7965186,5101865547.95,86183,1560162.0,19.59
TATASTEEL,EQ,16-Dec-2020,635.35,641.2,649.45,638.2,642.2,643.4,643.66,16040256,10324422415.3,145903,3422575.0,21.34
TATASTEEL,EQ,15-Dec-2020,626.75,623.45,637.1,617.35,636.0,635.35,626.35,13226312,8284281425.4,154016,3011926.0,22.77
TATASTEEL,EQ,14-Dec-2020,621.7,626.75,638.9,625.3,627.7,626.75,631.73,17722715,11195951655.25,185063,4134640.0,23.33
TATASTEEL,EQ,11-Dec-2020,610.1,614.9,625.45,614.25,621.9,621.7,620.72,16395698,10177073836.2,172643,3021386.0,18.43
TATASTEEL,EQ,10-Dec-2020,609.35,606.0,614.0,593.5,614.0,610.1,603.53,19829328,11967589060.65,187226,3966880.0,20.01
TATASTEEL,EQ,09-Dec-2020,613.45,618.0,620.7,607.1,608.15,609.35,612.45,12730731,7796931150.95,125558,2851757.0,22.40
TATASTEEL,EQ,08-Dec-2020,614.55,616.0,621.45,602.45,612.55,613.45,612.16,17015853,10416360254.6,190865,4009335.0,23.56
TATASTEEL,EQ,07-Dec-2020,622.7,623.6,629.0,609.45,615.5,614.55,618.87,15588321,9647130590.15,165903,3134730.0,20.11
TATASTEEL,EQ,04-Dec-2020,620.9,624.0,632.5,614.6,623.0,622.7,624.71,20153552,12590042591.05,184757,4245189.0,21.06
TATASTEEL,EQ,03-Dec-2020,604.35,609.0,624.75,608.0,619.3,620.9,619.5,24775652,15348475402.15,293733,6506394.0,26.26
TATASTEEL,EQ,02-Dec-2020,585.8,585.7,607.6,584.05,603.5,604.35,599.82,24997085,14993731974.05,244452,3185073.0,12.74
TATASTEEL,EQ,01-Dec-2020,577.35,592.0,592.0,576.95,584.85,585.8,583.87,14739109,8605778187.8,147447,3391089.0,23.01
TATASTEEL,EQ,27-Nov-2020,568.4,570.0,582.35,563.05,574.9,577.35,575.57,46291248,26644015159.6,258773,26434718.0,57.11
TATASTEEL,EQ,26-Nov-2020,541.25,546.0,571.1,541.25,569.4,568.4,556.1,22570185,12551386537.6,218684,5928349.0,26.27
TATASTEEL,EQ,25-Nov-2020,548.3,551.0,558.65,539.5,541.0,541.25,548.88,17680989,9704772513.85,181457,3397251.0,19.21
TATASTEEL,EQ,24-Nov-2020,543.1,547.95,550.45,541.4,548.25,548.3,546.47,13029126,7119980105.95,143396,3811999.0,29.26
TATASTEEL,EQ,23-Nov-2020,532.9,538.0,546.0,536.35,541.65,543.1,541.6,17025425,9220894854.4,170796,4370219.0,25.67
