Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty
TATAMOTORS,EQ,01-Jan-2020,185.15,185.15,186.7,183.6,184.25,184.45,185.11,25968357,4806946139.5,99072,1878537.0,7.23
TATAMOTORS,EQ,02-Jan-2020,184.45,185.0,194.7,184.6,193.85,193.75,190.57,57289863,10917548856.05,251258,9368491.0,16.35
TATAMOTORS,EQ,03-Jan-2020,193.75,192.9,195.65,189.25,191.25,191.1,192.0,47572728,9134139872.65,185614,4181757.0,8.79
TATAMOTORS,EQ,06-Jan-2020,191.1,191.0,191.0,185.05,185.4,185.65,187.3,28621212,5360800535.45,138113,3848110.0,13.44
TATAMOTORS,EQ,07-Jan-2020,185.65,187.0,189.4,182.3,184.35,184.7,185.41,34995035,6488309028.4,133404,3453069.0,9.87
TATAMOTORS,EQ,08-Jan-2020,184.7,180.2,184.2,180.2,182.75,182.55,182.39,21862695,3987542675.35,96592,2366695.0,10.83
TATAMOTORS,EQ,09-Jan-2020,182.55,184.85,192.75,184.25,192.4,192.0,189.24,40803142,7721516796.1,169349,4419385.0,10.83
TATAMOTORS,EQ,10-Jan-2020,192.0,192.0,199.0,190.0,194.25,196.35,193.86,60252338,11680458447.9,233758,6153112.0,10.21
TATAMOTORS,EQ,13-Jan-2020,196.35,194.75,197.75,191.4,195.9,196.25,194.56,40535961,7886857391.1,153824,7702853.0,19.00
TATAMOTORS,EQ,14-Jan-2020,196.25,195.7,198.25,193.6,195.2,195.85,196.42,29867542,5866692361.15,121231,2349518.0,7.87
TATAMOTORS,EQ,15-Jan-2020,195.85,195.0,201.7,194.0,199.7,200.35,198.74,38485962,7648601826.6,164803,3118661.0,8.10
TATAMOTORS,EQ,16-Jan-2020,200.35,199.5,200.6,196.9,197.25,197.55,198.68,28118140,5586488029.45,143016,3114624.0,11.08
TATAMOTORS,EQ,17-Jan-2020,197.55,197.25,199.45,195.7,196.7,197.3,198.1,18204088,3606175524.3,90448,1075718.0,5.91
TATAMOTORS,EQ,20-Jan-2020,197.3,198.0,201.45,194.3,195.55,195.0,197.2,28976013,5714078437.75,124160,2721775.0,9.39
TATAMOTORS,EQ,21-Jan-2020,195.0,195.5,196.4,190.2,190.25,191.4,193.54,20859400,4037092241.75,101560,2045869.0,9.81
TATAMOTORS,EQ,22-Jan-2020,191.4,191.95,192.5,184.25,185.6,185.6,186.78,32952072,6154945525.95,147905,4602385.0,13.97
TATAMOTORS,EQ,23-Jan-2020,185.6,186.75,190.4,183.8,188.1,188.4,187.77,33032086,6202432630.9,141362,2724024.0,8.25
TATAMOTORS,EQ,24-Jan-2020,188.4,188.0,191.0,185.0,186.9,186.5,188.92,21791825,4116893852.4,103503,3178972.0,14.59
TATAMOTORS,EQ,27-Jan-2020,186.5,185.7,186.9,180.85,182.35,182.2,183.6,30132428,5532277345.25,135488,5101016.0,16.93
TATAMOTORS,EQ,28-Jan-2020,182.2,183.9,184.3,174.9,176.4,176.1,179.62,38283588,6876401466.0,189737,8739649.0,22.83
TATAMOTORS,EQ,29-Jan-2020,176.1,178.8,188.9,178.55,188.1,188.05,184.96,61585660,11391013391.1,283929,6663303.0,10.82
TATAMOTORS,EQ,30-Jan-2020,188.05,190.95,192.55,184.25,186.3,186.2,188.16,70900581,13340638383.2,291552,7218067.0,10.18
TATAMOTORS,EQ,31-Jan-2020,186.2,186.3,188.35,175.95,176.9,176.6,180.14,75621897,13622583612.15,308408,9868706.0,13.05
TATAMOTORS,EQ,01-Feb-2020,176.6,175.4,178.8,163.7,165.4,165.6,172.07,42515114,7315732244.8,233423,5781201.0,13.60
TATAMOTORS,EQ,03-Feb-2020,165.6,163.5,168.3,159.55,164.4,163.85,163.79,66616190,10911302308.8,311155,6577664.0,9.87
TATAMOTORS,EQ,04-Feb-2020,163.85,166.55,168.6,161.2,166.35,165.7,165.32,49034642,8106525605.95,224465,5286416.0,10.78
TATAMOTORS,EQ,05-Feb-2020,165.7,167.4,184.95,166.6,183.4,183.75,177.48,92982265,16502392134.0,357445,9596603.0,10.32
TATAMOTORS,EQ,06-Feb-2020,183.75,182.0,183.4,175.75,178.5,178.85,179.03,61821140,11067757265.4,256544,6854219.0,11.09
TATAMOTORS,EQ,07-Feb-2020,178.85,177.4,178.15,173.0,173.5,173.6,175.19,45195760,7918066883.85,180734,4124684.0,9.13
TATAMOTORS,EQ,10-Feb-2020,173.6,173.2,173.2,168.0,169.0,168.9,169.44,33279372,5639013357.2,155885,2887898.0,8.68
TATAMOTORS,EQ,11-Feb-2020,168.9,171.85,175.15,168.4,170.05,169.75,172.5,42868276,7394806327.2,170810,2296531.0,5.36
TATAMOTORS,EQ,12-Feb-2020,169.75,173.0,173.3,169.0,171.1,170.95,170.83,34621395,5914262730.25,136834,3698571.0,10.68
TATAMOTORS,EQ,13-Feb-2020,170.95,171.35,172.35,168.1,169.65,169.5,169.7,25049848,4250882168.25,99951,2886807.0,11.52
TATAMOTORS,EQ,14-Feb-2020,169.5,172.0,176.2,168.3,169.65,169.1,172.52,56676430,9777617788.55,233526,4898144.0,8.64
TATAMOTORS,EQ,17-Feb-2020,169.1,170.4,171.35,166.35,170.0,169.1,168.83,32893274,5553481163.5,142023,1753432.0,5.33
TATAMOTORS,EQ,18-Feb-2020,169.1,168.0,168.0,158.6,162.55,161.6,162.25,52744122,8557786349.95,208214,6956555.0,13.19
TATAMOTORS,EQ,19-Feb-2020,161.6,162.85,164.6,153.05,158.1,158.05,157.33,78914233,12415430958.4,321799,6092001.0,7.72
TATAMOTORS,EQ,20-Feb-2020,158.05,157.95,162.3,156.0,158.75,158.5,159.44,54328194,8662156731.75,205410,4426122.0,8.15
TATAMOTORS,EQ,24-Feb-2020,158.5,154.0,155.9,149.6,150.6,150.65,153.41,39706007,6091447107.9,191095,5113467.0,12.88
TATAMOTORS,EQ,25-Feb-2020,150.65,152.2,153.4,147.45,150.45,149.9,149.93,52719851,7904055121.55,199104,2731271.0,5.18
