symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,sent_mean,sent_sum,sent_std,news_count,concall_count,concall_pos_ratio,concall_neg_ratio,concall_net_tone,concall_tone_intensity,concall_tone_surprise,concall_guidance_flag,ret_1d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,signal,macd_hist,ema_cross,sent_3d,sent_5d,sent_lag1,news_intensity,momentum_1m_z,momentum_3m_z,momentum_6m_z,vol_30d_z,vol_90d_z,rsi_14_z,macd_hist_z,ema_cross_z,sent_3d_z,sent_5d_z,sent_lag1_z,news_intensity_z,concall_count_z,concall_pos_ratio_z,concall_neg_ratio_z,concall_net_tone_z,concall_tone_intensity_z,concall_tone_surprise_z,concall_guidance_flag_z
BPCL,EQ,2020-07-06,385.4,388.0,396.75,385.4,390.0,390.2,392.65,4963439.0,1948915419.7,66616,682536.0,13.75,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.012454592631032657,0.05573593073593064,0.23130325023666787,-0.20634597782975694,0.027917334940445824,0.043924734038943945,63.443708609271525,9.468965564871326,9.910802534599313,-0.44183696972798714,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BPCL,EQ,2020-07-07,390.2,390.25,391.25,377.8,379.6,379.85,380.63,4927059.0,1875370822.75,80925,1540024.0,31.26,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.0265248590466427,-0.03615833544785585,0.2538372668757223,-0.22090042046969538,0.028497223049039257,0.04400017284042858,56.42105263157895,8.677112430340742,9.664064513747599,-0.986952083406857,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BPCL,EQ,2020-07-08,379.85,382.4,387.45,376.15,377.5,378.15,382.17,4223420.0,1614058642.45,58936,802132.0,18.99,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.0044754508358564316,-0.008781127129750987,0.19233801040517107,-0.21789038262668048,0.027246403919559035,0.043977520070468706,53.44076655052264,7.822217667613415,9.295695144520762,-1.4734774769073464,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BPCL,EQ,2020-07-09,378.15,381.5,381.8,373.1,378.0,376.75,377.25,2851027.0,1075536453.75,43273,839643.0,29.45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.0037022345630040032,-0.005805515239477477,0.07305610937054974,-0.1969519343493552,0.02716795112330636,0.043946558993388236,48.20585457979225,6.951605330233235,8.826877181663257,-1.8752718514300213,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BPCL,EQ,2020-07-10,376.75,377.85,380.5,370.35,375.75,376.35,374.31,5883057.0,2202086717.65,92688,2053154.0,34.90,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.0010617120106171107,0.01702472638832586,0.09947414548641542,-0.1836225596529284,0.025821788741501196,0.043912470574927705,45.67354965585056,6.158372241627887,8.293176193656183,-2.134803952028296,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BPCL,EQ,2020-07-13,376.35,378.0,384.2,375.45,379.6,379.95,380.84,5139428.0,1957300768.8,81797,1827660.0,35.56,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.009565563969708979,0.016180797004546665,0.10162365903160331,-0.17384213959556427,0.02581622609156644,0.04391436410468406,43.88014220416454,5.753891932986846,7.7853193415223165,-2.03142740853547,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BPCL,EQ,2020-07-14,379.95,379.5,385.9,372.1,373.6,373.75,378.51,4741344.0,1794634962.1,76901,1098291.0,23.16,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.01631793657060132,0.035318559556786644,0.06755212796343901,-0.20571671448305173,0.025883307335013324,0.043748671049742914,47.36842105263157,4.876833093647235,7.203622091947301,-2.3267889983000654,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BPCL,EQ,2020-07-15,373.75,377.85,382.35,368.2,369.0,369.6,374.19,4903936.0,1834984914.95,57972,1082728.0,22.08,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.011103678929765826,0.027380125086865936,0.04451038575667665,-0.21403508771929824,0.025769999091602536,0.04362800546744566,49.62665134979898,3.8030481557754,6.523507304712921,-2.720459148937521,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BPCL,EQ,2020-07-16,369.6,372.75,396.25,360.3,395.1,393.9,381.75,13308018.0,5080337358.5,138380,3333733.0,25.05,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.06574675324675305,0.0803620405924299,0.10832864378165441,-0.1632501327668614,0.028028207468101796,0.0440618856975538,50.142126208072774,4.856885618630599,6.190182967496456,-1.333297348865857,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
BPCL,EQ,2020-07-17,393.9,404.5,447.4,392.0,442.85,443.8,427.59,53842324.0,23022309394.2,511790,8139989.0,15.12,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.12668189895912674,0.19864956110735998,0.23243543460149962,-0.06242737931762965,0.035565746490655754,0.04600425089354383,73.69658957271659,9.607819407264913,6.873710255450148,2.7341091518147644,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
