symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,sent_mean,sent_sum,sent_std,news_count,concall_count,concall_pos_ratio,concall_neg_ratio,concall_net_tone,concall_tone_intensity,concall_tone_surprise,concall_guidance_flag,ret_1d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,signal,macd_hist,ema_cross,sent_3d,sent_5d,sent_lag1,news_intensity,momentum_1m_z,momentum_3m_z,momentum_6m_z,vol_30d_z,vol_90d_z,rsi_14_z,macd_hist_z,ema_cross_z,sent_3d_z,sent_5d_z,sent_lag1_z,news_intensity_z,concall_count_z,concall_pos_ratio_z,concall_neg_ratio_z,concall_net_tone_z,concall_tone_intensity_z,concall_tone_surprise_z,concall_guidance_flag_z
DMART,EQ,2020-09-17,"2,135.95",2147.0,2167.0,2133.1,"2,139.00",2139.05,"2,147.20",244384.0,524741785.6,18911,90294.0,36.95,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0014513448348512092,-0.05627371393276259,-0.0899208645336963,0.16983866557287408,0.017582458279429856,0.019653874399286758,24.9270123731407,-16.16408544181104,3.136698932619824,-19.30078437443086,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
DMART,EQ,2020-09-18,"2,139.05",2149.9,2175.95,2104.0,"2,172.80",2149.05,"2,132.21",1204363.0,2567960045.55,65031,724987.0,60.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.004674972534536304,-0.059867010805372045,-0.08934700622907743,0.1780780616160509,0.01756970615374267,0.019581241852449964,33.05140961857393,-18.864093325284102,-1.2634595189609614,-17.600633806323142,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
DMART,EQ,2020-09-21,"2,149.05",2175.0,2177.0,2056.0,"2,090.00",2097.45,"2,105.88",1140224.0,2401179453.7,65865,749079.0,65.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.024010609339010447,-0.07169886476797449,-0.11062819344032904,0.13772341406525457,0.018028810219581706,0.01949887069066266,29.014412578250216,-24.88074801090761,-5.986917217350291,-18.89383079355732,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
DMART,EQ,2020-09-22,"2,097.45",2099.0,2104.85,1995.1,"2,067.00",2049.3,"2,038.95",723124.0,1474410301.7,54085,343504.0,47.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.022956447114352962,-0.08932142381015862,-0.11114484613215936,0.1449242974467848,0.018439594775016086,0.0194822048073778,27.045732121047777,-33.152135607782384,-11.41996089543671,-21.732174712345675,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
DMART,EQ,2020-09-23,"2,049.30",2066.95,2100.0,2047.0,"2,055.00",2055.3,"2,062.81",422293.0,871108454.5,35246,242163.0,57.34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.00292782901478561,-0.12209811417465766,-0.1042102510460251,0.1319289549772822,0.018121462236855772,0.019440626783261698,14.53100158982528,-38.776132891854104,-16.891195294720188,-21.884937597133916,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
DMART,EQ,2020-09-24,"2,055.30",2047.9,2084.0,2037.6,"2,049.95",2047.35,"2,055.62",452643.0,930460566.5,30548,248399.0,54.88,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.003868048460078932,-0.15051242687025435,-0.10633143455771621,0.11935157595473056,0.01776070510943315,0.01937623666445312,15.465313028764982,-43.37469335211699,-22.187894906199553,-21.18679844591744,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
DMART,EQ,2020-09-25,"2,047.35",2042.1,2120.0,2042.1,"2,110.90",2102.7,"2,090.27",325523.0,680430181.8,26279,165573.0,50.86,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.02703494761520986,-0.1168280236050151,-0.09254903653194668,0.11813033421073604,0.01842033439634503,0.01960136884655187,26.723379290114437,-42.06787099645862,-26.163890124251367,-15.903980872207256,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
DMART,EQ,2020-09-28,"2,102.70",2110.9,2142.0,2098.0,"2,100.00",2108.4,"2,124.03",357109.0,758510479.55,15868,146295.0,40.97,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.002710800399486457,-0.09097180305251362,-0.07903990215563361,0.12331175577399511,0.018394659585115734,0.019135950722578256,29.17420132610016,-40.10990053551359,-28.95309220650381,-11.156808329009777,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
DMART,EQ,2020-09-29,"2,108.40",2108.4,2150.6,2082.9,"2,125.00",2133.25,"2,126.72",593653.0,1262535769.35,25411,202514.0,34.11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.011786188579017143,-0.052415324819544695,-0.07068176867784792,0.11417230303188575,0.01749963727137391,0.019177918516492556,36.55897821187084,-36.136449028670086,-30.389763570937067,-5.746685457733019,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
DMART,EQ,2020-09-30,"2,133.25",2134.0,2219.8,2115.0,"2,187.00",2203.15,"2,185.54",677291.0,1480245286.85,62497,248285.0,36.66,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.03276690495722501,-0.017152926481084907,-0.03798877802764011,0.1410850705684321,0.018588005749714028,0.01942911960792325,45.53663570691437,-27.035466235232434,-29.71890410379614,2.6834378685637077,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
DMART,EQ,2020-10-01,"2,203.15",2210.0,2242.0,2171.1,"2,175.00",2184.8,"2,205.22",551443.0,1216051192.2,34328,206094.0,37.37,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.008328983500896392,-0.015168248101151582,-0.05949203616013765,0.12994233404877042,0.018551932267596955,0.01873285172278703,43.25460615803146,-21.060787793248437,-27.987280841686605,6.926493048438168,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
DMART,EQ,2020-10-05,"2,184.80",2192.95,2197.15,2104.0,"2,113.00",2110.45,"2,134.87",438928.0,937055254.6,40106,231853.0,52.82,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.034030574880996145,-0.07371400983146081,-0.1063852309776856,0.08447881606330765,0.019412216516358095,0.018986942029470676,43.502051983584145,-22.070817073252783,-26.80398808799984,4.733171014747057,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
