symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,sent_mean,sent_sum,sent_std,news_count,concall_count,concall_pos_ratio,concall_neg_ratio,concall_net_tone,concall_tone_intensity,concall_tone_surprise,concall_guidance_flag,ret_1d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,signal,macd_hist,ema_cross,sent_3d,sent_5d,sent_lag1,news_intensity,momentum_1m_z,momentum_3m_z,momentum_6m_z,vol_30d_z,vol_90d_z,rsi_14_z,macd_hist_z,ema_cross_z,sent_3d_z,sent_5d_z,sent_lag1_z,news_intensity_z,concall_count_z,concall_pos_ratio_z,concall_neg_ratio_z,concall_net_tone_z,concall_tone_intensity_z,concall_tone_surprise_z,concall_guidance_flag_z
GAIL,EQ,2020-07-06,104.9,103.9,104.9,103.1,103.85,103.7,103.79,11071765.0,1149188454.4,52039,3075612.0,27.78,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.011439466158245981,0.05978538579458359,0.3546701502286089,-0.14438943894389433,0.023181507202295386,0.040184515304252016,65.8974358974359,2.862537107701371,2.829182196032966,0.033354911668404874,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
GAIL,EQ,2020-07-07,103.7,103.95,104.9,101.75,102.3,102.85,102.99,16292694.0,1677965099.45,66773,6282819.0,38.56,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.00819672131147553,-0.018138424821002475,0.3577557755775578,-0.16754350465398626,0.02330562406960221,0.04019012137727422,67.27748691099472,2.6988763304782992,2.8031210229220327,-0.10424469244373347,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
GAIL,EQ,2020-07-08,102.85,103.0,104.2,101.7,102.45,102.7,103.07,15139503.0,1560490282.65,49534,6968535.0,46.03,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.001458434613514692,0.015825914935707397,0.26946847960445,-0.182650218861918,0.023339397295750592,0.04013306361365508,65.31165311653118,2.5279298374348116,2.7480827858245886,-0.22015294838977706,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
GAIL,EQ,2020-07-09,102.7,104.45,107.5,103.05,105.55,105.55,105.92,29516897.0,3126283074.4,129917,6143968.0,20.82,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.027750730282375846,0.07594291539245668,0.24911242603550288,-0.15118616807398466,0.02370028484297443,0.040165488838147474,66.04774535809017,2.5925395099798294,2.716974130655637,-0.12443462067580757,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
GAIL,EQ,2020-07-10,105.55,104.95,105.4,102.1,102.45,102.4,103.42,13013623.0,1345823635.6,51251,4929963.0,37.88,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.02984367598294635,0.07169021454735747,0.1969608416130919,-0.17717959019686613,0.02384551048235888,0.03990783644595186,59.855769230769255,2.362332962714774,2.6460458970674647,-0.28371293435269074,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
GAIL,EQ,2020-07-13,102.4,103.95,103.95,100.3,101.15,101.1,101.69,10392495.0,1056806906.5,63414,2958515.0,28.47,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.012695312500000111,0.04929942916450436,0.15213675213675204,-0.18401937046004846,0.02399134651453959,0.03992487583625477,54.37352245862882,2.051346830667029,2.5271060837873778,-0.4757592531203487,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
GAIL,EQ,2020-07-14,101.1,101.15,102.2,98.3,99.1,99.05,99.73,9425282.0,940009200.0,53204,2662296.0,28.25,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.020276953511374818,-0.006021073758153639,0.1510749564206857,-0.19927243330638644,0.022681877437515555,0.03987612416341863,44.41805225653205,1.6207867918186167,2.3458422253936257,-0.725055433575009,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
GAIL,EQ,2020-07-15,99.05,99.5,99.9,96.65,97.0,96.95,98.15,9584067.0,940671039.4,51957,3542908.0,36.97,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.021201413427561766,-0.005641025641025643,0.11951501154734423,-0.2265656162744315,0.02304013418050557,0.03964487428702905,35.66433566433568,1.0974615557770733,2.0961660914703155,-0.9987045356932422,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
GAIL,EQ,2020-07-16,96.95,97.5,97.95,94.45,96.35,96.75,96.09,9268233.0,890541799.95,44223,2234226.0,24.11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.002062919030428101,0.0051948051948051965,0.08403361344537807,-0.24941815360744768,0.022982569291748058,0.03946797563729705,28.57142857142854,0.6589878061060261,1.8087304343974577,-1.1497426282914316,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
GAIL,EQ,2020-07-17,96.75,97.0,101.85,97.0,100.7,100.85,99.8,13981171.0,1395275716.9,62936,2697607.0,19.29,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.04237726098191219,0.039155074703761006,0.12430323299888513,-0.22452902729719348,0.024230220202037907,0.03961422793577135,43.792325056433405,0.6350099360662398,1.5739863347312142,-0.9389763986649744,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
