symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,sent_mean,sent_sum,sent_std,news_count,concall_count,concall_pos_ratio,concall_neg_ratio,concall_net_tone,concall_tone_intensity,concall_tone_surprise,concall_guidance_flag,ret_1d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,signal,macd_hist,ema_cross,sent_3d,sent_5d,sent_lag1,news_intensity,momentum_1m_z,momentum_3m_z,momentum_6m_z,vol_30d_z,vol_90d_z,rsi_14_z,macd_hist_z,ema_cross_z,sent_3d_z,sent_5d_z,sent_lag1_z,news_intensity_z,concall_count_z,concall_pos_ratio_z,concall_neg_ratio_z,concall_net_tone_z,concall_tone_intensity_z,concall_tone_surprise_z,concall_guidance_flag_z
IRFC,EQ,2021-08-04,23.55,23.65,23.7,23.2,23.65,23.6,23.48,15813294.0,371296523.65,16795,7684469.0,48.59,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.002123142250530785,-0.030800821355236097,0.12380952380952381,-0.048387096774193505,0.009686755953673467,0.0150994158522832,52.17391304347829,-0.19726925198697032,-0.23807724579974518,0.04080799381277486,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-05,23.6,23.6,23.8,23.2,23.6,23.65,23.42,10469724.0,245250496.9,15277,4740232.0,45.28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0021186440677964935,-0.016632016632016744,0.12085308056872024,-0.057768924302788904,0.009703324256846021,0.015019012798156059,60.97560975609754,-0.15917239351476198,-0.22229627534274854,0.06312388182798656,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-06,23.65,23.5,23.6,23.3,23.55,23.55,23.47,8223906.0,193029196.3,12415,4214048.0,51.24,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.004228329809725095,-0.010504201680672232,0.1161137440758293,-0.048484848484848464,0.009680428521523628,0.014850868305100651,56.097560975609774,-0.1354877050420633,-0.2049345612826115,0.0694468562405482,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-09,23.55,23.55,23.65,23.35,23.5,23.55,23.52,7670837.0,180416839.55,16431,4033115.0,52.58,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.010504201680672232,0.04434589800443467,-0.028865979381443307,0.009680428521523628,0.014844906616560885,54.99999999999999,-0.11538730575385614,-0.18702511017686044,0.0716378044230043,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-10,23.55,23.55,23.55,23.0,23.05,23.05,23.27,7343285.0,170880518.4,18743,4457475.0,60.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.02123142250530785,-0.02742616033755263,0.004357298474945592,-0.09072978303747536,0.010296480264191226,0.015010680103194576,45.833333333333336,-0.13821021450806725,-0.17726213104310182,0.039051916535034564,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-11,23.05,23.05,23.2,22.8,23.15,23.05,22.96,8655301.0,198751352.2,19702,3816429.0,44.09,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.033542976939203384,-0.014957264957264904,-0.10311284046692604,0.009212444442031951,0.01500862495099179,38.09523809523806,-0.15451636564589322,-0.1727129779636601,0.018196612317766897,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-12,23.05,23.15,24.1,23.05,23.95,23.95,23.72,13674855.0,324315767.45,19906,7889328.0,57.69,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0390455531453362,0.010548523206751037,0.0390455531453362,-0.06990291262135928,0.011610615903013521,0.015554851645508676,61.81818181818183,-0.09373609812543293,-0.15691760199601468,0.06318150387058175,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-13,23.95,24.0,24.15,23.7,23.75,23.8,23.86,9734894.0,232294274.8,20468,3977307.0,40.86,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.006263048016701411,0.01276595744680864,0.03253796095444694,-0.059288537549407105,0.010822411263178556,0.015479577445441036,59.64912280701759,-0.057013824733324725,-0.1369368465434767,0.07992302181015198,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-16,23.8,24.25,24.25,23.65,23.75,23.75,23.88,9160653.0,218793338.7,21251,4202976.0,45.88,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.0021008403361344463,0.0237068965517242,0.02813852813852802,-0.06496062992125984,0.010788975177059311,0.015288309550155713,61.81818181818183,-0.031581686608646464,-0.11586581455651065,0.08428412794786419,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-17,23.75,23.75,23.75,23.25,23.25,23.35,23.38,7973831.0,186446913.35,16788,3852300.0,48.31,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.01684210526315788,0.0021459227467810482,0.010822510822510845,-0.08070866141732269,0.011178386811430506,0.015389623834797882,55.737704918032826,-0.04320514891428573,-0.10133368142806568,0.058128532513779946,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-18,23.35,23.35,23.9,23.1,23.5,23.45,23.44,7908641.0,185341573.35,17610,3660072.0,46.28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.004282655246252487,0.004282655246252487,0.015151515151515138,-0.07677165354330706,0.01102581906883561,0.015358982139724522,60.0,-0.04384227580429467,-0.08983540030331148,0.04599312449901681,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-20,23.45,23.3,23.35,22.95,23.0,23.0,23.09,9048947.0,208919182.35,30860,4712625.0,52.08,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.019189765458422103,-0.010752688172043001,-0.014989293361884481,-0.10679611650485432,0.011400728939680648,0.01550343839533568,50.0,-0.07973925811635851,-0.08781617186592089,0.008076913749562376,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-23,23.0,23.15,23.3,22.55,22.8,22.75,22.77,9143940.0,208220658.9,24130,5058292.0,55.32,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.010869565217391353,-0.03397027600849256,-0.05208333333333337,-0.1216216216216216,0.011537232349300715,0.014584651717255006,41.5384615384615,-0.12689798490653814,-0.09563253447404435,-0.03126545043249379,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-24,22.75,22.6,23.05,22.6,23.05,22.95,22.9,8233304.0,188524440.7,15135,4680160.0,56.84,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.00879120879120876,-0.015021459227467893,-0.04175365344467641,-0.09288537549407117,0.011673020541837564,0.01430761464041252,40.62499999999994,-0.14644515848965511,-0.10579505927716651,-0.040650099212488605,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-25,22.95,23.0,23.25,23.0,23.1,23.05,23.07,3960870.0,91376837.1,12083,2236058.0,56.45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.004357298474945592,-0.008602150537634357,-0.033542976939203384,-0.10136452241715388,0.011635786856797968,0.014194397853578674,41.5384615384615,-0.15211379695517735,-0.11505880681276869,-0.037054990142408664,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-26,23.05,23.1,23.2,22.85,22.95,22.9,22.98,4388277.0,100824848.8,12547,2276955.0,51.89,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.006507592190889477,-0.008658008658008809,-0.031712473572938715,-0.09664694280078912,0.011639229815450037,0.013857354871540786,38.80597014925372,-0.16678735932041278,-0.12540451731429753,-0.04138284200611525,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-27,22.9,22.85,23.0,22.75,22.85,22.85,22.89,6665003.0,152575388.0,12747,3794133.0,56.93,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.0021834061135369565,-0.006521739130434745,-0.025586353944562767,-0.08599999999999997,0.011558585775192478,0.013530280815396306,39.393939393939384,-0.1803716334319745,-0.1363979405378329,-0.043973692894141575,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-30,22.85,22.9,23.15,22.9,23.05,23.0,23.02,6514245.0,149968451.15,14511,3696556.0,56.75,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.006564551422319376,0.006564551422319376,-0.03157894736842104,-0.07815631262525047,0.011410440144336618,0.013537427895489139,42.02898550724635,-0.17699325407855682,-0.14451700324597772,-0.0324762508325791,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IRFC,EQ,2021-08-31,23.0,23.0,23.35,22.85,23.0,22.95,23.02,12755814.0,293667290.6,16413,6979752.0,54.72,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.0021739130434782483,-0.0021739130434782483,-0.02754237288135597,-0.07831325301204817,0.011382926584696038,0.013496505188372955,48.33333333333331,-0.17631796251587062,-0.15087719509995628,-0.025440767415914334,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
