symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,sent_mean,sent_sum,sent_std,news_count,concall_count,concall_pos_ratio,concall_neg_ratio,concall_net_tone,concall_tone_intensity,concall_tone_surprise,concall_guidance_flag,ret_1d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,signal,macd_hist,ema_cross,sent_3d,sent_5d,sent_lag1,news_intensity,momentum_1m_z,momentum_3m_z,momentum_6m_z,vol_30d_z,vol_90d_z,rsi_14_z,macd_hist_z,ema_cross_z,sent_3d_z,sent_5d_z,sent_lag1_z,news_intensity_z,concall_count_z,concall_pos_ratio_z,concall_neg_ratio_z,concall_net_tone_z,concall_tone_intensity_z,concall_tone_surprise_z,concall_guidance_flag_z
JSWSTEEL,EQ,2020-07-06,190.95,192.15,195.25,190.5,193.5,193.75,193.74,10803795.0,2093159110.75,47439,4648509.0,43.03,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.014663524482849022,-0.016747018523217472,0.32478632478632474,-0.2773218948153675,0.023894113731117383,0.044909790082652744,55.24079320113312,2.420852630022722,3.194387919455937,-0.773535289433215,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
JSWSTEEL,EQ,2020-07-07,193.75,194.7,194.75,190.25,190.5,190.85,191.96,6564431.0,1260084360.55,41232,2239081.0,34.11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.014967741935483891,-0.02103103359835856,0.33461538461538454,-0.3096400795803943,0.021746095815577602,0.04492172751789906,48.626373626373635,2.1165019692382714,2.978810729412404,-0.8623087601741326,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
JSWSTEEL,EQ,2020-07-08,190.85,191.0,202.0,191.0,195.25,195.35,197.46,22609621.0,4464467657.35,120445,6384896.0,28.24,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.023578726748755496,0.027887398053143775,0.38841506751954524,-0.282987704165902,0.020375454537031594,0.044234746300567805,52.47776365946631,2.2129052752420364,2.8256296385783304,-0.612724363336294,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
JSWSTEEL,EQ,2020-07-09,195.35,196.35,202.75,196.1,197.95,197.45,199.42,14801828.0,2951841173.7,90633,3892852.0,26.30,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.010749936012285577,0.03404032469232776,0.2488931056293484,-0.25279091769158,0.020407452787510938,0.0442223614478813,53.884093711467294,2.4307380047294203,2.7466513118085483,-0.315913307079128,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
JSWSTEEL,EQ,2020-07-10,197.45,196.0,196.0,191.0,193.45,193.3,193.12,10893405.0,2103767624.75,63471,2487954.0,22.84,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.021017979235249284,0.04684538315732478,0.25032341526520074,-0.271253534401508,0.020853897116998765,0.04426440694403865,44.33617539585874,2.242649824074448,2.645851014261728,-0.4032011901872803,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
JSWSTEEL,EQ,2020-07-13,193.3,195.4,199.8,195.25,199.6,198.4,197.4,11050735.0,2181383704.35,57145,3416149.0,30.91,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.026383859286083666,0.05001323101349575,0.19302465423932658,-0.24419047619047618,0.01909961556356674,0.04424174790888736,46.17196702002356,2.476567633258469,2.611994338061076,-0.1354267048026072,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
JSWSTEEL,EQ,2020-07-14,198.4,198.0,198.4,191.65,193.7,194.05,193.97,7233291.0,1403062614.5,46956,1963067.0,27.14,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.021925403225806384,0.05605442176870756,0.15747092156277964,-0.3022294138798993,0.01946874329251866,0.043778554797270705,50.1920614596671,2.2846050320976587,2.5465164768683928,-0.261911444770734,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
JSWSTEEL,EQ,2020-07-15,194.05,196.0,199.85,193.4,195.4,194.9,197.53,9389574.0,1854734396.5,46213,2763936.0,29.44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.004380314351971171,0.02551960010523535,0.13710618436406063,-0.2986685858222381,0.019477033893854755,0.04378203895908705,51.706700379266756,2.1759778655802506,2.4724087546107647,-0.29643088903051407,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
JSWSTEEL,EQ,2020-07-16,194.9,194.0,201.9,192.6,201.0,201.15,198.33,13647306.0,2706671393.85,70979,4166906.0,30.53,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.03206772703950733,0.048475371383893684,0.17872839144447705,-0.2779971284996411,0.02028571539451328,0.04360390788239906,59.465478841870826,2.5646491412081502,2.490856831930242,0.07379230927790825,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
JSWSTEEL,EQ,2020-07-17,201.15,203.2,211.8,202.65,206.5,206.75,207.99,23873501.0,4965481970.6,141065,5853572.0,24.52,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.02783992045737005,0.06902792140641156,0.1661026508742245,-0.2639729441082235,0.02035172639049683,0.04371107047845424,66.52935118434607,3.2866605492789347,2.6500175753999806,0.6366429738789541,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
