symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,sent_mean,sent_sum,sent_std,news_count,concall_count,concall_pos_ratio,concall_neg_ratio,concall_net_tone,concall_tone_intensity,concall_tone_surprise,concall_guidance_flag,ret_1d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,signal,macd_hist,ema_cross,sent_3d,sent_5d,sent_lag1,news_intensity,momentum_1m_z,momentum_3m_z,momentum_6m_z,vol_30d_z,vol_90d_z,rsi_14_z,macd_hist_z,ema_cross_z,sent_3d_z,sent_5d_z,sent_lag1_z,news_intensity_z,concall_count_z,concall_pos_ratio_z,concall_neg_ratio_z,concall_net_tone_z,concall_tone_intensity_z,concall_tone_surprise_z,concall_guidance_flag_z
MAXHEALTH,EQ,2021-03-05,195.4,197.4,200.7,191.3,199.0,198.85,197.25,2186921.0,431359509.6,34453,1619213.0,74.04,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.017656090071647812,0.13304843304843295,0.42647058823529393,0.7253796095444685,0.030320540932598748,0.0287756695684817,52.94592413236481,5.869929604644028,6.71322886909919,-0.8432992644551618,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MAXHEALTH,EQ,2021-03-08,198.85,201.0,205.6,196.8,198.75,198.6,199.08,1030653.0,205184381.65,29582,736932.0,71.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.0012572290671359898,0.1082589285714286,0.33557498318762624,0.7520952801058669,0.030270144174558165,0.02869915091498807,56.06837606837607,6.092502903012644,6.589083675881881,-0.49658077286923685,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MAXHEALTH,EQ,2021-03-09,198.6,198.6,200.35,196.0,199.95,199.05,198.68,2239190.0,444891286.65,21900,1948777.0,87.03,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0022658610271903967,0.0969964177459357,0.40028139289482945,0.8095454545454546,0.03023085265041035,0.028653182691816177,47.81725888324875,6.233350895717251,6.5179371198489555,-0.2845862241317043,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MAXHEALTH,EQ,2021-03-10,199.05,203.0,204.0,198.5,203.05,201.55,200.67,810077.0,162558006.45,29130,543274.0,67.06,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.012559658377292227,0.0847685683530679,0.4468772433596553,0.8084342754598475,0.03021445984848928,0.0285764302146955,48.496993987975955,6.4720967487397445,6.508769045627114,-0.03667229688736917,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MAXHEALTH,EQ,2021-03-12,201.55,205.0,209.45,202.5,207.1,206.25,206.29,4453797.0,918768012.5,25712,3967491.0,89.08,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.023319275613991497,0.1461517088080022,0.46328485278467557,0.8464637421665173,0.030056250501480065,0.028624171885858682,49.50884086444008,6.960321029612203,6.599079442424132,0.3612415871880712,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MAXHEALTH,EQ,2021-03-15,206.25,207.0,207.0,195.25,201.6,202.4,200.23,828253.0,165841051.6,62462,540085.0,65.21,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.01866666666666661,0.023255813953488413,0.43801065719360577,0.5385784872671986,0.030428676724643545,0.028758474703052372,67.37967914438504,6.956390525684782,6.670541659076262,0.2858488666085197,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MAXHEALTH,EQ,2021-03-16,202.4,204.0,214.4,203.5,206.1,206.4,209.13,1690949.0,353622022.25,56646,676915.0,40.03,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.01976284584980248,0.0416351249053748,0.48596112311015127,0.7071960297766748,0.030198623991527167,0.028428721262179633,81.22392211404735,7.193124284423305,6.775058184145671,0.4180661002776347,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MAXHEALTH,EQ,2021-03-17,206.4,206.4,209.0,198.6,201.0,201.65,202.22,737564.0,149147544.45,39492,516489.0,70.03,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.023013565891472854,0.03304303278688536,0.467612809315866,0.6981052631578948,0.030674729946471305,0.028600007068552744,72.00986436498151,6.91770914629052,6.803588376574641,0.11412076971587837,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MAXHEALTH,EQ,2021-03-18,201.65,202.9,204.4,196.5,197.5,197.8,199.82,757998.0,151463944.0,59204,498518.0,65.77,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.019092486982395185,0.0328981723237598,0.424558876485416,0.6387738193869097,0.031021154793070133,0.02871969317091784,66.97247706422021,6.315971255772922,6.706064952414298,-0.39009369664137594,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MAXHEALTH,EQ,2021-03-19,197.8,194.0,200.85,181.25,199.3,199.45,196.79,629023.0,123787734.05,36488,381952.0,60.72,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.008341759352881617,-0.00869781312127238,0.4328304597701149,0.6945624468988953,0.030730166851120472,0.028377363844963213,70.83811710677381,5.904171241768836,6.545686210285206,-0.6415149685163701,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
