symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,sent_mean,sent_sum,sent_std,news_count,concall_count,concall_pos_ratio,concall_neg_ratio,concall_net_tone,concall_tone_intensity,concall_tone_surprise,concall_guidance_flag,ret_1d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,signal,macd_hist,ema_cross,sent_3d,sent_5d,sent_lag1,news_intensity,momentum_1m_z,momentum_3m_z,momentum_6m_z,vol_30d_z,vol_90d_z,rsi_14_z,macd_hist_z,ema_cross_z,sent_3d_z,sent_5d_z,sent_lag1_z,news_intensity_z,concall_count_z,concall_pos_ratio_z,concall_neg_ratio_z,concall_net_tone_z,concall_tone_intensity_z,concall_tone_surprise_z,concall_guidance_flag_z
MOTHERSUMI,EQ,2020-07-06,98.1,99.0,101.85,98.0,99.2,99.1,99.7,24153482.0,2408156263.1,95958,5694243.0,23.58,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.010193679918450549,-0.04711538461538467,0.6232596232596233,-0.31983527796842826,0.033597585991588595,0.061320798921313424,61.943986820428336,2.3301550406123823,2.5523680129489383,-0.22221297233655601,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-07,99.1,99.1,99.1,96.75,98.7,98.7,97.92,15880963.0,1555046597.75,59127,3082088.0,19.41,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.004036326942482238,-0.005541561712846366,0.7031924072476272,-0.3411214953271028,0.03167187143273746,0.06130985491104601,53.04518664047151,2.2459883801597726,2.4910920863911055,-0.24510370623133282,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-08,98.7,98.7,99.25,96.3,96.7,96.6,97.79,9299086.0,909346140.85,49974,3085381.0,33.18,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.021276595744680882,-0.024734982332155542,0.7659963436928701,-0.3481781376518218,0.03185241183878143,0.060929549799844884,49.72375690607734,1.9869291632221575,2.390259501757316,-0.40333033853515854,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-09,96.6,97.05,98.3,96.4,97.7,97.65,97.29,9566446.0,930766135.0,49197,2660977.0,27.82,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.010869565217391353,0.031695721077654504,0.7298494242692648,-0.3076923076923077,0.029603354411579814,0.06090642120385867,50.543478260869584,1.845080156638872,2.281223632733627,-0.4361434760947551,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-10,97.65,97.95,99.0,94.75,96.4,96.2,96.71,11770199.0,1138293292.1,52513,3393032.0,28.83,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.014848950332821298,0.028327097808658497,0.7117437722419928,-0.335405872193437,0.029236308596943976,0.06071753331809372,48.186528497409334,1.5972488249096415,2.1444286711688303,-0.5471798462591888,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-13,96.2,97.25,98.25,95.5,96.45,96.1,96.52,10195902.0,984154607.75,44365,4280041.0,41.98,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.0010395010395011228,0.012111637704054656,0.45495836487509456,-0.34625850340136055,0.029135341273025105,0.06068173244347716,43.018867924528294,1.3768995043250953,1.9909228378000834,-0.614023333474988,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-14,96.1,94.5,95.25,92.45,94.0,93.9,93.77,8672853.0,813223337.2,65185,2364647.0,27.26,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.02289281997918824,0.027352297592997843,0.486935866983373,-0.37358238825883916,0.02748449974794011,0.06049570294538185,46.34146341463415,1.0130714098007445,1.7953525522002156,-0.7822811423994711,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-15,93.9,94.5,97.15,93.5,94.0,94.1,95.56,9797071.0,936191865.8,38416,3002919.0,30.65,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0021299254526090383,0.024496461622210086,0.32255797610681647,-0.3665432514304948,0.027454580627776615,0.06043747858745971,46.0122699386503,0.7324303510161059,1.5827681119633936,-0.8503377609472877,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-16,94.1,94.3,94.75,91.55,92.3,92.35,92.68,10350570.0,959289372.0,67247,2950080.0,28.50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.018597236981934162,-0.049408131755018125,0.13312883435582812,-0.3668152211175866,0.027595354813325982,0.06024663510460156,43.02103250478011,0.36460695338125504,1.339135880246966,-0.9745289268657109,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-17,92.35,92.8,94.2,91.4,93.45,93.35,93.04,10428155.0,970241870.0,42889,4146961.0,39.77,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.010828370330265402,-0.03514211886304919,0.07546082949308763,-0.3437609841827769,0.02716251738913841,0.05998968303208588,46.31379962192816,0.15204324351483933,1.1017173529005406,-0.9496741093857013,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-20,93.35,94.2,94.55,93.15,94.35,94.3,93.91,6497821.0,610209162.9,26283,2358917.0,36.30,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.010176754151044465,-0.03133025166923464,0.11334120425029504,-0.3223140495867769,0.02604483760506257,0.059996774976513345,49.34579439252335,0.05955551363642542,0.8932849850477177,-0.8337294714112923,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-21,94.3,94.9,97.8,93.85,96.75,97.1,96.29,16088133.0,1549136362.9,69621,4348474.0,27.03,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.029692470837751728,-0.0015424164524422412,0.3495482974287698,-0.32216404886561956,0.026654309426818987,0.059987805532281925,50.0,0.20977674505776633,0.7565833370497275,-0.5468065919919611,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-22,97.1,97.5,97.75,94.5,95.5,95.65,96.0,7570171.0,726730182.9,32356,2091097.0,27.62,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.014933058702368607,-0.04158316633266523,0.30758714969241274,-0.3160529138362531,0.0254901816181755,0.05961067622269388,31.818181818181827,0.20941130819349496,0.647148931278481,-0.4377376230849861,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-23,95.65,95.6,97.2,94.8,96.7,96.75,96.53,8196430.0,791167171.25,38961,3153698.0,38.48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.011500261369576492,0.01097178683385569,0.314538043478261,-0.29713040319651296,0.02545549313571517,0.0595784281279863,46.15384615384617,0.2944878313545871,0.5766167112937023,-0.2821288799391152,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-24,96.75,96.0,98.15,94.8,95.55,95.45,96.71,10709653.0,1035715474.95,44648,3469492.0,32.40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.013436692506459957,-0.006246746486205046,0.3256944444444445,-0.3105814373420006,0.025463002511084683,0.05352782764677591,39.77591036414567,0.2540835366078227,0.5121100763565264,-0.2580265397487037,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-27,95.45,95.8,96.0,92.25,92.85,93.05,93.4,10676362.0,997128781.1,40459,3358933.0,31.46,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.02514405447878476,-0.030729166666666696,0.21158854166666674,-0.32936936936936934,0.02492749653090166,0.0531803812196972,35.7682619647355,0.028079219793610832,0.4153039050439433,-0.3872246852503325,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-28,93.05,93.3,94.75,92.9,93.95,93.9,93.77,6271742.0,588090021.15,26612,1749519.0,27.90,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.009134873723804393,-0.014690451206715527,0.1992337164750959,-0.3328596802841918,0.024962803245188892,0.05301250707468129,42.741935483870996,-0.08150341269382011,0.3159424414963906,-0.3974458541902107,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-29,93.9,94.1,94.8,92.05,92.55,92.5,93.39,8482013.0,792099388.75,43953,2439630.0,28.76,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.014909478168264156,-0.022715266772319165,0.13636363636363624,-0.3625086147484493,0.022696111766053777,0.05208220873965327,36.41160949868071,-0.27811084939827424,0.19713178331745768,-0.4752426327157319,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-30,92.5,92.5,94.15,91.7,93.7,93.65,93.02,11158627.0,1037981620.5,52933,3956019.0,35.45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.012432432432432527,-0.035530381050463355,0.06967447173043984,-0.3343994314143567,0.022828175590037483,0.052079794646503745,43.16353887399464,-0.3372407687604664,0.09025727290187287,-0.42749804166233923,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-07-31,93.65,93.7,95.5,92.4,95.35,94.9,94.43,7839777.0,740287865.9,30941,2512461.0,32.05,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.013347570742124892,-0.08441871683550406,0.23890339425587492,-0.3172661870503597,0.022941123843653467,0.051949526666975915,46.96969696969699,-0.28000932930054034,0.01620395246139022,-0.29621328176193057,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-08-03,94.9,95.5,98.8,95.25,97.35,97.7,97.16,18215872.0,1769813422.25,66686,6036522.0,33.14,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.02950474183350882,-0.004077471967380175,0.31671159029649587,-0.3100282485875706,0.02358941120822248,0.05188529113064498,59.31372549019608,-0.00861706956071373,0.011239748056969428,-0.01985681761768316,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-08-04,97.7,98.2,100.0,97.7,99.2,99.05,98.93,14455474.0,1430144395.65,52737,5973865.0,41.33,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.013817809621289534,-0.0005045408678102659,0.29139504563233376,-0.28689704823614115,0.023227564018221628,0.04706341399255952,61.48491879350348,0.31180270168343327,0.0713523387822622,0.24045036290117106,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-08-05,99.05,99.65,101.6,98.45,100.5,100.4,100.11,17664736.0,1768400114.8,61293,5272498.0,29.85,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.013629480060575627,0.01722391084093222,0.3377748167888075,-0.24906507105459974,0.022005794258116187,0.04689400415366188,69.03073286052012,0.6669828335507049,0.19047843773595075,0.4765043958147541,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-08-06,100.4,100.9,101.75,99.0,99.75,99.95,99.97,9046224.0,904333340.1,42163,2382950.0,26.34,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.004482071713147406,0.0346790890269153,0.2980519480519481,-0.22066276803118912,0.02203267463451061,0.046176996536337944,66.01941747572818,0.9017594857709241,0.33273464734294544,0.5690248384279787,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-08-07,99.95,99.25,101.1,97.75,99.45,99.8,99.52,10488879.0,1043863201.1,43855,2602749.0,24.81,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.0015007503751875984,0.02201740911418315,0.24052206339341198,-0.20255693168198163,0.022036594001751304,0.045850476185916145,63.888888888888886,1.0634590339688543,0.4788795246681272,0.5845795093007271,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MOTHERSUMI,EQ,2020-08-10,99.8,99.9,108.25,99.55,104.5,104.9,105.5,39373983.0,4154070607.6,140210,9865240.0,25.06,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.05110220440881763,0.09043659043659047,0.2784887263863498,-0.21745617306975007,0.023743508968443912,0.04603699597273291,67.64705882352942,1.5848651297482093,0.7000766456841436,0.8847884840640656,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
