symbol,series,Date,prevclose,Open,High,Low,lastprice,Close,averageprice,Volume,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty,sent_mean,sent_sum,sent_std,news_count,concall_count,concall_pos_ratio,concall_neg_ratio,concall_net_tone,concall_tone_intensity,concall_tone_surprise,concall_guidance_flag,ret_1d,momentum_1m,momentum_3m,momentum_6m,vol_30d,vol_90d,rsi_14,macd,signal,macd_hist,ema_cross,sent_3d,sent_5d,sent_lag1,news_intensity,momentum_1m_z,momentum_3m_z,momentum_6m_z,vol_30d_z,vol_90d_z,rsi_14_z,macd_hist_z,ema_cross_z,sent_3d_z,sent_5d_z,sent_lag1_z,news_intensity_z,concall_count_z,concall_pos_ratio_z,concall_neg_ratio_z,concall_net_tone_z,concall_tone_intensity_z,concall_tone_surprise_z,concall_guidance_flag_z
MCDOWELL-N,EQ,2020-07-06,588.55,590.2,598.0,585.2,589.0,588.95,591.24,3088968.0,1826316384.0,38915,1136133.0,36.78,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0006796363945291706,0.004948383243750687,0.21533223276929436,-0.013318813871670221,0.0192714794810117,0.03382840209358003,42.6313342631335,3.773223334811746,8.393498232943518,-4.620274898131772,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MCDOWELL-N,EQ,2020-07-07,588.95,591.0,600.9,589.1,593.0,593.7,595.12,3761704.0,2238677647.55,52944,1546546.0,41.11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.008065200781051107,-0.005194369973190227,0.2827049800151238,0.0,0.019213170981094384,0.033834137068774535,44.6884805020171,3.263530618445202,7.367504710043855,-4.103974091598653,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MCDOWELL-N,EQ,2020-07-08,593.7,597.45,627.65,593.7,620.4,612.95,614.04,9455755.0,5806199540.9,130700,2821325.0,29.84,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.03242378305541527,0.007809930943768473,0.3159081150708458,0.051282051282051544,0.019974098817906034,0.03390340277071433,51.16739216462209,4.362620021651537,6.766527772365391,-2.403907750713854,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MCDOWELL-N,EQ,2020-07-09,612.95,619.9,633.0,616.75,625.4,625.45,625.11,4709177.0,2943733766.4,68292,743108.0,15.78,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.02039318052043404,0.028024326101249386,0.22517140058765928,0.10036945812807896,0.019549767302008605,0.03397759719009334,52.828746177370064,6.1711644826064,6.647455114413593,-0.4762906318071929,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MCDOWELL-N,EQ,2020-07-10,625.45,621.65,639.0,618.55,638.75,636.1,630.73,4158886.0,2623146771.85,68325,867978.0,20.87,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.017027740027180327,0.07033484772000675,0.2195168711656441,0.12723728513202204,0.017291204356858023,0.0339532390746073,50.40192926045017,8.367361259906033,6.991436343512082,1.3759249163939513,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MCDOWELL-N,EQ,2020-07-13,636.1,641.0,645.0,622.15,630.0,629.4,631.57,2830295.0,1787519000.75,44076,576436.0,20.37,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.010532935073101823,0.019353793829459676,0.1424941005627156,0.09747166521360073,0.01734830127663353,0.03396983680694132,52.933727311101705,9.458200771922407,7.484789229194147,1.9734115427282592,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MCDOWELL-N,EQ,2020-07-14,629.4,622.5,633.65,615.0,617.0,619.5,624.52,2409030.0,1504479192.9,39610,462552.0,19.20,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.01572926596758817,0.011098416843479564,0.08398950131233596,0.046717918391484314,0.01681079800321447,0.0340083129517943,55.04828797190516,9.415317759719528,7.870894935299224,1.5444228244203044,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MCDOWELL-N,EQ,2020-07-15,619.5,622.8,624.6,593.3,599.7,598.0,608.82,3661770.0,2229365502.4,64726,1479765.0,40.41,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.03470540758676355,-0.011243386243386166,0.06358381502890165,0.020303702439856686,0.018137029837973356,0.033915524638025475,48.79377431906615,7.559323174549604,7.8085805831493005,-0.24925740859969636,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MCDOWELL-N,EQ,2020-07-16,598.0,601.9,612.45,590.7,608.3,608.9,603.97,2825703.0,1706647776.9,41122,650140.0,23.01,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.018227424749163834,0.005532160845512335,0.11950726236440512,0.04344100762573899,0.018324600379879256,0.033932686466342975,56.724470134874714,6.888565899279229,7.624577646375286,-0.7360117470960574,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
MCDOWELL-N,EQ,2020-07-17,608.9,610.0,614.8,601.0,604.5,604.75,607.1,1703996.0,1034501562.25,27239,313902.0,18.42,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-0.006815569058958748,-0.008606557377049184,0.14093010093387437,0.04016167870657039,0.018259889579771087,0.03393716189138996,58.18181818181818,5.953487510970149,7.290359619294259,-1.3368721083241102,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
