ticker,date,headline,sentiment_score
NESTLEIND,2020-06-12,"Traders' Diary: Nifty faces key resistance at 9,980-10,050 range - The Economic Times",-0.6363349556922913
NESTLEIND,2020-06-16,"Traders' Diary: Nifty faces immediate support at 9,700-9,650 levels - The Economic Times",0.7005918025970459
NESTLEIND,2018-01-06,"nestle Forum Discussion on Market View, Business sectors,Stocks, Commodity, Personal Finance & More - Moneycontrol.com",-0.9446860551834106
NESTLEIND,2011-12-23,Nestle India Ltd. - Moneycontrol.com,-0.9457331895828247
NESTLEIND,2018-02-07,"Nestle India Key Financial Ratios, Nestle India Financial Statement & Accounts - Moneycontrol.com",-0.9356040358543396
NESTLEIND,2024-11-15,"Nestle India | Dividends > Food Processing > Dividends declared by Nestle India - BSE: 500790, NSE: NESTLEIND - Moneycontrol.com",-0.9324539303779602
NESTLEIND,2024-11-15,"Nestle India | Splits > Food Processing > Dividends declared by Nestle India - BSE: 500790, NSE: NESTLEIND - Moneycontrol.com",-0.882665753364563
NESTLEIND,2024-11-17,"Nestle India | Board Meetings > Food Processing > Board Meetings of Nestle India - BSE: 500790, NSE: NESTLEIND - Moneycontrol.com",-0.9411422610282898
NESTLEIND,2024-11-14,"Nestle India | Bonus > Food Processing > Bonus declared by Nestle India - BSE: 500790, NSE: NESTLEIND - Moneycontrol.com",-0.929780900478363
NESTLEIND,2011-07-21,"Nestle India > Listing Details > Food Processing > Listing Details of Nestle India - BSE: 500790, NSE: NESTLEIND - Moneycontrol.com",-0.9474442601203918
NESTLEIND,2025-09-04,Nestlé India Updates on Institutional Investor Meeting - Moneycontrol.com,-0.9304116368293762
NESTLEIND,2011-07-21,"Nestle India Registered Address Contact Details, Nestle India Management - Moneycontrol.com",-0.9492361545562744
NESTLEIND,2025-06-26,Nestlé India Board Approves 1:1 Bonus Share Issue - Moneycontrol.com,-0.9175047874450684
NESTLEIND,2024-12-19,"Nestle India | Rights > Food Processing > Rights declared by Nestle India - BSE: 500790, NSE: NESTLEIND - Moneycontrol.com",-0.9475551247596741
NESTLEIND,2021-12-08,Nestle India Ltd - images.moneycontrol.com,-0.9462360739707947
NESTLEIND,2022-06-10,(NEST.BO) | Stock Price & Latest News - Reuters,-0.9051972031593323
NESTLEIND,2025-01-31,Nestle India Q3 Results: Net profit up 6% YoY at Rs 696 crore; Rs 14.25 per share dividend declared - Moneycontrol.com,0.9460026025772095
NESTLEIND,2025-10-16,"Nestle's India unit posts marginal profit rise on Maggi, Nescafe demand; shares jump - Reuters",0.8794695138931274
NESTLEIND,2018-06-22,Nestle India Ltd. - Moneycontrol.com,-0.9457331895828247
NESTLEIND,2018-05-02,"F&O Market Snapshot: Future and Options NSE, BSE, F&O margin, F&O quotes - Moneycontrol - Moneycontrol.com",-0.9391407370567322
NESTLEIND,2025-07-24,"Nestle Q1 Results: Consolidated PAT falls 13% YoY to Rs 647 crore, revenue rises 6% - The Economic Times",-0.5431678295135498
NESTLEIND,2025-06-30,"Stocks to buy today: IGL, Nestle among top 6 trading ideas for 30 June 2025 - The Economic Times",-0.8275565505027771
NESTLEIND,2021-04-23,Amazon is building an army of 'cowboys' and 'Jeff bots' in India - The Economic Times,-0.8741921782493591
NESTLEIND,2025-02-06,"Buy Nestle India, target price Rs 2,520: Axis Securities - The Economic Times",-0.9231395721435547
NESTLEIND,2025-12-27,"F&O Talk | Nifty trades in tightest weekly range since Nov 2023, ends flat in holiday week. Sudeep Shah ex - The Economic Times",-0.9235165119171143
NESTLEIND,2022-11-08,Forecast - Moneycontrol.com,-0.939842164516449
NESTLEIND,2025-07-20,"Q1 results this week: Infosys, Bajaj Finance, Nestle, Eternal, Paytm, Kotak Mahindra Bank among 95 compani - The Economic Times",-0.8552922606468201
NESTLEIND,2025-07-28,Buy Nestle India; target of Rs 2600: Sharekhan - Moneycontrol.com,-0.9353846311569214
NESTLEIND,2022-04-25,Trade setup for today: Top 15 things to know before the opening bell - Moneycontrol.com,-0.9378705024719238
NESTLEIND,2012-04-21,"Highest Open Interest, Highest Open Interest In All Futures For All Expires - Moneycontrol.com",-0.9388270974159241
NESTLEIND,2011-07-25,"Nestle India Cash Flow, Nestle India Financial Statement & Accounts - Moneycontrol.com",-0.937544047832489
NESTLEIND,2020-09-14,Active Calls - Moneycontrol.com,-0.9393193125724792
NESTLEIND,2023-02-01,Trade setup for Budget day: Top 15 things to know before the opening bell - Moneycontrol.com,-0.939869225025177
NESTLEIND,2022-03-02,Trade setup for Wednesday: Top 15 things to know before Opening Bell - Moneycontrol.com,-0.9371259808540344
NESTLEIND,2026-02-01,Nestle India Q3 results get mixed brokerage reviews; should you buy or sell the stock? Check target prices - Moneycontrol.com,-0.8816065788269043
NESTLEIND,2023-02-02,Trade setup for Friday: Top 15 things to know before the opening bell - Moneycontrol.com,-0.9350972771644592
NESTLEIND,2024-11-28,Nestle India - Moneycontrol.com,-0.9441967010498047
NESTLEIND,2020-08-27,Trade Setup for Friday: Top 15 things to know before Opening Bell - Moneycontrol.com,-0.9390047192573547
NESTLEIND,2022-05-27,Trade setup for today: Top 15 things to know before the opening bell - Moneycontrol.com,-0.9378705024719238
NESTLEIND,2025-08-08,Did Nestle India shares really crash 50%? Here's how the bonus math works - The Economic Times,-0.916657030582428
NESTLEIND,2018-01-28,"Index Wise Open Interest & Volume, F&O Index Wise Open Interest , Arbitrage in Near Month Open Int % wise - Moneycontrol.com",-0.9465937614440918
NESTLEIND,2018-05-27,"Increase in Open Interest, Decrease in Price, Increase in Open Interest & Decrease in Price In All Futures For All Expiries - Moneycontrol.com",-0.7928507924079895
NESTLEIND,2012-04-28,"Most Active Shares - F&O Market, All Futures & Options, Index Futures, Index Options, Stock Futures, Stock Options - Moneycontrol.com",-0.9493613243103027
NESTLEIND,2018-07-09,"Nestle India Consolidated Balance Sheet, Nestle India Financial Statement & Accounts - Moneycontrol.com",-0.9392315745353699
NESTLEIND,2012-04-28,"Most Active Value - F&O Market, All Futures & Options, Index Futures, Index Options, Stock Futures, Stock Options - Moneycontrol.com",-0.9497577548027039
NESTLEIND,2018-05-09,"Nestle India Profit & Loss account, Nestle India Financial Statement & Accounts - Moneycontrol.com",-0.7883038520812988
NESTLEIND,2020-02-16,"Nestle India Balance Sheet, Nestle India Financial Statement & Accounts - Moneycontrol.com",-0.9389480352401733
NESTLEIND,2024-12-05,"Top Losers - F&O Market, All Futures & Options, Index Futures, Index Options, Stock Futures, Stock Options - Moneycontrol.com",-0.9404356479644775
NESTLEIND,2020-09-03,"Nestle India Key Financial Ratios, Nestle India Financial Statement & Accounts - Moneycontrol.com",-0.9356040358543396
NESTLEIND,2012-04-21,Lowest Open Interest in all Futures for all Expires - Moneycontrol.com,-0.8598935604095459
