symbol,series,date,prevclose,openprice,highprice,lowprice,lastprice,closeprice,averageprice,totaltradedquantity,turnoverinrs,no.oftrades,deliverableqty,%dlyqttotradedqty
PFC,EQ,30-Dec-2020,116.25,116.00,116.45,113.60,114.25,114.55,114.47,3906421,447170573.7,15869,1153094.0,29.52
PFC,EQ,29-Dec-2020,116.85,117.50,117.80,114.80,116.10,116.25,116.24,3680355,427795872.45,17776,907213.0,24.65
PFC,EQ,28-Dec-2020,114.15,115.00,117.65,114.45,116.80,116.85,116.57,3865782,450643572.1,15666,1025705.0,26.53
PFC,EQ,24-Dec-2020,113.55,114.00,116.65,113.50,114.10,114.15,114.94,4496131,516770288.85,34716,912321.0,20.29
PFC,EQ,23-Dec-2020,111.10,112.20,115.25,111.05,113.70,113.55,113.24,6476618,733395998.6,29874,1028473.0,15.88
PFC,EQ,22-Dec-2020,110.20,109.35,111.65,105.60,111.45,111.10,109.24,17094401,1867357484.75,34437,11187561.0,65.45
PFC,EQ,21-Dec-2020,117.50,116.95,117.55,105.75,109.20,110.20,112.30,7541575,846923673.3,29561,2348998.0,31.15
PFC,EQ,18-Dec-2020,118.45,118.45,119.40,115.65,117.40,117.50,117.46,7895760,927419202.35,24635,4030160.0,51.04
PFC,EQ,17-Dec-2020,120.25,120.00,120.90,118.00,118.25,118.45,119.55,3620919,432865230.65,22941,1271195.0,35.11
PFC,EQ,16-Dec-2020,120.90,121.85,123.40,119.50,119.75,120.25,121.49,5714254,694253127.35,21078,1480683.0,25.91
PFC,EQ,15-Dec-2020,121.35,120.60,121.60,117.90,120.85,120.90,119.79,6855697,821215190.1,23361,2011275.0,29.34
PFC,EQ,14-Dec-2020,117.35,118.10,122.60,117.70,121.30,121.35,120.69,9589424,1157377666.7,37522,2357327.0,24.58
PFC,EQ,11-Dec-2020,114.55,115.00,119.10,114.90,117.00,117.35,117.49,7682112,902587743.55,29013,2365963.0,30.80
PFC,EQ,10-Dec-2020,118.40,117.00,117.20,110.30,114.50,114.55,113.03,14813851,1674336920.35,53418,3895718.0,26.30
PFC,EQ,09-Dec-2020,115.95,116.65,122.85,116.25,118.25,118.40,120.22,16976245,2040921985.85,59596,4085374.0,24.07
PFC,EQ,08-Dec-2020,118.05,118.95,119.50,115.20,115.80,115.95,116.90,5812006,679410024.3,23913,2071243.0,35.64
PFC,EQ,07-Dec-2020,115.50,116.40,118.40,115.10,118.25,118.05,117.42,4936947,579690322.35,20348,1739752.0,35.24
PFC,EQ,04-Dec-2020,114.45,114.70,118.25,114.40,116.00,115.50,116.34,13517459,1572686137.1,53434,6350546.0,46.98
PFC,EQ,03-Dec-2020,109.70,109.70,116.00,109.60,114.75,114.45,113.45,10708194,1214863328.85,39483,4025531.0,37.59
PFC,EQ,02-Dec-2020,108.85,109.25,110.05,108.25,109.50,109.70,109.31,3919017,428385118.3,16467,1451351.0,37.03
PFC,EQ,01-Dec-2020,108.20,108.80,109.35,106.95,108.65,108.85,108.27,4439030,480617316.0,19484,1440806.0,32.46
PFC,EQ,27-Nov-2020,109.10,110.00,110.50,107.35,107.75,108.20,108.86,10136011,1103361146.75,31932,4432862.0,43.73
PFC,EQ,26-Nov-2020,105.45,105.60,109.70,105.05,109.30,109.10,108.31,12337061,1336234377.15,44200,2847904.0,23.08
PFC,EQ,25-Nov-2020,104.75,105.00,107.60,104.70,105.25,105.45,105.90,8599626,910715217.25,28701,3119868.0,36.28
PFC,EQ,24-Nov-2020,104.05,104.50,105.55,103.65,104.85,104.75,104.68,6820160,713924779.0,22730,2389191.0,35.03
