ticker,rows
ABB,1422
ADANIENSOL,1257
ADANIENT,1425
ADANIGREEN,1360
ADANIPORTS,1425
ADANIPOWER,1219
AMBUJACEM,1425
APOLLOHOSP,1425
ASIANPAINT,1425
AXISBANK,1425
BAJAJ-AUTO,1425
BAJAJFINSV,1425
BAJAJHLDNG,1425
BAJFINANCE,1425
BANKBARODA,1425
BEL,1425
BHARTIARTL,1425
BOSCHLTD,1425
BPCL,1425
BRITANNIA,1425
CANBK,1425
CGPOWER,1245
CHOLAFIN,1425
CIPLA,1425
COALINDIA,1425
CUMMINSIND,1425
DIVISLAB,1425
DLF,1425
DMART,1372
DRREDDY,1425
EICHERMOT,1425
ETERNAL,1036
GAIL,1425
GODREJCP,1425
GRASIM,1425
HAL,1425
HCLTECH,1425
HDFCAMC,1425
HDFCBANK,1425
HDFCLIFE,1425
HINDALCO,1425
HINDUNILVR,1425
HINDZINC,1425
ICICIBANK,1425
INDHOTEL,1425
INDIGO,1425
INFY,1425
IOC,1425
IRFC,1154
ITC,1425
JINDALSTEL,1425
JSWSTEEL,1425
KOTAKBANK,1425
LODHA,1102
LT,1425
LTM,1425
M&M,1425
MARUTI,1425
MAXHEALTH,1255
MAZDOCK,1230
MOTHERSON,1425
MUTHOOTFIN,1425
NESTLEIND,1425
NTPC,1425
ONGC,1425
PFC,1425
PIDILITIND,1425
PNB,1425
POWERGRID,1425
RECLTD,1425
RELIANCE,1425
SBILIFE,1425
SBIN,1425
SHREECEM,1425
SHRIRAMFIN,1425
SIEMENS,1425
SOLARINDS,1425
SUNPHARMA,1425
TATACONSUM,1425
TATAPOWER,1425
TATASTEEL,1425
TCS,1425
TECHM,1425
TITAN,1425
TMPV,1425
TORNTPHARM,1425
TRENT,1425
TVSMOTOR,1425
ULTRACEMCO,1425
UNIONBANK,1425
UNITDSPR,1425
VBL,1425
VEDL,1425
WIPRO,1425
ZYDUSLIFE,1425
